"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Denmark",2019-12-30,162,255,348,13,0,0,"56.26392","9.501785"
"Denmark",2019-12-31,167,262,357,13,0,0,"56.26392","9.501785"
"Denmark",2020-01-01,172,270,368,13,0,0,"56.26392","9.501785"
"Denmark",2020-01-02,176,277,378,14,0,0,"56.26392","9.501785"
"Denmark",2020-01-03,181,285,389,14,0,0,"56.26392","9.501785"
"Denmark",2020-01-04,186,293,400,15,0,0,"56.26392","9.501785"
"Denmark",2020-01-05,191,301,411,15,0,0,"56.26392","9.501785"
"Denmark",2020-01-06,197,310,423,15,0,0,"56.26392","9.501785"
"Denmark",2020-01-07,203,319,435,16,0,0,"56.26392","9.501785"
"Denmark",2020-01-08,209,328,447,16,0,0,"56.26392","9.501785"
"Denmark",2020-01-09,214,337,460,17,0,0,"56.26392","9.501785"
"Denmark",2020-01-10,220,346,472,17,0,0,"56.26392","9.501785"
"Denmark",2020-01-11,226,356,486,18,0,0,"56.26392","9.501785"
"Denmark",2020-01-12,233,366,499,18,0,0,"56.26392","9.501785"
"Denmark",2020-01-13,239,376,513,19,0,0,"56.26392","9.501785"
"Denmark",2020-01-14,246,387,528,19,0,0,"56.26392","9.501785"
"Denmark",2020-01-15,253,398,543,20,0,0,"56.26392","9.501785"
"Denmark",2020-01-16,260,409,558,20,0,0,"56.26392","9.501785"
"Denmark",2020-01-17,268,421,574,21,0,0,"56.26392","9.501785"
"Denmark",2020-01-18,275,432,589,21,0,0,"56.26392","9.501785"
"Denmark",2020-01-19,283,445,607,22,0,0,"56.26392","9.501785"
"Denmark",2020-01-20,291,457,623,23,0,0,"56.26392","9.501785"
"Denmark",2020-01-21,299,470,641,23,0,0,"56.26392","9.501785"
"Denmark",2020-01-22,307,483,659,24,0,0,"56.26392","9.501785"
"Denmark",2020-01-23,316,497,678,25,0,0,"56.26392","9.501785"
"Denmark",2020-01-24,325,511,697,25,0,0,"56.26392","9.501785"
"Denmark",2020-01-25,334,525,716,26,0,0,"56.26392","9.501785"
"Denmark",2020-01-26,343,540,737,27,0,0,"56.26392","9.501785"
"Denmark",2020-01-27,353,555,757,28,0,0,"56.26392","9.501785"
"Denmark",2020-01-28,363,571,779,28,0,0,"56.26392","9.501785"
"Denmark",2020-01-29,373,587,801,29,0,0,"56.26392","9.501785"
"Denmark",2020-01-30,384,603,822,30,0,0,"56.26392","9.501785"
"Denmark",2020-01-31,394,620,846,31,0,0,"56.26392","9.501785"
"Denmark",2020-02-01,406,638,870,32,0,0,"56.26392","9.501785"
"Denmark",2020-02-02,417,656,895,33,0,0,"56.26392","9.501785"
"Denmark",2020-02-03,429,674,919,33,0,0,"56.26392","9.501785"
"Denmark",2020-02-04,441,693,945,34,0,0,"56.26392","9.501785"
"Denmark",2020-02-05,454,713,972,35,0,0,"56.26392","9.501785"
"Denmark",2020-02-06,466,733,1000,36,0,0,"56.26392","9.501785"
"Denmark",2020-02-07,479,753,1027,37,0,0,"56.26392","9.501785"
"Denmark",2020-02-08,492,774,1056,38,0,0,"56.26392","9.501785"
"Denmark",2020-02-09,506,796,1086,40,0,0,"56.26392","9.501785"
"Denmark",2020-02-10,521,819,1117,41,0,0,"56.26392","9.501785"
"Denmark",2020-02-11,536,842,1148,42,0,0,"56.26392","9.501785"
"Denmark",2020-02-12,550,865,1180,43,0,0,"56.26392","9.501785"
"Denmark",2020-02-13,566,890,1214,44,0,0,"56.26392","9.501785"
"Denmark",2020-02-14,582,915,1248,45,0,0,"56.26392","9.501785"
"Denmark",2020-02-15,599,941,1283,47,0,0,"56.26392","9.501785"
"Denmark",2020-02-16,615,967,1319,48,0,0,"56.26392","9.501785"
"Denmark",2020-02-17,632,994,1356,49,0,0,"56.26392","9.501785"
"Denmark",2020-02-18,650,1022,1394,51,0,0,"56.26392","9.501785"
"Denmark",2020-02-19,669,1051,1433,52,0,0,"56.26392","9.501785"
"Denmark",2020-02-20,688,1081,1474,54,0,0,"56.26392","9.501785"
"Denmark",2020-02-21,707,1111,1515,55,0,0,"56.26392","9.501785"
"Denmark",2020-02-22,726,1142,1558,57,0,0,"56.26392","9.501785"
"Denmark",2020-02-23,747,1174,1601,58,0,0,"56.26392","9.501785"
"Denmark",2020-02-24,768,1207,1646,60,0,0,"56.26392","9.501785"
"Denmark",2020-02-25,789,1241,1693,62,0,0,"56.26392","9.501785"
"Denmark",2020-02-26,812,1276,1740,63,1,0,"56.26392","9.501785"
"Denmark",2020-02-27,835,1312,1789,65,1,0,"56.26392","9.501785"
"Denmark",2020-02-28,858,1349,1840,67,2,0,"56.26392","9.501785"
"Denmark",2020-02-29,882,1387,1892,69,3,0,"56.26392","9.501785"
"Denmark",2020-03-01,907,1426,1945,71,4,0,"56.26392","9.501785"
"Denmark",2020-03-02,933,1466,1999,73,5,0,"56.26392","9.501785"
"Denmark",2020-03-03,959,1508,2057,75,8,0,"56.26392","9.501785"
"Denmark",2020-03-04,986,1550,2114,77,10,0,"56.26392","9.501785"
"Denmark",2020-03-05,1014,1594,2174,79,20,0,"56.26392","9.501785"
"Denmark",2020-03-06,1042,1638,2234,81,23,0,"56.26392","9.501785"
"Denmark",2020-03-07,1072,1685,2298,84,31,0,"56.26392","9.501785"
"Denmark",2020-03-08,1102,1732,2362,86,38,0,"56.26392","9.501785"
"Denmark",2020-03-09,1133,1781,2429,89,113,0,"56.26392","9.501785"
"Denmark",2020-03-10,1165,1831,2497,91,264,0,"56.26392","9.501785"
"Denmark",2020-03-11,1197,1882,2567,94,516,0,"56.26392","9.501785"
"Denmark",2020-03-12,1231,1935,2639,96,676,0,"56.26392","9.501785"
"Denmark",2020-03-13,1266,1990,2714,99,804,0,"56.26392","9.501785"
"Denmark",2020-03-14,1301,2046,2791,102,827,1,"56.26392","9.501785"
"Denmark",2020-03-15,1338,2103,2868,105,875,1,"56.26392","9.501785"
"Denmark",2020-03-16,1376,2163,2950,107,932,4,"56.26392","9.501785"
"Denmark",2020-03-17,1414,2223,3032,110,1024,4,"56.26392","9.501785"
"Denmark",2020-03-18,1454,2286,3118,114,1115,6,"56.26392","9.501785"
"Denmark",2020-03-19,1495,2350,3205,117,1151,9,"56.26392","9.501785"
"Denmark",2020-03-20,1537,2417,3297,120,1255,13,"56.26392","9.501785"
"Denmark",2020-03-21,1581,2485,3389,123,1326,13,"56.26392","9.501785"
"Denmark",2020-03-22,1625,2554,3483,127,1395,24,"56.26392","9.501785"
"Denmark",2020-03-23,1670,2626,3582,130,1460,32,"56.26392","9.501785"
"Denmark",2020-03-24,1717,2700,3683,134,1591,34,"56.26392","9.501785"
"Denmark",2020-03-25,1766,2776,3786,138,1724,41,"56.26392","9.501785"
"Denmark",2020-03-26,1815,2854,3893,142,1877,52,"56.26392","9.501785"
"Denmark",2020-03-27,1867,2935,4003,146,2046,65,"56.26392","9.501785"
"Denmark",2020-03-28,1919,3017,4115,150,2201,72,"56.26392","9.501785"
"Denmark",2020-03-29,1973,3102,4231,154,2395,77,"56.26392","9.501785"
"Denmark",2020-03-30,2028,3189,4350,158,2577,90,"56.26392","9.501785"
"Denmark",2020-03-31,2086,3279,4472,163,2860,104,"56.26392","9.501785"
"Denmark",2020-04-01,2145,3372,4599,168,3107,123,"56.26392","9.501785"
"Denmark",2020-04-02,2205,3466,4727,172,3386,139,"56.26392","9.501785"
"Denmark",2020-04-03,2267,3564,4861,177,3757,161,"56.26392","9.501785"
"Denmark",2020-04-04,2331,3664,4997,182,4077,179,"56.26392","9.501785"
"Denmark",2020-04-05,2396,3767,5138,187,4369,187,"56.26392","9.501785"
"Denmark",2020-04-06,2464,3873,5282,192,4681,203,"56.26392","9.501785"
"Denmark",2020-04-07,2533,3982,5431,198,5071,218,"56.26392","9.501785"
"Denmark",2020-04-08,2604,4094,5584,203,5402,237,"56.26392","9.501785"
"Denmark",2020-04-09,2678,4210,5742,209,5635,247,"56.26392","9.501785"
"Denmark",2020-04-10,2753,4328,5903,215,5819,260,"56.26392","9.501785"
"Denmark",2020-04-11,2831,4450,6069,221,5996,273,"56.26392","9.501785"
"Denmark",2020-04-12,2910,4575,6240,227,6174,285,"56.26392","9.501785"
"Denmark",2020-04-13,2992,4704,6416,234,6318,299,"56.26392","9.501785"
"Denmark",2020-04-14,3076,4836,6596,240,6511,309,"56.26392","9.501785"
"Denmark",2020-04-15,3163,4972,6781,247,6681,321,"56.26392","9.501785"
"Denmark",2020-04-16,3252,5112,6972,254,6879,336,"56.26392","9.501785"
"Denmark",2020-04-17,3343,5256,7169,261,7073,346,"56.26392","9.501785"
"Denmark",2020-04-18,3437,5404,7371,269,7242,355,"56.26392","9.501785"
"Denmark",2020-04-19,3534,5556,7578,276,7384,364,"56.26392","9.501785"
"Denmark",2020-04-20,3634,5713,7792,284,7515,370,"56.26392","9.501785"
"Denmark",2020-04-21,3736,5873,8010,292,7695,384,"56.26392","9.501785"
"Denmark",2020-04-22,3841,6039,8237,300,7912,394,"56.26392","9.501785"
"Denmark",2020-04-23,3949,6209,8469,309,8073,403,"56.26392","9.501785"
"Denmark",2020-04-24,4060,6383,8706,317,8210,418,"56.26392","9.501785"
"Denmark",2020-04-25,4175,6563,8951,326,8445,422,"56.26392","9.501785"
"Denmark",2020-04-26,4292,6748,9204,335,8575,427,"56.26392","9.501785"
"Denmark",2020-04-27,4413,6938,9463,345,8698,434,"56.26392","9.501785"
"Denmark",2020-04-28,4537,7133,9729,354,8851,443,"56.26392","9.501785"
"Denmark",2020-04-29,4665,7334,10003,364,9008,452,"56.26392","9.501785"
