"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
160,2020-06-08,15430,16480,17530,16629
161,2020-06-09,16396,17511,18626,18090
162,2020-06-10,17421,18606,19791,19433
163,2020-06-11,18511,19770,21029,20507
164,2020-06-12,19669,21007,22345,21396
165,2020-06-13,20899,22321,23743,21959
166,2020-06-14,22207,23717,25227,22871
167,2020-06-15,23596,25201,26806,23684
168,2020-06-16,25073,26778,28483,NA
169,2020-06-17,26641,28453,30265,NA
170,2020-06-18,28308,30233,32158,NA
171,2020-06-19,30078,32124,34170,NA
172,2020-06-20,31959,34133,36307,NA
173,2020-06-21,33959,36269,38579,NA
174,2020-06-22,36084,38538,40992,NA
