"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"France",2019-12-30,792,1343,1894,199,0,0,"46.227638","2.213749"
"France",2019-12-31,823,1395,1967,207,0,0,"46.227638","2.213749"
"France",2020-01-01,854,1449,2044,215,0,0,"46.227638","2.213749"
"France",2020-01-02,888,1506,2124,223,0,0,"46.227638","2.213749"
"France",2020-01-03,922,1564,2206,232,0,0,"46.227638","2.213749"
"France",2020-01-04,958,1625,2292,241,0,0,"46.227638","2.213749"
"France",2020-01-05,995,1688,2381,250,0,0,"46.227638","2.213749"
"France",2020-01-06,1034,1754,2474,260,0,0,"46.227638","2.213749"
"France",2020-01-07,1074,1822,2570,270,0,0,"46.227638","2.213749"
"France",2020-01-08,1116,1893,2670,280,0,0,"46.227638","2.213749"
"France",2020-01-09,1159,1966,2773,291,0,0,"46.227638","2.213749"
"France",2020-01-10,1205,2043,2881,303,0,0,"46.227638","2.213749"
"France",2020-01-11,1251,2122,2993,314,0,0,"46.227638","2.213749"
"France",2020-01-12,1300,2204,3108,327,0,0,"46.227638","2.213749"
"France",2020-01-13,1350,2290,3230,339,0,0,"46.227638","2.213749"
"France",2020-01-14,1403,2379,3355,352,0,0,"46.227638","2.213749"
"France",2020-01-15,1457,2471,3485,366,0,0,"46.227638","2.213749"
"France",2020-01-16,1514,2567,3620,380,0,0,"46.227638","2.213749"
"France",2020-01-17,1573,2667,3761,395,0,0,"46.227638","2.213749"
"France",2020-01-18,1634,2771,3908,411,0,0,"46.227638","2.213749"
"France",2020-01-19,1698,2879,4060,427,0,0,"46.227638","2.213749"
"France",2020-01-20,1763,2990,4217,443,0,0,"46.227638","2.213749"
"France",2020-01-21,1832,3107,4382,460,0,0,"46.227638","2.213749"
"France",2020-01-22,1903,3227,4551,478,0,0,"46.227638","2.213749"
"France",2020-01-23,1977,3353,4729,497,0,0,"46.227638","2.213749"
"France",2020-01-24,2054,3483,4912,516,3,0,"46.227638","2.213749"
"France",2020-01-25,2133,3618,5103,536,3,0,"46.227638","2.213749"
"France",2020-01-26,2217,3759,5301,557,3,0,"46.227638","2.213749"
"France",2020-01-27,2303,3905,5507,579,3,0,"46.227638","2.213749"
"France",2020-01-28,2392,4057,5722,601,4,0,"46.227638","2.213749"
"France",2020-01-29,2485,4214,5943,624,5,0,"46.227638","2.213749"
"France",2020-01-30,2582,4378,6174,649,6,0,"46.227638","2.213749"
"France",2020-01-31,2682,4548,6414,674,6,0,"46.227638","2.213749"
"France",2020-02-01,2786,4725,6664,700,6,0,"46.227638","2.213749"
"France",2020-02-02,2894,4908,6922,727,6,0,"46.227638","2.213749"
"France",2020-02-03,3007,5099,7191,755,6,0,"46.227638","2.213749"
"France",2020-02-04,3123,5297,7471,785,6,0,"46.227638","2.213749"
"France",2020-02-05,3245,5503,7761,815,6,0,"46.227638","2.213749"
"France",2020-02-06,3371,5717,8063,847,6,0,"46.227638","2.213749"
"France",2020-02-07,3502,5939,8376,880,11,0,"46.227638","2.213749"
"France",2020-02-08,3638,6170,8702,914,11,0,"46.227638","2.213749"
"France",2020-02-09,3780,6410,9040,950,11,0,"46.227638","2.213749"
"France",2020-02-10,3927,6659,9391,987,11,0,"46.227638","2.213749"
"France",2020-02-11,4079,6917,9755,1025,11,0,"46.227638","2.213749"
"France",2020-02-12,4237,7186,10135,1065,11,0,"46.227638","2.213749"
"France",2020-02-13,4402,7465,10528,1106,11,1,"46.227638","2.213749"
"France",2020-02-14,4573,7756,10939,1149,11,1,"46.227638","2.213749"
"France",2020-02-15,4751,8057,11363,1194,11,1,"46.227638","2.213749"
"France",2020-02-16,4935,8370,11805,1240,12,1,"46.227638","2.213749"
"France",2020-02-17,5127,8695,12263,1288,12,1,"46.227638","2.213749"
"France",2020-02-18,5326,9033,12740,1338,12,1,"46.227638","2.213749"
"France",2020-02-19,5533,9384,13235,1390,12,1,"46.227638","2.213749"
"France",2020-02-20,5749,9749,13749,1444,12,1,"46.227638","2.213749"
"France",2020-02-21,5971,10127,14283,1500,12,1,"46.227638","2.213749"
"France",2020-02-22,6204,10521,14838,1559,12,1,"46.227638","2.213749"
"France",2020-02-23,6445,10930,15415,1619,12,1,"46.227638","2.213749"
"France",2020-02-24,6695,11354,16013,1682,12,1,"46.227638","2.213749"
"France",2020-02-25,6956,11796,16636,1748,14,2,"46.227638","2.213749"
"France",2020-02-26,7226,12254,17282,1816,17,2,"46.227638","2.213749"
"France",2020-02-27,7506,12730,17954,1886,38,2,"46.227638","2.213749"
"France",2020-02-28,7798,13225,18652,1959,57,2,"46.227638","2.213749"
"France",2020-02-29,8101,13739,19377,2036,100,2,"46.227638","2.213749"
"France",2020-03-01,8416,14273,20130,2115,130,3,"46.227638","2.213749"
"France",2020-03-02,8743,14827,20911,2197,178,4,"46.227638","2.213749"
"France",2020-03-03,9082,15403,21724,2282,212,4,"46.227638","2.213749"
"France",2020-03-04,9436,16002,22568,2371,285,7,"46.227638","2.213749"
"France",2020-03-05,9802,16623,23444,2463,423,9,"46.227638","2.213749"
"France",2020-03-06,10183,17269,24355,2559,613,10,"46.227638","2.213749"
"France",2020-03-07,10578,17940,25302,2658,716,19,"46.227638","2.213749"
"France",2020-03-08,10990,18638,26286,2761,1126,30,"46.227638","2.213749"
"France",2020-03-09,11417,19362,27307,2869,1412,33,"46.227638","2.213749"
"France",2020-03-10,11860,20114,28368,2980,1784,48,"46.227638","2.213749"
"France",2020-03-11,12321,20896,29471,3096,2281,61,"46.227638","2.213749"
