"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Germany",2019-12-30,1781,3198,4615,143,0,0,"51.165691","10.451526"
"Germany",2019-12-31,1838,3301,4764,148,0,0,"51.165691","10.451526"
"Germany",2020-01-01,1897,3407,4917,152,0,0,"51.165691","10.451526"
"Germany",2020-01-02,1959,3517,5075,157,0,0,"51.165691","10.451526"
"Germany",2020-01-03,2021,3630,5239,162,0,0,"51.165691","10.451526"
"Germany",2020-01-04,2087,3747,5407,167,0,0,"51.165691","10.451526"
"Germany",2020-01-05,2153,3867,5581,173,0,0,"51.165691","10.451526"
"Germany",2020-01-06,2222,3991,5760,178,0,0,"51.165691","10.451526"
"Germany",2020-01-07,2294,4120,5946,184,0,0,"51.165691","10.451526"
"Germany",2020-01-08,2368,4252,6136,190,0,0,"51.165691","10.451526"
"Germany",2020-01-09,2444,4389,6334,196,0,0,"51.165691","10.451526"
"Germany",2020-01-10,2523,4530,6537,202,0,0,"51.165691","10.451526"
"Germany",2020-01-11,2604,4676,6748,209,0,0,"51.165691","10.451526"
"Germany",2020-01-12,2687,4826,6965,216,0,0,"51.165691","10.451526"
"Germany",2020-01-13,2774,4982,7190,223,0,0,"51.165691","10.451526"
"Germany",2020-01-14,2863,5142,7421,230,0,0,"51.165691","10.451526"
"Germany",2020-01-15,2955,5307,7659,237,0,0,"51.165691","10.451526"
"Germany",2020-01-16,3051,5478,7905,245,0,0,"51.165691","10.451526"
"Germany",2020-01-17,3149,5654,8159,253,0,0,"51.165691","10.451526"
"Germany",2020-01-18,3250,5836,8422,261,0,0,"51.165691","10.451526"
"Germany",2020-01-19,3355,6024,8693,269,0,0,"51.165691","10.451526"
"Germany",2020-01-20,3462,6217,8972,278,0,0,"51.165691","10.451526"
"Germany",2020-01-21,3573,6417,9261,287,0,0,"51.165691","10.451526"
"Germany",2020-01-22,3689,6624,9559,296,0,0,"51.165691","10.451526"
"Germany",2020-01-23,3807,6837,9867,306,0,0,"51.165691","10.451526"
"Germany",2020-01-24,3930,7057,10184,315,0,0,"51.165691","10.451526"
"Germany",2020-01-25,4056,7284,10512,325,0,0,"51.165691","10.451526"
"Germany",2020-01-26,4187,7518,10849,336,0,0,"51.165691","10.451526"
"Germany",2020-01-27,4321,7760,11199,347,1,0,"51.165691","10.451526"
"Germany",2020-01-28,4460,8009,11558,358,4,0,"51.165691","10.451526"
"Germany",2020-01-29,4604,8267,11930,369,4,0,"51.165691","10.451526"
"Germany",2020-01-30,4752,8533,12314,381,5,0,"51.165691","10.451526"
"Germany",2020-01-31,4904,8807,12710,394,7,0,"51.165691","10.451526"
"Germany",2020-02-01,5062,9090,13118,406,8,0,"51.165691","10.451526"
"Germany",2020-02-02,5225,9383,13541,419,9,0,"51.165691","10.451526"
"Germany",2020-02-03,5393,9684,13975,433,11,0,"51.165691","10.451526"
"Germany",2020-02-04,5566,9996,14426,447,11,0,"51.165691","10.451526"
"Germany",2020-02-05,5745,10317,14889,461,11,0,"51.165691","10.451526"
"Germany",2020-02-06,5930,10649,15368,476,12,0,"51.165691","10.451526"
"Germany",2020-02-07,6121,10992,15863,491,13,0,"51.165691","10.451526"
"Germany",2020-02-08,6318,11345,16372,507,13,0,"51.165691","10.451526"
"Germany",2020-02-09,6521,11710,16899,523,13,0,"51.165691","10.451526"
"Germany",2020-02-10,6731,12087,17443,540,13,0,"51.165691","10.451526"
"Germany",2020-02-11,6947,12475,18003,557,15,0,"51.165691","10.451526"
"Germany",2020-02-12,7171,12877,18583,575,15,0,"51.165691","10.451526"
"Germany",2020-02-13,7401,13291,19181,594,15,0,"51.165691","10.451526"
"Germany",2020-02-14,7639,13718,19797,613,15,0,"51.165691","10.451526"
"Germany",2020-02-15,7885,14159,20433,633,15,0,"51.165691","10.451526"
"Germany",2020-02-16,8139,14615,21091,653,15,0,"51.165691","10.451526"
"Germany",2020-02-17,8400,15085,21770,674,15,0,"51.165691","10.451526"
"Germany",2020-02-18,8670,15570,22470,696,15,0,"51.165691","10.451526"
