"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Honduras",2019-12-30,2,3,4,0,0,NA,"15.199999","0"
"Honduras",2019-12-31,2,3,4,0,0,NA,"15.199999","0"
"Honduras",2020-01-01,2,3,4,0,0,NA,"15.199999","0"
"Honduras",2020-01-02,3,4,5,0,0,NA,"15.199999","0"
"Honduras",2020-01-03,3,4,5,0,0,NA,"15.199999","0"
"Honduras",2020-01-04,3,4,5,0,0,NA,"15.199999","0"
"Honduras",2020-01-05,3,4,5,0,0,NA,"15.199999","0"
"Honduras",2020-01-06,3,4,5,0,0,NA,"15.199999","0"
"Honduras",2020-01-07,4,5,6,0,0,NA,"15.199999","0"
"Honduras",2020-01-08,4,5,6,0,0,NA,"15.199999","0"
"Honduras",2020-01-09,4,5,6,0,0,NA,"15.199999","0"
"Honduras",2020-01-10,4,5,6,0,0,NA,"15.199999","0"
"Honduras",2020-01-11,5,6,7,0,0,NA,"15.199999","0"
"Honduras",2020-01-12,5,6,7,0,0,NA,"15.199999","0"
"Honduras",2020-01-13,5,6,7,0,0,NA,"15.199999","0"
"Honduras",2020-01-14,5,6,7,0,0,NA,"15.199999","0"
"Honduras",2020-01-15,6,7,8,0,0,NA,"15.199999","0"
"Honduras",2020-01-16,6,7,8,0,0,NA,"15.199999","0"
"Honduras",2020-01-17,6,7,8,0,0,NA,"15.199999","0"
"Honduras",2020-01-18,6,8,10,0,0,NA,"15.199999","0"
"Honduras",2020-01-19,6,8,10,0,0,NA,"15.199999","0"
"Honduras",2020-01-20,7,9,11,0,0,NA,"15.199999","0"
"Honduras",2020-01-21,7,9,11,0,0,NA,"15.199999","0"
"Honduras",2020-01-22,8,10,12,0,0,NA,"15.199999","0"
"Honduras",2020-01-23,8,10,12,0,0,NA,"15.199999","0"
"Honduras",2020-01-24,8,10,12,0,0,NA,"15.199999","0"
"Honduras",2020-01-25,9,11,13,0,0,NA,"15.199999","0"
"Honduras",2020-01-26,10,12,14,0,0,NA,"15.199999","0"
"Honduras",2020-01-27,10,12,14,0,0,NA,"15.199999","0"
"Honduras",2020-01-28,11,13,15,1,0,NA,"15.199999","0"
"Honduras",2020-01-29,11,13,15,1,0,NA,"15.199999","0"
"Honduras",2020-01-30,11,14,17,1,0,NA,"15.199999","0"
"Honduras",2020-01-31,12,15,18,1,0,NA,"15.199999","0"
"Honduras",2020-02-01,12,15,18,1,0,NA,"15.199999","0"
"Honduras",2020-02-02,13,16,19,1,0,NA,"15.199999","0"
"Honduras",2020-02-03,14,17,20,1,0,NA,"15.199999","0"
"Honduras",2020-02-04,15,18,21,1,0,NA,"15.199999","0"
"Honduras",2020-02-05,15,19,23,1,0,NA,"15.199999","0"
"Honduras",2020-02-06,16,20,24,1,0,NA,"15.199999","0"
"Honduras",2020-02-07,17,21,25,1,0,NA,"15.199999","0"
"Honduras",2020-02-08,18,22,26,1,0,NA,"15.199999","0"
"Honduras",2020-02-09,19,23,27,1,0,NA,"15.199999","0"
"Honduras",2020-02-10,19,24,29,1,0,NA,"15.199999","0"
"Honduras",2020-02-11,20,25,30,1,0,NA,"15.199999","0"
"Honduras",2020-02-12,21,26,31,1,0,NA,"15.199999","0"
"Honduras",2020-02-13,22,27,32,1,0,NA,"15.199999","0"
"Honduras",2020-02-14,24,29,34,1,0,NA,"15.199999","0"
"Honduras",2020-02-15,24,30,36,1,0,NA,"15.199999","0"
"Honduras",2020-02-16,26,32,38,1,0,NA,"15.199999","0"
"Honduras",2020-02-17,27,33,39,1,0,NA,"15.199999","0"
"Honduras",2020-02-18,28,35,42,1,0,NA,"15.199999","0"
"Honduras",2020-02-19,30,37,44,2,0,NA,"15.199999","0"
"Honduras",2020-02-20,32,39,46,2,0,NA,"15.199999","0"
"Honduras",2020-02-21,32,40,48,2,0,NA,"15.199999","0"
"Honduras",2020-02-22,34,42,50,2,0,NA,"15.199999","0"
"Honduras",2020-02-23,36,45,54,2,0,NA,"15.199999","0"
"Honduras",2020-02-24,38,47,56,2,0,NA,"15.199999","0"
"Honduras",2020-02-25,40,49,58,2,0,NA,"15.199999","0"
"Honduras",2020-02-26,41,51,61,2,0,NA,"15.199999","0"
"Honduras",2020-02-27,44,54,64,2,0,NA,"15.199999","0"
"Honduras",2020-02-28,46,57,68,2,0,NA,"15.199999","0"
"Honduras",2020-02-29,48,59,70,2,0,NA,"15.199999","0"
"Honduras",2020-03-01,50,62,74,3,0,NA,"15.199999","0"
"Honduras",2020-03-02,53,65,77,3,0,NA,"15.199999","0"
"Honduras",2020-03-03,56,69,82,3,0,NA,"15.199999","0"
"Honduras",2020-03-04,58,72,86,3,0,NA,"15.199999","0"
"Honduras",2020-03-05,62,76,90,3,0,NA,"15.199999","0"
"Honduras",2020-03-06,64,79,94,3,0,NA,"15.199999","0"
"Honduras",2020-03-07,67,83,99,3,0,NA,"15.199999","0"
"Honduras",2020-03-08,71,87,103,4,0,NA,"15.199999","0"
"Honduras",2020-03-09,75,92,109,4,0,NA,"15.199999","0"
"Honduras",2020-03-10,78,96,114,4,0,0,"15.199999","0"
"Honduras",2020-03-11,82,101,120,4,2,NA,"15.199999","0"
"Honduras",2020-03-12,86,106,126,4,0,0,"15.199999","0"
"Honduras",2020-03-13,90,111,132,5,3,NA,"15.199999","0"
"Honduras",2020-03-14,95,117,139,5,0,0,"15.199999","0"
"Honduras",2020-03-15,99,122,145,5,6,0,"15.199999","0"
"Honduras",2020-03-16,105,129,153,5,8,0,"15.199999","0"
"Honduras",2020-03-17,109,135,161,5,9,0,"15.199999","0"
"Honduras",2020-03-18,115,142,169,6,12,0,"15.199999","0"
"Honduras",2020-03-19,121,149,177,6,24,0,"15.199999","0"
"Honduras",2020-03-20,127,156,185,6,24,0,"15.199999","0"
"Honduras",2020-03-21,133,164,195,7,26,0,"15.199999","0"
"Honduras",2020-03-22,139,172,205,7,27,0,"15.199999","0"
"Honduras",2020-03-23,146,180,214,7,30,0,"15.199999","0"
"Honduras",2020-03-24,153,189,225,8,36,0,"15.199999","0"
"Honduras",2020-03-25,161,198,235,8,52,1,"15.199999","0"
"Honduras",2020-03-26,169,208,247,8,67,1,"15.199999","0"
"Honduras",2020-03-27,177,218,259,9,95,2,"15.199999","0"
"Honduras",2020-03-28,186,229,272,9,110,3,"15.199999","0"
"Honduras",2020-03-29,195,241,287,10,139,7,"15.199999","0"
"Honduras",2020-03-30,204,252,300,10,141,10,"15.199999","0"
"Honduras",2020-03-31,215,265,315,11,172,14,"15.199999","0"
"Honduras",2020-04-01,225,278,331,11,219,15,"15.199999","0"
"Honduras",2020-04-02,237,292,347,12,222,15,"15.199999","0"
"Honduras",2020-04-03,248,306,364,12,264,22,"15.199999","0"
"Honduras",2020-04-04,260,321,382,13,268,22,"15.199999","0"
"Honduras",2020-04-05,273,337,401,14,298,22,"15.199999","0"
"Honduras",2020-04-06,287,354,421,14,305,22,"15.199999","0"
