"dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados"
2019-12-30,9,12,15,1,0
2019-12-31,9,13,17,1,0
2020-01-01,10,14,18,1,0
2020-01-02,11,15,19,1,0
2020-01-03,12,17,22,1,0
2020-01-04,13,18,23,1,0
2020-01-05,14,20,26,2,0
2020-01-06,16,22,28,2,0
2020-01-07,17,24,31,2,0
2020-01-08,18,26,34,2,0
2020-01-09,21,29,37,2,0
2020-01-10,23,32,41,2,0
2020-01-11,25,35,45,3,0
2020-01-12,27,38,49,3,0
2020-01-13,30,42,54,3,0
2020-01-14,33,46,59,3,0
2020-01-15,36,50,64,4,0
2020-01-16,39,55,71,4,0
2020-01-17,43,60,77,5,0
2020-01-18,47,66,85,5,0
2020-01-19,51,72,93,5,0
2020-01-20,56,79,102,6,0
2020-01-21,61,86,111,7,0
2020-01-22,67,94,121,7,0
2020-01-23,73,103,133,8,0
2020-01-24,80,113,146,9,0
2020-01-25,88,124,160,9,0
2020-01-26,97,136,175,10,0
2020-01-27,106,149,192,11,0
2020-01-28,116,163,210,12,0
2020-01-29,126,178,230,14,0
2020-01-30,139,195,251,15,0
2020-01-31,152,214,276,16,0
2020-02-01,166,234,302,18,0
2020-02-02,182,256,330,19,0
2020-02-03,199,280,361,21,0
2020-02-04,218,307,396,23,0
2020-02-05,239,336,433,26,0
2020-02-06,261,368,475,28,0
2020-02-07,286,403,520,31,0
2020-02-08,314,442,570,34,0
2020-02-09,343,483,623,37,0
2020-02-10,376,529,682,40,0
2020-02-11,412,580,748,44,0
2020-02-12,451,635,819,48,0
2020-02-13,494,695,896,53,0
2020-02-14,541,761,981,58,0
2020-02-15,592,833,1074,63,0
2020-02-16,649,913,1177,69,0
2020-02-17,710,999,1288,76,0
2020-02-18,777,1094,1411,83,0
2020-02-19,851,1198,1545,91,2
2020-02-20,932,1312,1692,100,5
2020-02-21,1021,1437,1853,109,18
2020-02-22,1117,1573,2029,120,28
2020-02-23,1224,1723,2222,131,43
2020-02-24,1340,1886,2432,143,61
2020-02-25,1467,2065,2663,157,95
2020-02-26,1607,2262,2917,172,139
2020-02-27,1759,2476,3193,188,245
2020-02-28,1926,2712,3498,206,388
2020-02-29,2109,2969,3829,226,593
2020-03-01,2309,3251,4193,247,978
2020-03-02,2529,3560,4591,270,1501
2020-03-03,2769,3898,5027,296,2336
2020-03-04,3032,4269,5506,324,2922
2020-03-05,3320,4674,6028,355,3513
2020-03-06,3635,5118,6601,389,4747
2020-03-07,3981,5605,7229,426,5823
2020-03-08,4359,6137,7915,466,6566
2020-03-09,4773,6720,8667,511,7161
2020-03-10,5226,7358,9490,559,8042
2020-03-11,5724,8058,10392,612,9000
2020-03-12,6267,8823,11379,670,10075
2020-03-13,6862,9661,12460,734,11364
2020-03-14,7514,10579,13644,804,12729
2020-03-15,8228,11584,14940,880,13938
2020-03-16,9010,12684,16358,964,14991
2020-03-17,9865,13889,17913,1055,16169
2020-03-18,10803,15209,19615,1155,17361
2020-03-19,11830,16654,21478,1265,18407
2020-03-20,12953,18236,23519,1385,19644
2020-03-21,14183,19968,25753,1517,20610
2020-03-22,15531,21865,28199,1661,21638
2020-03-23,17006,23942,30878,1819,23049
2020-03-24,18622,26217,33812,1992,24811
2020-03-25,20391,28707,37023,2181,27017
2020-03-26,22328,31434,40540,2388,29406
2020-03-27,24450,34421,44392,2615,NA
2020-03-28,26772,37691,48610,2863,NA
2020-03-29,29315,41271,53227,3135,NA
2020-03-30,32100,45192,58284,3433,NA
2020-03-31,35150,49485,63820,3759,NA
2020-04-01,38489,54186,69883,4117,NA
2020-04-02,42146,59334,76522,4508,NA
