"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Iran",2019-12-30,3574,4878,6182,235,0,0,"32.427908","53.688046"
"Iran",2019-12-31,3657,4991,6325,241,0,0,"32.427908","53.688046"
"Iran",2020-01-01,3742,5106,6470,246,0,0,"32.427908","53.688046"
"Iran",2020-01-02,3829,5225,6621,252,0,0,"32.427908","53.688046"
"Iran",2020-01-03,3917,5346,6775,258,0,0,"32.427908","53.688046"
"Iran",2020-01-04,4008,5470,6932,264,0,0,"32.427908","53.688046"
"Iran",2020-01-05,4101,5596,7091,270,0,0,"32.427908","53.688046"
"Iran",2020-01-06,4196,5726,7256,276,0,0,"32.427908","53.688046"
"Iran",2020-01-07,4293,5858,7423,282,0,0,"32.427908","53.688046"
"Iran",2020-01-08,4392,5994,7596,289,0,0,"32.427908","53.688046"
"Iran",2020-01-09,4494,6133,7772,296,0,0,"32.427908","53.688046"
"Iran",2020-01-10,4598,6275,7952,302,0,0,"32.427908","53.688046"
"Iran",2020-01-11,4704,6420,8136,309,0,0,"32.427908","53.688046"
"Iran",2020-01-12,4814,6569,8324,317,0,0,"32.427908","53.688046"
"Iran",2020-01-13,4925,6721,8517,324,0,0,"32.427908","53.688046"
"Iran",2020-01-14,5039,6877,8715,332,0,0,"32.427908","53.688046"
"Iran",2020-01-15,5156,7036,8916,339,0,0,"32.427908","53.688046"
"Iran",2020-01-16,5275,7199,9123,347,0,0,"32.427908","53.688046"
"Iran",2020-01-17,5398,7366,9334,355,0,0,"32.427908","53.688046"
"Iran",2020-01-18,5522,7536,9550,363,0,0,"32.427908","53.688046"
"Iran",2020-01-19,5650,7711,9772,372,0,0,"32.427908","53.688046"
"Iran",2020-01-20,5781,7889,9997,380,0,0,"32.427908","53.688046"
"Iran",2020-01-21,5915,8072,10229,389,0,0,"32.427908","53.688046"
"Iran",2020-01-22,6052,8259,10466,398,0,0,"32.427908","53.688046"
"Iran",2020-01-23,6192,8450,10708,407,0,0,"32.427908","53.688046"
"Iran",2020-01-24,6336,8646,10956,417,0,0,"32.427908","53.688046"
"Iran",2020-01-25,6482,8846,11210,426,0,0,"32.427908","53.688046"
"Iran",2020-01-26,6632,9051,11470,436,0,0,"32.427908","53.688046"
"Iran",2020-01-27,6786,9261,11736,446,0,0,"32.427908","53.688046"
