"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Israel",2019-12-30,150,281,412,4,0,0,"31.046051","34.851612"
"Israel",2019-12-31,154,290,426,5,0,0,"31.046051","34.851612"
"Israel",2020-01-01,159,299,439,5,0,0,"31.046051","34.851612"
"Israel",2020-01-02,164,309,454,5,0,0,"31.046051","34.851612"
"Israel",2020-01-03,170,319,468,5,0,0,"31.046051","34.851612"
"Israel",2020-01-04,176,330,484,5,0,0,"31.046051","34.851612"
"Israel",2020-01-05,181,340,499,5,0,0,"31.046051","34.851612"
"Israel",2020-01-06,187,351,515,6,0,0,"31.046051","34.851612"
"Israel",2020-01-07,193,363,533,6,0,0,"31.046051","34.851612"
"Israel",2020-01-08,200,375,550,6,0,0,"31.046051","34.851612"
"Israel",2020-01-09,206,387,568,6,0,0,"31.046051","34.851612"
"Israel",2020-01-10,213,400,587,6,0,0,"31.046051","34.851612"
"Israel",2020-01-11,220,413,606,7,0,0,"31.046051","34.851612"
"Israel",2020-01-12,227,426,625,7,0,0,"31.046051","34.851612"
"Israel",2020-01-13,234,440,646,7,0,0,"31.046051","34.851612"
"Israel",2020-01-14,242,454,666,7,0,0,"31.046051","34.851612"
"Israel",2020-01-15,250,469,688,7,0,0,"31.046051","34.851612"
"Israel",2020-01-16,258,484,710,8,0,0,"31.046051","34.851612"
"Israel",2020-01-17,266,500,734,8,0,0,"31.046051","34.851612"
"Israel",2020-01-18,275,516,757,8,0,0,"31.046051","34.851612"
"Israel",2020-01-19,284,533,782,9,0,0,"31.046051","34.851612"
"Israel",2020-01-20,293,551,809,9,0,0,"31.046051","34.851612"
"Israel",2020-01-21,303,569,835,9,0,0,"31.046051","34.851612"
"Israel",2020-01-22,312,587,862,9,0,0,"31.046051","34.851612"
"Israel",2020-01-23,322,606,890,10,0,0,"31.046051","34.851612"
"Israel",2020-01-24,333,626,919,10,0,0,"31.046051","34.851612"
"Israel",2020-01-25,344,647,950,10,0,0,"31.046051","34.851612"
"Israel",2020-01-26,355,668,981,11,0,0,"31.046051","34.851612"
"Israel",2020-01-27,367,689,1011,11,0,0,"31.046051","34.851612"
"Israel",2020-01-28,379,712,1045,11,0,0,"31.046051","34.851612"
"Israel",2020-01-29,391,735,1079,12,0,0,"31.046051","34.851612"
"Israel",2020-01-30,404,759,1114,12,0,0,"31.046051","34.851612"
"Israel",2020-01-31,417,784,1151,13,0,0,"31.046051","34.851612"
"Israel",2020-02-01,430,809,1188,13,0,0,"31.046051","34.851612"
"Israel",2020-02-02,445,836,1227,13,0,0,"31.046051","34.851612"
"Israel",2020-02-03,459,863,1267,14,0,0,"31.046051","34.851612"
"Israel",2020-02-04,474,891,1308,14,0,0,"31.046051","34.851612"
"Israel",2020-02-05,489,920,1351,15,0,0,"31.046051","34.851612"
"Israel",2020-02-06,505,950,1395,15,0,0,"31.046051","34.851612"
"Israel",2020-02-07,522,981,1440,16,0,0,"31.046051","34.851612"
"Israel",2020-02-08,539,1013,1487,16,0,0,"31.046051","34.851612"
"Israel",2020-02-09,557,1046,1535,17,0,0,"31.046051","34.851612"
"Israel",2020-02-10,575,1080,1585,17,0,0,"31.046051","34.851612"
