"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Italy",2019-12-30,278,429,580,55,0,0,"41.87194","12.56738"
"Italy",2019-12-31,295,455,615,58,0,0,"41.87194","12.56738"
"Italy",2020-01-01,312,482,652,62,0,0,"41.87194","12.56738"
"Italy",2020-01-02,330,510,690,65,0,0,"41.87194","12.56738"
"Italy",2020-01-03,350,540,730,69,0,0,"41.87194","12.56738"
"Italy",2020-01-04,371,572,773,73,0,0,"41.87194","12.56738"
"Italy",2020-01-05,393,606,819,78,0,0,"41.87194","12.56738"
"Italy",2020-01-06,416,642,868,82,0,0,"41.87194","12.56738"
"Italy",2020-01-07,441,680,919,87,0,0,"41.87194","12.56738"
"Italy",2020-01-08,467,721,975,93,0,0,"41.87194","12.56738"
"Italy",2020-01-09,494,763,1032,98,0,0,"41.87194","12.56738"
"Italy",2020-01-10,524,809,1094,104,0,0,"41.87194","12.56738"
"Italy",2020-01-11,555,857,1159,110,0,0,"41.87194","12.56738"
"Italy",2020-01-12,588,907,1226,116,0,0,"41.87194","12.56738"
"Italy",2020-01-13,623,961,1299,123,0,0,"41.87194","12.56738"
"Italy",2020-01-14,659,1018,1377,131,0,0,"41.87194","12.56738"
"Italy",2020-01-15,699,1079,1459,138,0,0,"41.87194","12.56738"
"Italy",2020-01-16,740,1143,1546,147,0,0,"41.87194","12.56738"
"Italy",2020-01-17,784,1210,1636,155,0,0,"41.87194","12.56738"
"Italy",2020-01-18,831,1282,1733,164,0,0,"41.87194","12.56738"
"Italy",2020-01-19,880,1358,1836,174,0,0,"41.87194","12.56738"
"Italy",2020-01-20,932,1439,1946,185,0,0,"41.87194","12.56738"
"Italy",2020-01-21,987,1524,2061,196,0,0,"41.87194","12.56738"
"Italy",2020-01-22,1046,1614,2182,207,0,0,"41.87194","12.56738"
"Italy",2020-01-23,1108,1710,2312,219,0,0,"41.87194","12.56738"
"Italy",2020-01-24,1173,1811,2449,232,0,0,"41.87194","12.56738"
"Italy",2020-01-25,1243,1919,2595,246,0,0,"41.87194","12.56738"
"Italy",2020-01-26,1317,2033,2749,261,0,0,"41.87194","12.56738"
"Italy",2020-01-27,1395,2153,2911,276,0,0,"41.87194","12.56738"
"Italy",2020-01-28,1478,2281,3084,293,0,0,"41.87194","12.56738"
"Italy",2020-01-29,1565,2416,3267,310,0,0,"41.87194","12.56738"
"Italy",2020-01-30,1658,2559,3460,328,3,0,"41.87194","12.56738"
"Italy",2020-01-31,1756,2711,3666,348,3,0,"41.87194","12.56738"
"Italy",2020-02-01,1861,2872,3883,368,3,0,"41.87194","12.56738"
"Italy",2020-02-02,1971,3042,4113,390,3,0,"41.87194","12.56738"
"Italy",2020-02-03,2087,3222,4357,413,3,0,"41.87194","12.56738"
"Italy",2020-02-04,2211,3413,4615,438,3,0,"41.87194","12.56738"
"Italy",2020-02-05,2343,3616,4889,464,3,0,"41.87194","12.56738"
"Italy",2020-02-06,2481,3830,5179,491,3,0,"41.87194","12.56738"
"Italy",2020-02-07,2628,4057,5486,520,3,0,"41.87194","12.56738"
"Italy",2020-02-08,2784,4298,5812,551,3,0,"41.87194","12.56738"
"Italy",2020-02-09,2950,4553,6156,584,3,0,"41.87194","12.56738"
"Italy",2020-02-10,3124,4823,6522,619,3,0,"41.87194","12.56738"
