"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
175,2020-06-23,4,6,8,127
176,2020-06-24,5,7,9,152
177,2020-06-25,5,7,9,166
178,2020-06-26,6,8,10,172
179,2020-06-27,6,8,10,172
180,2020-06-28,7,9,11,199
181,2020-06-29,7,10,13,218
182,2020-06-30,7,10,13,232
183,2020-07-01,8,11,14,250
184,2020-07-02,9,12,15,267
185,2020-07-03,10,13,16,275
186,2020-07-04,10,14,18,NA
187,2020-07-05,11,15,19,NA
188,2020-07-06,12,16,20,NA
189,2020-07-07,13,17,21,NA
190,2020-07-08,13,18,23,NA
191,2020-07-09,15,20,25,NA
192,2020-07-10,16,21,26,NA
193,2020-07-11,17,23,29,NA
194,2020-07-12,18,24,30,NA
195,2020-07-13,19,26,33,NA
