"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
175,2020-06-23,52,59,66,61
176,2020-06-24,57,64,71,76
177,2020-06-25,61,69,77,80
178,2020-06-26,66,75,84,82
179,2020-06-27,72,81,90,82
180,2020-06-28,78,88,98,90
181,2020-06-29,85,96,107,93
182,2020-06-30,92,104,116,103
183,2020-07-01,100,113,126,112
184,2020-07-02,109,123,137,118
185,2020-07-03,117,133,149,127
186,2020-07-04,128,145,162,NA
187,2020-07-05,139,157,175,NA
188,2020-07-06,151,171,191,NA
189,2020-07-07,163,185,207,NA
190,2020-07-08,177,201,225,NA
191,2020-07-09,193,219,245,NA
192,2020-07-10,209,237,265,NA
193,2020-07-11,228,258,288,NA
194,2020-07-12,247,280,313,NA
195,2020-07-13,268,304,340,NA
