"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
191,2020-07-09,35,43,51,2915
192,2020-07-10,36,45,54,3033
193,2020-07-11,37,46,55,3110
194,2020-07-12,39,48,57,3141
195,2020-07-13,41,51,61,3214
196,2020-07-14,43,53,63,3303
197,2020-07-15,44,55,66,3351
198,2020-07-16,46,57,68,3472
199,2020-07-17,48,60,72,3563
200,2020-07-18,50,62,74,3621
201,2020-07-19,52,65,78,3637
202,2020-07-20,55,68,81,NA
203,2020-07-21,57,71,85,NA
204,2020-07-22,59,74,89,NA
205,2020-07-23,62,77,92,NA
206,2020-07-24,64,80,96,NA
207,2020-07-25,67,84,101,NA
208,2020-07-26,70,87,104,NA
209,2020-07-27,73,91,109,NA
210,2020-07-28,76,95,114,NA
211,2020-07-29,80,99,118,NA
