"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
141,2020-05-20,14642,15269,15896,15114
142,2020-05-21,15826,16503,17180,16058
143,2020-05-22,17105,17837,18569,17212
144,2020-05-23,18488,19279,20070,18767
145,2020-05-24,19982,20837,21692,21191
146,2020-05-25,21597,22522,23447,22786
147,2020-05-26,23343,24342,25341,24278
148,2020-05-27,25230,26310,27390,26145
149,2020-05-28,27270,28437,29604,NA
150,2020-05-29,29474,30736,31998,NA
151,2020-05-30,31856,33220,34584,NA
152,2020-05-31,34432,35906,37380,NA
153,2020-06-01,37215,38808,40401,NA
154,2020-06-02,40223,41945,43667,NA
155,2020-06-03,43475,45336,47197,NA
