"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
181,2020-06-29,39744,42546,45348,43864
182,2020-06-30,41733,44676,47619,45001
183,2020-07-01,43823,46913,50003,47584
184,2020-07-02,46017,49262,52507,50707
185,2020-07-03,48321,51728,55135,53351
186,2020-07-04,50740,54318,57896,55958
187,2020-07-05,53280,57037,60794,58283
188,2020-07-06,55948,59893,63838,59626
189,2020-07-07,58749,62891,67033,60897
190,2020-07-08,61690,66040,70390,64035
191,2020-07-09,64778,69346,73914,66864
192,2020-07-10,68022,72818,77614,NA
193,2020-07-11,71428,76464,81500,NA
194,2020-07-12,75003,80292,85581,NA
195,2020-07-13,78759,84312,89865,NA
196,2020-07-14,82702,88533,94364,NA
197,2020-07-15,86843,92966,99089,NA
198,2020-07-16,91190,97620,104050,NA
199,2020-07-17,95755,102507,109259,NA
200,2020-07-18,100549,107639,114729,NA
201,2020-07-19,105583,113028,120473,NA
