"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Norway",2019-12-30,355,635,915,18,0,0,"60.472024","8.468946"
"Norway",2019-12-31,362,647,932,18,0,0,"60.472024","8.468946"
"Norway",2020-01-01,368,658,948,18,0,0,"60.472024","8.468946"
"Norway",2020-01-02,375,670,965,19,0,0,"60.472024","8.468946"
"Norway",2020-01-03,382,683,984,19,0,0,"60.472024","8.468946"
"Norway",2020-01-04,389,695,1001,19,0,0,"60.472024","8.468946"
"Norway",2020-01-05,396,708,1020,20,0,0,"60.472024","8.468946"
"Norway",2020-01-06,404,721,1038,20,0,0,"60.472024","8.468946"
"Norway",2020-01-07,411,734,1057,20,0,0,"60.472024","8.468946"
"Norway",2020-01-08,418,747,1076,21,0,0,"60.472024","8.468946"
"Norway",2020-01-09,426,761,1096,21,0,0,"60.472024","8.468946"
"Norway",2020-01-10,434,775,1116,22,0,0,"60.472024","8.468946"
"Norway",2020-01-11,442,789,1136,22,0,0,"60.472024","8.468946"
"Norway",2020-01-12,449,803,1157,22,0,0,"60.472024","8.468946"
"Norway",2020-01-13,458,818,1178,23,0,0,"60.472024","8.468946"
"Norway",2020-01-14,466,833,1200,23,0,0,"60.472024","8.468946"
"Norway",2020-01-15,475,848,1221,24,0,0,"60.472024","8.468946"
"Norway",2020-01-16,483,863,1243,24,0,0,"60.472024","8.468946"
"Norway",2020-01-17,492,879,1266,24,0,0,"60.472024","8.468946"
"Norway",2020-01-18,501,895,1289,25,0,0,"60.472024","8.468946"
"Norway",2020-01-19,510,911,1312,25,0,0,"60.472024","8.468946"
"Norway",2020-01-20,519,928,1337,26,0,0,"60.472024","8.468946"
"Norway",2020-01-21,529,945,1361,26,0,0,"60.472024","8.468946"
"Norway",2020-01-22,538,962,1386,27,0,0,"60.472024","8.468946"
"Norway",2020-01-23,548,979,1410,27,0,0,"60.472024","8.468946"
"Norway",2020-01-24,558,997,1436,28,0,0,"60.472024","8.468946"
"Norway",2020-01-25,568,1015,1462,28,0,0,"60.472024","8.468946"
"Norway",2020-01-26,579,1034,1489,29,0,0,"60.472024","8.468946"
"Norway",2020-01-27,589,1053,1517,29,0,0,"60.472024","8.468946"
"Norway",2020-01-28,600,1072,1544,30,0,0,"60.472024","8.468946"
"Norway",2020-01-29,611,1092,1573,30,0,0,"60.472024","8.468946"
"Norway",2020-01-30,622,1111,1600,31,0,0,"60.472024","8.468946"
"Norway",2020-01-31,634,1132,1630,32,0,0,"60.472024","8.468946"
"Norway",2020-02-01,645,1152,1659,32,0,0,"60.472024","8.468946"
"Norway",2020-02-02,657,1173,1689,33,0,0,"60.472024","8.468946"
