"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
149,2020-05-28,27077,30514,33951,33699
150,2020-05-29,29110,32805,36500,36486
151,2020-05-30,31296,35268,39240,37296
152,2020-05-31,33645,37915,42185,37961
153,2020-06-01,36170,40761,45352,38046
154,2020-06-02,38886,43821,48756,41207
155,2020-06-03,41805,47111,52417,44774
156,2020-06-04,44943,50647,56351,48049
157,2020-06-05,48317,54449,60581,NA
158,2020-06-06,51944,58537,65130,NA
159,2020-06-07,55844,62931,70018,NA
160,2020-06-08,60036,67655,75274,NA
161,2020-06-09,64543,72734,80925,NA
162,2020-06-10,69388,78194,87000,NA
163,2020-06-11,74597,84064,93531,NA
