"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Pakistan",2019-12-30,54,60,66,1,0,0,"30.375321","69.345116"
"Pakistan",2019-12-31,56,63,70,1,0,0,"30.375321","69.345116"
"Pakistan",2020-01-01,59,66,73,1,0,0,"30.375321","69.345116"
"Pakistan",2020-01-02,63,70,77,1,0,0,"30.375321","69.345116"
"Pakistan",2020-01-03,65,73,81,1,0,0,"30.375321","69.345116"
"Pakistan",2020-01-04,68,76,84,1,0,0,"30.375321","69.345116"
"Pakistan",2020-01-05,72,80,88,2,0,0,"30.375321","69.345116"
"Pakistan",2020-01-06,75,84,93,2,0,0,"30.375321","69.345116"
"Pakistan",2020-01-07,79,88,97,2,0,0,"30.375321","69.345116"
"Pakistan",2020-01-08,82,92,102,2,0,0,"30.375321","69.345116"
"Pakistan",2020-01-09,86,96,106,2,0,0,"30.375321","69.345116"
"Pakistan",2020-01-10,90,101,112,2,0,0,"30.375321","69.345116"
"Pakistan",2020-01-11,95,106,117,2,0,0,"30.375321","69.345116"
"Pakistan",2020-01-12,99,111,123,2,0,0,"30.375321","69.345116"
"Pakistan",2020-01-13,104,116,128,2,0,0,"30.375321","69.345116"
"Pakistan",2020-01-14,109,122,135,2,0,0,"30.375321","69.345116"
"Pakistan",2020-01-15,114,127,140,3,0,0,"30.375321","69.345116"
"Pakistan",2020-01-16,119,133,147,3,0,0,"30.375321","69.345116"
"Pakistan",2020-01-17,125,140,155,3,0,0,"30.375321","69.345116"
"Pakistan",2020-01-18,131,146,161,3,0,0,"30.375321","69.345116"
"Pakistan",2020-01-19,137,153,169,3,0,0,"30.375321","69.345116"
"Pakistan",2020-01-20,144,161,178,3,0,0,"30.375321","69.345116"
"Pakistan",2020-01-21,150,168,186,3,0,0,"30.375321","69.345116"
"Pakistan",2020-01-22,158,176,194,3,0,0,"30.375321","69.345116"
"Pakistan",2020-01-23,166,185,204,4,0,0,"30.375321","69.345116"
"Pakistan",2020-01-24,174,194,214,4,0,0,"30.375321","69.345116"
"Pakistan",2020-01-25,182,203,224,4,0,0,"30.375321","69.345116"
"Pakistan",2020-01-26,190,212,234,4,0,0,"30.375321","69.345116"
"Pakistan",2020-01-27,200,223,246,4,0,0,"30.375321","69.345116"
"Pakistan",2020-01-28,209,233,257,5,0,0,"30.375321","69.345116"
"Pakistan",2020-01-29,218,244,270,5,0,0,"30.375321","69.345116"
"Pakistan",2020-01-30,229,256,283,5,0,0,"30.375321","69.345116"
"Pakistan",2020-01-31,240,268,296,5,0,0,"30.375321","69.345116"
"Pakistan",2020-02-01,252,281,310,6,0,0,"30.375321","69.345116"
"Pakistan",2020-02-02,263,294,325,6,0,0,"30.375321","69.345116"
"Pakistan",2020-02-03,276,308,340,6,0,0,"30.375321","69.345116"
"Pakistan",2020-02-04,289,323,357,6,0,0,"30.375321","69.345116"
"Pakistan",2020-02-05,303,338,373,7,0,0,"30.375321","69.345116"
"Pakistan",2020-02-06,317,354,391,7,0,0,"30.375321","69.345116"
"Pakistan",2020-02-07,332,371,410,7,0,0,"30.375321","69.345116"
"Pakistan",2020-02-08,348,389,430,8,0,0,"30.375321","69.345116"
"Pakistan",2020-02-09,365,408,451,8,0,0,"30.375321","69.345116"
"Pakistan",2020-02-10,382,427,472,8,0,0,"30.375321","69.345116"
"Pakistan",2020-02-11,400,447,494,9,0,0,"30.375321","69.345116"
"Pakistan",2020-02-12,420,469,518,9,0,0,"30.375321","69.345116"
"Pakistan",2020-02-13,440,491,542,10,0,0,"30.375321","69.345116"
"Pakistan",2020-02-14,460,514,568,10,0,0,"30.375321","69.345116"
"Pakistan",2020-02-15,483,539,595,11,0,0,"30.375321","69.345116"
"Pakistan",2020-02-16,505,564,623,11,0,0,"30.375321","69.345116"
"Pakistan",2020-02-17,529,591,653,12,0,0,"30.375321","69.345116"
"Pakistan",2020-02-18,554,619,684,12,0,0,"30.375321","69.345116"
"Pakistan",2020-02-19,581,649,717,13,0,0,"30.375321","69.345116"
"Pakistan",2020-02-20,609,680,751,13,0,0,"30.375321","69.345116"
"Pakistan",2020-02-21,638,712,786,14,0,0,"30.375321","69.345116"
"Pakistan",2020-02-22,668,746,824,15,0,0,"30.375321","69.345116"
"Pakistan",2020-02-23,700,782,864,15,0,0,"30.375321","69.345116"
"Pakistan",2020-02-24,733,819,905,16,0,0,"30.375321","69.345116"
"Pakistan",2020-02-25,768,858,948,17,0,0,"30.375321","69.345116"
"Pakistan",2020-02-26,805,899,993,18,2,0,"30.375321","69.345116"
"Pakistan",2020-02-27,843,942,1041,19,2,0,"30.375321","69.345116"
"Pakistan",2020-02-28,883,986,1089,19,2,0,"30.375321","69.345116"
"Pakistan",2020-02-29,925,1033,1141,20,4,0,"30.375321","69.345116"
"Pakistan",2020-03-01,970,1083,1196,21,4,NA,"30.375321","69.345116"
"Pakistan",2020-03-02,1015,1134,1253,22,0,0,"30.375321","69.345116"
"Pakistan",2020-03-03,1064,1188,1312,23,5,NA,"30.375321","69.345116"
"Pakistan",2020-03-04,1115,1245,1375,25,0,NA,"30.375321","69.345116"
"Pakistan",2020-03-05,1168,1304,1440,26,0,0,"30.375321","69.345116"
"Pakistan",2020-03-06,1223,1366,1509,27,6,NA,"30.375321","69.345116"
"Pakistan",2020-03-07,1281,1431,1581,28,0,NA,"30.375321","69.345116"
"Pakistan",2020-03-08,1343,1500,1657,30,0,0,"30.375321","69.345116"
"Pakistan",2020-03-09,1407,1571,1735,31,16,0,"30.375321","69.345116"
"Pakistan",2020-03-10,1474,1646,1818,32,16,0,"30.375321","69.345116"
"Pakistan",2020-03-11,1544,1724,1904,34,20,0,"30.375321","69.345116"
"Pakistan",2020-03-12,1617,1806,1995,36,21,0,"30.375321","69.345116"
"Pakistan",2020-03-13,1694,1892,2090,37,21,0,"30.375321","69.345116"
"Pakistan",2020-03-14,1775,1982,2189,39,30,0,"30.375321","69.345116"
"Pakistan",2020-03-15,1860,2077,2294,41,31,0,"30.375321","69.345116"
"Pakistan",2020-03-16,1948,2176,2404,43,187,0,"30.375321","69.345116"
"Pakistan",2020-03-17,2041,2279,2517,45,187,0,"30.375321","69.345116"
"Pakistan",2020-03-18,2138,2388,2638,47,302,2,"30.375321","69.345116"
"Pakistan",2020-03-19,2240,2502,2764,49,478,3,"30.375321","69.345116"
"Pakistan",2020-03-20,2347,2621,2895,52,495,3,"30.375321","69.345116"
"Pakistan",2020-03-21,2459,2746,3033,54,646,5,"30.375321","69.345116"
