"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
166,2020-06-14,0,1,2,86
167,2020-06-15,0,1,2,87
168,2020-06-16,0,1,2,98
169,2020-06-17,0,1,2,101
170,2020-06-18,0,1,2,110
171,2020-06-19,0,1,2,119
172,2020-06-20,0,1,2,119
173,2020-06-21,0,2,4,119
174,2020-06-22,0,2,4,125
175,2020-06-23,0,2,4,131
176,2020-06-24,0,2,4,138
177,2020-06-25,-1,3,7,NA
178,2020-06-26,-1,3,7,NA
179,2020-06-27,-1,4,9,NA
180,2020-06-28,-1,4,9,NA
181,2020-06-29,-1,5,11,NA
182,2020-06-30,-1,6,13,NA
183,2020-07-01,-1,7,15,NA
184,2020-07-02,-1,8,17,NA
185,2020-07-03,-2,9,20,NA
186,2020-07-04,-2,11,24,NA
