"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Paraguay",2019-12-30,4,6,8,0,0,NA,"0","0"
"Paraguay",2019-12-31,4,6,8,0,0,NA,"0","0"
"Paraguay",2020-01-01,4,6,8,0,0,NA,"0","0"
"Paraguay",2020-01-02,4,6,8,0,0,NA,"0","0"
"Paraguay",2020-01-03,4,6,8,0,0,NA,"0","0"
"Paraguay",2020-01-04,5,7,9,0,0,NA,"0","0"
"Paraguay",2020-01-05,5,7,9,0,0,NA,"0","0"
"Paraguay",2020-01-06,5,7,9,0,0,NA,"0","0"
"Paraguay",2020-01-07,5,7,9,0,0,NA,"0","0"
"Paraguay",2020-01-08,6,8,10,0,0,NA,"0","0"
"Paraguay",2020-01-09,6,8,10,0,0,NA,"0","0"
"Paraguay",2020-01-10,6,8,10,0,0,NA,"0","0"
"Paraguay",2020-01-11,6,8,10,0,0,NA,"0","0"
"Paraguay",2020-01-12,6,9,12,0,0,NA,"0","0"
"Paraguay",2020-01-13,6,9,12,0,0,NA,"0","0"
"Paraguay",2020-01-14,6,9,12,0,0,NA,"0","0"
"Paraguay",2020-01-15,7,10,13,0,0,NA,"0","0"
"Paraguay",2020-01-16,7,10,13,0,0,NA,"0","0"
"Paraguay",2020-01-17,7,10,13,0,0,NA,"0","0"
"Paraguay",2020-01-18,8,11,14,0,0,NA,"0","0"
"Paraguay",2020-01-19,8,11,14,0,0,NA,"0","0"
"Paraguay",2020-01-20,8,11,14,0,0,NA,"0","0"
"Paraguay",2020-01-21,8,12,16,0,0,NA,"0","0"
"Paraguay",2020-01-22,8,12,16,0,0,NA,"0","0"
"Paraguay",2020-01-23,9,13,17,0,0,NA,"0","0"
"Paraguay",2020-01-24,9,13,17,0,0,NA,"0","0"
"Paraguay",2020-01-25,10,14,18,0,0,NA,"0","0"
"Paraguay",2020-01-26,10,14,18,0,0,NA,"0","0"
"Paraguay",2020-01-27,10,15,20,0,0,NA,"0","0"
"Paraguay",2020-01-28,10,15,20,0,0,NA,"0","0"
"Paraguay",2020-01-29,11,16,21,0,0,NA,"0","0"
"Paraguay",2020-01-30,11,16,21,0,0,NA,"0","0"
"Paraguay",2020-01-31,12,17,22,0,0,NA,"0","0"
"Paraguay",2020-02-01,12,17,22,0,0,NA,"0","0"
"Paraguay",2020-02-02,12,18,24,0,0,NA,"0","0"
"Paraguay",2020-02-03,12,18,24,0,0,NA,"0","0"
"Paraguay",2020-02-04,13,19,25,0,0,NA,"0","0"
"Paraguay",2020-02-05,14,20,26,0,0,NA,"0","0"
"Paraguay",2020-02-06,14,20,26,0,0,NA,"0","0"
"Paraguay",2020-02-07,15,21,27,0,0,NA,"0","0"
"Paraguay",2020-02-08,15,22,29,0,0,NA,"0","0"
"Paraguay",2020-02-09,16,23,30,0,0,NA,"0","0"
"Paraguay",2020-02-10,16,23,30,0,0,NA,"0","0"
"Paraguay",2020-02-11,17,24,31,0,0,NA,"0","0"
"Paraguay",2020-02-12,17,25,33,0,0,NA,"0","0"
"Paraguay",2020-02-13,18,26,34,0,0,NA,"0","0"
"Paraguay",2020-02-14,19,27,35,0,0,NA,"0","0"
"Paraguay",2020-02-15,19,28,37,0,0,NA,"0","0"
"Paraguay",2020-02-16,20,29,38,0,0,NA,"0","0"
"Paraguay",2020-02-17,21,30,39,0,0,NA,"0","0"
"Paraguay",2020-02-18,21,31,41,0,0,NA,"0","0"
"Paraguay",2020-02-19,22,32,42,0,0,NA,"0","0"
"Paraguay",2020-02-20,23,33,43,0,0,NA,"0","0"
"Paraguay",2020-02-21,24,34,44,0,0,NA,"0","0"
"Paraguay",2020-02-22,24,35,46,0,0,NA,"0","0"
"Paraguay",2020-02-23,25,36,47,0,0,NA,"0","0"
"Paraguay",2020-02-24,26,38,50,0,0,NA,"0","0"
"Paraguay",2020-02-25,27,39,51,0,0,NA,"0","0"
"Paraguay",2020-02-26,28,40,52,0,0,NA,"0","0"
"Paraguay",2020-02-27,29,42,55,0,0,NA,"0","0"
"Paraguay",2020-02-28,30,43,56,0,0,NA,"0","0"
"Paraguay",2020-02-29,30,44,58,0,0,NA,"0","0"
"Paraguay",2020-03-01,32,46,60,0,0,NA,"0","0"
"Paraguay",2020-03-02,33,48,63,0,0,NA,"0","0"
"Paraguay",2020-03-03,34,49,64,0,0,NA,"0","0"
"Paraguay",2020-03-04,35,51,67,0,0,NA,"0","0"
"Paraguay",2020-03-05,37,53,69,1,0,NA,"0","0"
"Paraguay",2020-03-06,37,54,71,1,0,0,"0","0"
"Paraguay",2020-03-07,39,56,73,1,1,NA,"0","0"
"Paraguay",2020-03-08,40,58,76,1,0,NA,"0","0"
"Paraguay",2020-03-09,42,60,78,1,0,0,"0","0"
"Paraguay",2020-03-10,43,62,81,1,5,NA,"0","0"
"Paraguay",2020-03-11,45,65,85,1,0,0,"0","0"
"Paraguay",2020-03-12,46,67,88,1,6,0,"0","0"
"Paraguay",2020-03-13,48,69,90,1,7,NA,"0","0"
"Paraguay",2020-03-14,49,71,93,1,0,0,"0","0"
"Paraguay",2020-03-15,51,74,97,1,8,0,"0","0"
"Paraguay",2020-03-16,53,77,101,1,9,0,"0","0"
"Paraguay",2020-03-17,55,79,103,1,11,0,"0","0"
"Paraguay",2020-03-18,57,82,107,1,11,0,"0","0"
"Paraguay",2020-03-19,59,85,111,1,13,1,"0","0"
"Paraguay",2020-03-20,61,88,115,1,18,1,"0","0"
"Paraguay",2020-03-21,63,91,119,1,22,1,"0","0"
"Paraguay",2020-03-22,65,94,123,1,22,1,"0","0"
"Paraguay",2020-03-23,67,97,127,1,27,3,"0","0"
"Paraguay",2020-03-24,69,100,131,1,37,3,"0","0"
"Paraguay",2020-03-25,72,104,136,1,41,3,"0","0"
"Paraguay",2020-03-26,74,107,140,1,52,3,"0","0"
"Paraguay",2020-03-27,77,111,145,1,56,3,"0","0"
"Paraguay",2020-03-28,80,115,150,1,59,3,"0","0"
"Paraguay",2020-03-29,82,119,156,1,64,3,"0","0"
"Paraguay",2020-03-30,85,123,161,1,65,3,"0","0"
"Paraguay",2020-03-31,88,127,166,1,69,3,"0","0"
"Paraguay",2020-04-01,91,132,173,1,69,3,"0","0"
"Paraguay",2020-04-02,94,136,178,1,77,3,"0","0"
"Paraguay",2020-04-03,98,141,184,1,96,3,"0","0"
"Paraguay",2020-04-04,101,146,191,1,104,5,"0","0"
"Paraguay",2020-04-05,104,151,198,1,113,5,"0","0"
"Paraguay",2020-04-06,108,156,204,1,113,5,"0","0"
"Paraguay",2020-04-07,111,161,211,2,115,5,"0","0"
"Paraguay",2020-04-08,116,167,218,2,124,6,"0","0"
"Paraguay",2020-04-09,120,173,226,2,129,6,"0","0"
"Paraguay",2020-04-10,124,179,234,2,133,6,"0","0"
"Paraguay",2020-04-11,128,185,242,2,134,6,"0","0"
"Paraguay",2020-04-12,132,191,250,2,147,7,"0","0"
"Paraguay",2020-04-13,137,198,259,2,159,8,"0","0"
"Paraguay",2020-04-14,142,205,268,2,161,8,"0","0"
"Paraguay",2020-04-15,147,212,277,2,174,8,"0","0"
"Paraguay",2020-04-16,151,219,287,2,174,8,"0","0"
"Paraguay",2020-04-17,157,227,297,2,202,8,"0","0"
"Paraguay",2020-04-18,162,234,306,2,202,8,"0","0"
"Paraguay",2020-04-19,168,243,318,2,206,8,"0","0"
"Paraguay",2020-04-20,174,251,328,2,208,9,"0","0"
"Paraguay",2020-04-21,180,260,340,2,213,9,"0","0"
"Paraguay",2020-04-22,186,269,352,3,213,9,"0","0"
"Paraguay",2020-04-23,192,278,364,3,220,9,"0","0"
"Paraguay",2020-04-24,199,287,375,3,223,9,"0","0"
"Paraguay",2020-04-25,205,297,389,3,228,9,"0","0"
"Paraguay",2020-04-26,213,308,403,3,228,9,"0","0"
"Paraguay",2020-04-27,220,318,416,3,230,9,"0","0"
"Paraguay",2020-04-28,228,329,430,3,239,9,"0","0"
