"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
135,2020-05-14,999,1402,1805,1033
136,2020-05-15,1084,1522,1960,1089
137,2020-05-16,1176,1651,2126,1146
138,2020-05-17,1276,1791,2306,1245
139,2020-05-18,1385,1944,2503,1260
140,2020-05-19,1502,2109,2716,1327
141,2020-05-20,1630,2288,2946,2637
142,2020-05-21,1769,2483,3197,2852
143,2020-05-22,1919,2694,3469,NA
144,2020-05-23,2082,2923,3764,NA
145,2020-05-24,2260,3172,4084,NA
146,2020-05-25,2451,3441,4431,NA
147,2020-05-26,2660,3734,4808,NA
148,2020-05-27,2886,4052,5218,NA
149,2020-05-28,3131,4396,5661,NA
