"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Poland",2019-12-30,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2019-12-31,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-01,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-02,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-03,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-04,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-05,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-06,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-07,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-08,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-09,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-10,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-11,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-12,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-13,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-14,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-15,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-16,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-17,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-18,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-19,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-20,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-21,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-22,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-23,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-24,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-25,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-26,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-27,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-28,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-29,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-30,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-31,1,1,1,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-01,1,1,1,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-02,1,1,1,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-03,1,1,1,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-04,1,1,1,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-05,1,1,1,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-06,1,1,1,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-07,1,1,1,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-08,2,2,2,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-09,2,2,2,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-10,2,2,2,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-11,2,2,2,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-12,2,3,4,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-13,2,3,4,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-14,3,4,5,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-15,3,4,5,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-16,4,5,6,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-17,5,6,7,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-18,5,6,7,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-19,6,7,8,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-20,7,9,11,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-21,8,10,12,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-22,9,11,13,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-23,10,13,16,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-24,12,15,18,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-25,14,17,20,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-26,16,20,24,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-27,18,23,28,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-28,21,26,31,1,0,NA,"51.919438","19.145136"
"Poland",2020-02-29,24,30,36,1,0,NA,"51.919438","19.145136"
"Poland",2020-03-01,27,34,41,1,0,NA,"51.919438","19.145136"
"Poland",2020-03-02,32,40,48,1,0,0,"51.919438","19.145136"
"Poland",2020-03-03,37,46,55,1,1,NA,"51.919438","19.145136"
"Poland",2020-03-04,42,52,62,1,0,NA,"51.919438","19.145136"
"Poland",2020-03-05,48,60,72,1,0,0,"51.919438","19.145136"
"Poland",2020-03-06,55,69,83,1,5,0,"51.919438","19.145136"
"Poland",2020-03-07,64,80,96,2,6,0,"51.919438","19.145136"
"Poland",2020-03-08,73,91,109,2,11,0,"51.919438","19.145136"
"Poland",2020-03-09,84,105,126,2,17,0,"51.919438","19.145136"
"Poland",2020-03-10,97,121,145,2,22,0,"51.919438","19.145136"
"Poland",2020-03-11,111,139,167,3,31,1,"51.919438","19.145136"
"Poland",2020-03-12,128,160,192,3,49,2,"51.919438","19.145136"
"Poland",2020-03-13,147,184,221,4,68,3,"51.919438","19.145136"
"Poland",2020-03-14,169,211,253,4,104,3,"51.919438","19.145136"
"Poland",2020-03-15,195,243,291,5,125,4,"51.919438","19.145136"
"Poland",2020-03-16,223,279,335,6,177,5,"51.919438","19.145136"
"Poland",2020-03-17,257,321,385,6,238,5,"51.919438","19.145136"
"Poland",2020-03-18,296,369,442,7,287,5,"51.919438","19.145136"
"Poland",2020-03-19,340,424,508,8,355,5,"51.919438","19.145136"
"Poland",2020-03-20,390,487,584,10,425,5,"51.919438","19.145136"
"Poland",2020-03-21,449,560,671,11,536,7,"51.919438","19.145136"
"Poland",2020-03-22,516,644,772,13,634,8,"51.919438","19.145136"
"Poland",2020-03-23,594,741,888,15,749,10,"51.919438","19.145136"
"Poland",2020-03-24,682,851,1020,17,901,14,"51.919438","19.145136"
"Poland",2020-03-25,784,979,1174,19,1051,16,"51.919438","19.145136"
"Poland",2020-03-26,901,1125,1349,22,1221,16,"51.919438","19.145136"
"Poland",2020-03-27,1037,1294,1551,26,1389,18,"51.919438","19.145136"
"Poland",2020-03-28,1191,1487,1783,30,1638,22,"51.919438","19.145136"
"Poland",2020-03-29,1370,1710,2050,34,1862,31,"51.919438","19.145136"
"Poland",2020-03-30,1574,1965,2356,39,2055,33,"51.919438","19.145136"
"Poland",2020-03-31,1810,2259,2708,45,2311,43,"51.919438","19.145136"
"Poland",2020-04-01,2080,2597,3114,52,2554,57,"51.919438","19.145136"
"Poland",2020-04-02,2392,2986,3580,59,2946,65,"51.919438","19.145136"
"Poland",2020-04-03,2750,3433,4116,68,3266,65,"51.919438","19.145136"
"Poland",2020-04-04,3161,3946,4731,79,NA,NA,"51.919438","19.145136"
"Poland",2020-04-05,3634,4537,5440,90,NA,NA,"51.919438","19.145136"
"Poland",2020-04-06,4177,5215,6253,104,NA,NA,"51.919438","19.145136"
"Poland",2020-04-07,4803,5996,7189,119,NA,NA,"51.919438","19.145136"
"Poland",2020-04-08,5521,6893,8265,137,NA,NA,"51.919438","19.145136"
"Poland",2020-04-09,6347,7924,9501,158,NA,NA,"51.919438","19.145136"
"Poland",2020-04-10,7297,9110,10923,181,NA,NA,"51.919438","19.145136"
