"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
183,2020-07-01,0,1,2,16
184,2020-07-02,0,1,2,16
185,2020-07-03,0,1,2,20
186,2020-07-04,0,1,2,22
187,2020-07-05,0,1,2,23
188,2020-07-06,0,1,2,24
189,2020-07-07,0,1,2,23
190,2020-07-08,0,1,2,23
191,2020-07-09,0,1,2,23
192,2020-07-10,0,1,2,23
193,2020-07-11,0,1,2,25
194,2020-07-12,0,1,2,NA
195,2020-07-13,1,2,3,NA
196,2020-07-14,1,2,3,NA
197,2020-07-15,1,2,3,NA
198,2020-07-16,1,2,3,NA
199,2020-07-17,1,2,3,NA
200,2020-07-18,1,2,3,NA
201,2020-07-19,1,2,3,NA
202,2020-07-20,1,2,3,NA
203,2020-07-21,1,3,5,NA
