"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados"
"Qatar",2019-12-30,0,0,0,0,0
"Qatar",2019-12-31,0,0,0,0,0
"Qatar",2020-01-01,0,0,0,0,0
"Qatar",2020-01-02,0,0,0,0,0
"Qatar",2020-01-03,0,1,2,0,0
"Qatar",2020-01-04,0,1,2,0,0
"Qatar",2020-01-05,0,1,2,0,0
"Qatar",2020-01-06,0,1,2,0,0
"Qatar",2020-01-07,0,1,2,0,0
"Qatar",2020-01-08,0,1,2,0,0
"Qatar",2020-01-09,0,1,2,0,0
"Qatar",2020-01-10,0,1,2,0,0
"Qatar",2020-01-11,0,1,2,0,0
"Qatar",2020-01-12,0,1,2,0,0
"Qatar",2020-01-13,0,1,2,0,0
"Qatar",2020-01-14,0,1,2,0,0
"Qatar",2020-01-15,0,1,2,0,0
"Qatar",2020-01-16,1,2,3,0,0
"Qatar",2020-01-17,1,2,3,0,0
"Qatar",2020-01-18,1,2,3,0,0
"Qatar",2020-01-19,1,2,3,0,0
"Qatar",2020-01-20,1,2,3,0,0
"Qatar",2020-01-21,1,2,3,0,0
"Qatar",2020-01-22,1,3,5,0,0
"Qatar",2020-01-23,1,3,5,0,0
"Qatar",2020-01-24,1,3,5,0,0
"Qatar",2020-01-25,1,3,5,0,0
"Qatar",2020-01-26,1,4,7,0,0
"Qatar",2020-01-27,1,4,7,0,0
"Qatar",2020-01-28,1,4,7,0,0
"Qatar",2020-01-29,1,5,9,0,0
"Qatar",2020-01-30,1,5,9,0,0
"Qatar",2020-01-31,2,6,10,0,0
"Qatar",2020-02-01,2,6,10,0,0
"Qatar",2020-02-02,2,7,12,0,0
"Qatar",2020-02-03,2,7,12,0,0
"Qatar",2020-02-04,2,8,14,0,0
"Qatar",2020-02-05,2,9,16,0,0
"Qatar",2020-02-06,2,9,16,0,0
"Qatar",2020-02-07,3,10,17,0,0
"Qatar",2020-02-08,3,11,19,0,0
"Qatar",2020-02-09,3,12,21,0,0
"Qatar",2020-02-10,3,13,23,0,0
"Qatar",2020-02-11,4,14,24,0,0
"Qatar",2020-02-12,4,16,28,0,0
"Qatar",2020-02-13,4,17,30,0,0
"Qatar",2020-02-14,5,19,33,0,0
"Qatar",2020-02-15,5,20,35,0,0
"Qatar",2020-02-16,6,22,38,0,0
"Qatar",2020-02-17,6,24,42,0,0
"Qatar",2020-02-18,7,26,45,0,0
"Qatar",2020-02-19,7,28,49,0,0
"Qatar",2020-02-20,8,31,54,0,0
"Qatar",2020-02-21,9,34,59,0,0
"Qatar",2020-02-22,10,37,64,0,0
"Qatar",2020-02-23,11,40,69,0,0
"Qatar",2020-02-24,11,43,75,0,0
"Qatar",2020-02-25,12,47,82,0,0
"Qatar",2020-02-26,14,52,90,0,0
"Qatar",2020-02-27,15,56,97,0,0
"Qatar",2020-02-28,16,61,106,0,0
"Qatar",2020-02-29,18,67,116,0,1
"Qatar",2020-03-01,19,72,125,0,3
"Qatar",2020-03-02,21,79,137,0,0
"Qatar",2020-03-03,23,86,149,0,8
"Qatar",2020-03-04,25,94,163,0,0
"Qatar",2020-03-05,27,102,177,0,0
"Qatar",2020-03-06,29,111,193,0,11
"Qatar",2020-03-07,32,121,210,0,12
"Qatar",2020-03-08,35,132,229,0,15
"Qatar",2020-03-09,38,143,248,0,18
"Qatar",2020-03-10,41,156,271,0,24
"Qatar",2020-03-11,45,170,295,0,262
"Qatar",2020-03-12,49,185,321,0,0
"Qatar",2020-03-13,53,202,351,0,320
"Qatar",2020-03-14,58,220,382,0,337
"Qatar",2020-03-15,63,239,415,0,401
"Qatar",2020-03-16,68,260,452,0,439
"Qatar",2020-03-17,75,284,493,0,442
"Qatar",2020-03-18,81,309,537,1,452
"Qatar",2020-03-19,88,336,584,1,460
"Qatar",2020-03-20,96,366,636,1,470
"Qatar",2020-03-21,105,399,693,1,481
"Qatar",2020-03-22,114,435,756,1,494
"Qatar",2020-03-23,124,473,822,1,501
"Qatar",2020-03-24,136,515,894,1,526
"Qatar",2020-03-25,148,561,974,1,537
"Qatar",2020-03-26,161,611,1061,1,549
"Qatar",2020-03-27,175,666,1157,1,562
"Qatar",2020-03-28,191,725,1259,1,590
"Qatar",2020-03-29,208,789,1370,1,NA
"Qatar",2020-03-30,226,860,1494,1,NA
"Qatar",2020-03-31,246,936,1626,2,NA
"Qatar",2020-04-01,268,1020,1772,2,NA
"Qatar",2020-04-02,292,1110,1928,2,NA
"Qatar",2020-04-03,318,1209,2100,2,NA
"Qatar",2020-04-04,347,1317,2287,2,NA
