"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
185,2020-07-03,5225,6883,8541,59448
186,2020-07-04,5362,7063,8764,60033
187,2020-07-05,5501,7247,8993,60233
188,2020-07-06,5645,7436,9227,60596
189,2020-07-07,5792,7630,9468,61658
190,2020-07-08,5943,7829,9715,62463
191,2020-07-09,6099,8034,9969,63396
192,2020-07-10,6258,8243,10228,64027
193,2020-07-11,6421,8458,10495,64102
194,2020-07-12,6589,8679,10769,64110
195,2020-07-13,6760,8905,11050,64635
196,2020-07-14,6937,9138,11339,NA
197,2020-07-15,7118,9376,11634,NA
198,2020-07-16,7304,9621,11938,NA
199,2020-07-17,7494,9872,12250,NA
200,2020-07-18,7689,10129,12569,NA
201,2020-07-19,7890,10393,12896,NA
202,2020-07-20,8095,10664,13233,NA
203,2020-07-21,8307,10943,13579,NA
204,2020-07-22,8524,11228,13932,NA
205,2020-07-23,8746,11521,14296,NA
