"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
171,2020-06-19,1,3,5,91
172,2020-06-20,1,3,5,93
173,2020-06-21,1,3,5,100
174,2020-06-22,1,3,5,109
175,2020-06-23,2,4,6,109
176,2020-06-24,2,4,6,132
177,2020-06-25,2,4,6,155
178,2020-06-26,2,5,8,168
179,2020-06-27,2,5,8,168
180,2020-06-28,3,6,9,170
181,2020-06-29,3,6,9,175
182,2020-06-30,3,7,11,NA
183,2020-07-01,4,8,12,NA
184,2020-07-02,4,8,12,NA
185,2020-07-03,4,9,14,NA
186,2020-07-04,5,10,15,NA
187,2020-07-05,5,11,17,NA
188,2020-07-06,6,12,18,NA
189,2020-07-07,6,13,20,NA
190,2020-07-08,7,14,21,NA
191,2020-07-09,7,15,23,NA
