"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
103,2020-04-12,244,321,398,339
104,2020-04-13,263,345,427,376
105,2020-04-14,282,371,460,399
106,2020-04-15,305,400,495,400
107,2020-04-16,327,430,533,463
108,2020-04-17,352,463,574,516
109,2020-04-18,380,499,618,531
110,2020-04-19,409,537,665,595
111,2020-04-20,440,578,716,608
112,2020-04-21,474,622,770,646
113,2020-04-22,510,670,830,708
114,2020-04-23,549,721,893,754
115,2020-04-24,591,776,961,781
116,2020-04-25,636,836,1036,825
117,2020-04-26,685,900,1115,832
118,2020-04-27,738,969,1200,857
119,2020-04-28,794,1043,1292,NA
120,2020-04-29,855,1123,1391,NA
121,2020-04-30,920,1209,1498,NA
122,2020-05-01,990,1301,1612,NA
123,2020-05-02,1067,1401,1735,NA
124,2020-05-03,1148,1508,1868,NA
125,2020-05-04,1236,1623,2010,NA
126,2020-05-05,1330,1747,2164,NA
127,2020-05-06,1432,1881,2330,NA
128,2020-05-07,1542,2025,2508,NA
129,2020-05-08,1660,2180,2700,NA
130,2020-05-09,1787,2347,2907,NA
131,2020-05-10,1923,2526,3129,NA
132,2020-05-11,2071,2720,3369,NA
133,2020-05-12,2229,2928,3627,NA
