"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
175,2020-06-23,56,63,70,65
176,2020-06-24,59,66,73,68
177,2020-06-25,63,70,77,75
178,2020-06-26,65,73,81,76
179,2020-06-27,69,77,85,76
180,2020-06-28,72,81,90,85
181,2020-06-29,76,85,94,86
182,2020-06-30,80,89,98,90
183,2020-07-01,84,94,104,91
184,2020-07-02,88,98,108,93
185,2020-07-03,92,103,114,98
186,2020-07-04,97,108,119,NA
187,2020-07-05,102,114,126,NA
188,2020-07-06,106,119,132,NA
189,2020-07-07,112,125,138,NA
190,2020-07-08,118,132,146,NA
191,2020-07-09,123,138,153,NA
192,2020-07-10,130,145,160,NA
193,2020-07-11,137,153,169,NA
194,2020-07-12,143,160,177,NA
195,2020-07-13,150,168,186,NA
