"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
179,2020-06-27,137,173,209,173
180,2020-06-28,141,178,215,174
181,2020-06-29,145,183,221,178
182,2020-06-30,150,189,228,180
183,2020-07-01,154,194,234,185
184,2020-07-02,159,200,241,187
185,2020-07-03,164,206,248,190
186,2020-07-04,168,212,256,192
187,2020-07-05,173,218,263,195
188,2020-07-06,178,224,270,198
189,2020-07-07,184,231,278,205
190,2020-07-08,189,238,287,NA
191,2020-07-09,195,245,295,NA
192,2020-07-10,200,252,304,NA
193,2020-07-11,206,259,312,NA
194,2020-07-12,212,267,322,NA
195,2020-07-13,218,274,330,NA
196,2020-07-14,224,282,340,NA
197,2020-07-15,231,291,351,NA
198,2020-07-16,238,299,360,NA
199,2020-07-17,245,308,371,NA
