"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
177,2020-06-25,20278,21773,23268,21951
178,2020-06-26,21092,22647,24202,22947
179,2020-06-27,21939,23556,25173,23808
180,2020-06-28,22820,24502,26184,24364
181,2020-06-29,23736,25486,27236,25056
182,2020-06-30,24690,26510,28330,26354
183,2020-07-01,25681,27574,29467,27279
184,2020-07-02,26712,28681,30650,28575
185,2020-07-03,27785,29833,31881,30261
186,2020-07-04,28901,31031,33161,31931
187,2020-07-05,30061,32277,34493,32969
188,2020-07-06,31268,33573,35878,NA
189,2020-07-07,32524,34921,37318,NA
190,2020-07-08,33830,36323,38816,NA
191,2020-07-09,35188,37782,40376,NA
192,2020-07-10,36601,39299,41997,NA
193,2020-07-11,38071,40877,43683,NA
194,2020-07-12,39599,42518,45437,NA
195,2020-07-13,41190,44226,47262,NA
196,2020-07-14,42843,46001,49159,NA
197,2020-07-15,44564,47849,51134,NA
