"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
178,2020-06-26,18551,21573,24595,21908
179,2020-06-27,19379,22536,25693,23319
180,2020-06-28,20243,23541,26839,24421
181,2020-06-29,21146,24591,28036,24817
182,2020-06-30,22089,25688,29287,25411
183,2020-07-01,23074,26834,30594,25915
184,2020-07-02,24104,28031,31958,26612
185,2020-07-03,25180,29282,33384,28186
186,2020-07-04,26303,30588,34873,29761
187,2020-07-05,27476,31953,36430,30217
188,2020-07-06,28702,33378,38054,30718
189,2020-07-07,29982,34867,39752,NA
190,2020-07-08,31320,36423,41526,NA
191,2020-07-09,32717,38048,43379,NA
192,2020-07-10,34177,39745,45313,NA
193,2020-07-11,35701,41518,47335,NA
194,2020-07-12,37294,43370,49446,NA
195,2020-07-13,38958,45305,51652,NA
196,2020-07-14,40695,47326,53957,NA
197,2020-07-15,42511,49437,56363,NA
198,2020-07-16,44408,51643,58878,NA
