"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
188,2020-07-06,270,341,412,8242
189,2020-07-07,277,350,423,8520
190,2020-07-08,284,359,434,8757
191,2020-07-09,291,368,445,8930
192,2020-07-10,299,378,457,9087
193,2020-07-11,307,388,469,9180
194,2020-07-12,315,398,481,9182
195,2020-07-13,323,408,493,9258
196,2020-07-14,331,419,507,9371
197,2020-07-15,340,430,520,9476
198,2020-07-16,349,441,533,9643
199,2020-07-17,357,452,547,NA
200,2020-07-18,367,464,561,NA
201,2020-07-19,376,476,576,NA
202,2020-07-20,387,489,591,NA
203,2020-07-21,396,501,606,NA
204,2020-07-22,406,514,622,NA
205,2020-07-23,418,528,638,NA
206,2020-07-24,428,541,654,NA
207,2020-07-25,439,555,671,NA
208,2020-07-26,451,570,689,NA
