"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Singapore",2019-12-30,208,327,446,0,0,0,"1.352083","103.819836"
"Singapore",2019-12-31,214,337,460,0,0,0,"1.352083","103.819836"
"Singapore",2020-01-01,220,347,474,0,0,0,"1.352083","103.819836"
"Singapore",2020-01-02,227,358,489,0,0,0,"1.352083","103.819836"
"Singapore",2020-01-03,234,369,504,0,0,0,"1.352083","103.819836"
"Singapore",2020-01-04,241,380,519,0,0,0,"1.352083","103.819836"
"Singapore",2020-01-05,249,392,535,0,0,0,"1.352083","103.819836"
"Singapore",2020-01-06,256,404,552,0,0,0,"1.352083","103.819836"
"Singapore",2020-01-07,265,417,569,0,0,0,"1.352083","103.819836"
"Singapore",2020-01-08,272,429,586,0,0,0,"1.352083","103.819836"
"Singapore",2020-01-09,281,443,605,0,0,0,"1.352083","103.819836"
"Singapore",2020-01-10,289,456,623,0,0,0,"1.352083","103.819836"
"Singapore",2020-01-11,298,470,642,0,0,0,"1.352083","103.819836"
"Singapore",2020-01-12,308,485,662,0,0,0,"1.352083","103.819836"
"Singapore",2020-01-13,317,500,683,0,0,0,"1.352083","103.819836"
"Singapore",2020-01-14,327,515,703,0,0,0,"1.352083","103.819836"
"Singapore",2020-01-15,337,531,725,0,0,0,"1.352083","103.819836"
"Singapore",2020-01-16,347,547,747,0,0,0,"1.352083","103.819836"
"Singapore",2020-01-17,358,564,770,0,0,0,"1.352083","103.819836"
"Singapore",2020-01-18,369,581,793,0,0,0,"1.352083","103.819836"
"Singapore",2020-01-19,380,599,818,0,0,0,"1.352083","103.819836"
"Singapore",2020-01-20,392,618,844,0,0,0,"1.352083","103.819836"
"Singapore",2020-01-21,404,637,870,0,0,0,"1.352083","103.819836"
"Singapore",2020-01-22,416,656,896,0,0,0,"1.352083","103.819836"
"Singapore",2020-01-23,430,677,924,0,3,0,"1.352083","103.819836"
