"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Slovenia",2019-12-30,68,127,186,9,0,NA,"46.151241","14.995463"
"Slovenia",2019-12-31,69,129,189,9,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-01,70,131,192,10,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-02,72,134,196,10,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-03,73,136,199,10,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-04,74,138,202,10,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-05,76,141,206,10,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-06,77,143,209,10,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-07,78,145,212,11,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-08,80,148,216,11,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-09,81,151,221,11,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-10,82,153,224,11,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-11,84,156,228,11,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-12,85,158,231,12,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-13,87,161,235,12,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-14,88,164,240,12,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-15,90,167,244,12,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-16,91,170,249,12,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-17,93,173,253,13,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-18,95,176,257,13,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-19,96,179,262,13,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-20,98,182,266,13,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-21,100,185,270,14,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-22,101,188,275,14,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-23,103,191,279,14,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-24,105,195,285,14,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-25,107,198,289,15,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-26,108,201,294,15,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-27,110,205,300,15,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-28,112,208,304,15,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-29,114,212,310,16,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-30,116,216,316,16,0,NA,"46.151241","14.995463"
"Slovenia",2020-01-31,118,219,320,16,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-01,120,223,326,16,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-02,122,227,332,17,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-03,124,231,338,17,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-04,126,235,344,17,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-05,129,239,349,18,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-06,131,243,355,18,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-07,133,247,361,18,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-08,136,252,368,18,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-09,138,256,374,19,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-10,140,260,380,19,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-11,143,265,387,19,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-12,145,269,393,20,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-13,147,274,401,20,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-14,150,279,408,20,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-15,153,284,415,21,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-16,155,288,421,21,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-17,158,293,428,21,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-18,161,299,437,22,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-19,164,304,444,22,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-20,166,309,452,23,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-21,169,314,459,23,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-22,172,320,468,23,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-23,175,325,475,24,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-24,178,331,484,24,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-25,181,337,493,25,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-26,184,342,500,25,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-27,187,348,509,26,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-28,190,354,518,26,0,NA,"46.151241","14.995463"
"Slovenia",2020-02-29,194,360,526,26,0,NA,"46.151241","14.995463"
