"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
172,2020-06-20,112,124,136,127
173,2020-06-21,119,132,145,130
174,2020-06-22,127,141,155,131
175,2020-06-23,135,150,165,143
176,2020-06-24,144,160,176,148
177,2020-06-25,154,171,188,167
178,2020-06-26,164,182,200,184
179,2020-06-27,175,194,213,184
180,2020-06-28,186,207,228,215
181,2020-06-29,198,220,242,224
182,2020-06-30,212,235,258,234
183,2020-07-01,225,250,275,NA
184,2020-07-02,240,267,294,NA
185,2020-07-03,256,284,312,NA
186,2020-07-04,273,303,333,NA
187,2020-07-05,291,323,355,NA
188,2020-07-06,310,344,378,NA
189,2020-07-07,330,367,404,NA
190,2020-07-08,352,391,430,NA
191,2020-07-09,375,417,459,NA
192,2020-07-10,400,444,488,NA
