"dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados"
2019-12-30,0,0,0,0,0
2019-12-31,0,0,0,0,0
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,1,1,1,0,0
2020-01-23,1,1,1,0,0
2020-01-24,1,1,1,0,0
2020-01-25,1,1,1,0,0
2020-01-26,1,1,1,0,0
2020-01-27,1,1,1,0,0
2020-01-28,2,2,2,0,0
2020-01-29,2,2,2,0,0
2020-01-30,2,2,2,0,0
2020-01-31,3,3,3,0,1
2020-02-01,3,4,5,0,1
2020-02-02,3,4,5,0,1
2020-02-03,4,5,6,0,1
2020-02-04,5,6,7,0,1
2020-02-05,6,7,8,1,1
2020-02-06,8,9,10,1,1
2020-02-07,9,10,11,1,1
2020-02-08,10,12,14,1,1
2020-02-09,13,15,17,1,2
2020-02-10,16,18,20,1,2
2020-02-11,18,21,24,2,2
2020-02-12,22,25,28,2,2
2020-02-13,26,30,34,2,2
2020-02-14,31,36,41,3,2
2020-02-15,37,43,49,3,2
2020-02-16,45,52,59,4,2
2020-02-17,54,62,70,5,2
2020-02-18,64,74,84,6,2
2020-02-19,76,88,100,7,2
2020-02-20,92,106,120,8,2
2020-02-21,110,127,144,10,2
2020-02-22,131,152,173,12,2
2020-02-23,156,181,206,14,2
2020-02-24,188,217,246,17,3
2020-02-25,224,259,294,20,7
2020-02-26,268,310,352,24,12
2020-02-27,321,371,421,29,25
2020-02-28,384,444,504,35,34
2020-02-29,460,532,604,42,66
2020-03-01,550,636,722,50,83
2020-03-02,658,761,864,59,114
2020-03-03,786,910,1034,71,151
2020-03-04,941,1089,1237,85,200
2020-03-05,1126,1303,1480,102,261
2020-03-06,1347,1559,1771,122,374
2020-03-07,1612,1865,2118,146,430
2020-03-08,1928,2231,2534,174,589
2020-03-09,2307,2669,3031,209,1204
2020-03-10,2760,3194,3628,250,1639
2020-03-11,3302,3821,4340,299,2140
2020-03-12,3950,4571,5192,357,3004
2020-03-13,4727,5469,6211,428,4231
2020-03-14,5655,6543,7431,512,5753
2020-03-15,6765,7828,8891,612,7753
2020-03-16,8095,9366,10637,732,9191
2020-03-17,9684,11205,12726,876,11178
2020-03-18,11585,13405,15225,1048,13716
2020-03-19,13861,16038,18215,1254,17147
2020-03-20,16583,19188,21793,1500,19980
2020-03-21,19840,22956,26072,1795,24926
2020-03-22,23736,27464,31192,2147,28572
2020-03-23,28397,32858,37319,2569,33089
2020-03-24,33974,39311,44648,3073,39673
2020-03-25,40646,47031,53416,3677,47610
2020-03-26,48628,56267,63906,4399,56188
2020-03-27,58178,67317,76456,5263,65719
2020-03-28,69604,80538,91472,6297,NA
2020-03-29,83273,96354,109435,7533,NA
2020-03-30,99627,115277,130927,9013,NA
2020-03-31,119193,137916,156639,10782,NA
2020-04-01,142601,165001,187401,12900,NA
2020-04-02,170606,197405,224204,15433,NA
2020-04-03,204111,236173,268235,18464,NA
