"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Spain",2019-12-30,1372,3602,5832,366,0,0,"40.463667","0"
"Spain",2019-12-31,1418,3724,6030,378,0,0,"40.463667","0"
"Spain",2020-01-01,1467,3851,6235,391,0,0,"40.463667","0"
"Spain",2020-01-02,1516,3982,6448,404,0,0,"40.463667","0"
"Spain",2020-01-03,1568,4118,6668,418,0,0,"40.463667","0"
"Spain",2020-01-04,1622,4258,6894,432,0,0,"40.463667","0"
"Spain",2020-01-05,1677,4403,7129,447,0,0,"40.463667","0"
"Spain",2020-01-06,1734,4553,7372,462,0,0,"40.463667","0"
"Spain",2020-01-07,1793,4707,7621,478,0,0,"40.463667","0"
"Spain",2020-01-08,1854,4868,7882,494,0,0,"40.463667","0"
"Spain",2020-01-09,1917,5033,8149,511,0,0,"40.463667","0"
"Spain",2020-01-10,1982,5205,8428,528,0,0,"40.463667","0"
"Spain",2020-01-11,2050,5382,8714,546,0,0,"40.463667","0"
"Spain",2020-01-12,2119,5565,9011,565,0,0,"40.463667","0"
"Spain",2020-01-13,2191,5754,9317,584,0,0,"40.463667","0"
"Spain",2020-01-14,2266,5950,9634,604,0,0,"40.463667","0"
"Spain",2020-01-15,2343,6153,9963,625,0,0,"40.463667","0"
"Spain",2020-01-16,2423,6362,10301,646,0,0,"40.463667","0"
"Spain",2020-01-17,2505,6579,10653,668,0,0,"40.463667","0"
"Spain",2020-01-18,2590,6802,11014,690,0,0,"40.463667","0"
"Spain",2020-01-19,2679,7034,11389,714,0,0,"40.463667","0"
"Spain",2020-01-20,2770,7273,11776,738,0,0,"40.463667","0"
"Spain",2020-01-21,2864,7521,12178,763,0,0,"40.463667","0"
"Spain",2020-01-22,2962,7777,12592,789,0,0,"40.463667","0"
"Spain",2020-01-23,3062,8041,13020,816,0,0,"40.463667","0"
"Spain",2020-01-24,3167,8315,13463,844,0,0,"40.463667","0"
"Spain",2020-01-25,3274,8598,13922,873,0,0,"40.463667","0"
"Spain",2020-01-26,3386,8891,14396,902,0,0,"40.463667","0"
"Spain",2020-01-27,3501,9193,14885,933,0,0,"40.463667","0"
"Spain",2020-01-28,3620,9506,15392,965,0,0,"40.463667","0"
"Spain",2020-01-29,3744,9830,15916,998,0,0,"40.463667","0"
"Spain",2020-01-30,3871,10164,16457,1032,0,0,"40.463667","0"
"Spain",2020-01-31,4003,10510,17017,1067,1,0,"40.463667","0"
"Spain",2020-02-01,4139,10868,17597,1103,1,0,"40.463667","0"
"Spain",2020-02-02,4280,11238,18196,1141,1,0,"40.463667","0"
"Spain",2020-02-03,4425,11620,18815,1179,1,0,"40.463667","0"
"Spain",2020-02-04,4576,12015,19454,1219,1,0,"40.463667","0"
"Spain",2020-02-05,4731,12424,20117,1261,1,0,"40.463667","0"
"Spain",2020-02-06,4892,12847,20802,1304,1,0,"40.463667","0"
"Spain",2020-02-07,5059,13284,21509,1348,1,0,"40.463667","0"
"Spain",2020-02-08,5231,13736,22241,1394,1,0,"40.463667","0"
"Spain",2020-02-09,5409,14204,22999,1442,2,0,"40.463667","0"
"Spain",2020-02-10,5593,14687,23781,1491,2,0,"40.463667","0"
"Spain",2020-02-11,5784,15187,24590,1541,2,0,"40.463667","0"
"Spain",2020-02-12,5981,15704,25427,1594,2,0,"40.463667","0"
"Spain",2020-02-13,6184,16238,26292,1648,2,0,"40.463667","0"
"Spain",2020-02-14,6394,16791,27188,1704,2,0,"40.463667","0"
"Spain",2020-02-15,6612,17362,28112,1762,2,0,"40.463667","0"
"Spain",2020-02-16,6837,17953,29069,1822,2,0,"40.463667","0"
"Spain",2020-02-17,7070,18564,30058,1884,2,0,"40.463667","0"
"Spain",2020-02-18,7310,19196,31082,1948,2,0,"40.463667","0"
"Spain",2020-02-19,7559,19849,32139,2015,2,0,"40.463667","0"
"Spain",2020-02-20,7816,20525,33234,2083,2,0,"40.463667","0"
"Spain",2020-02-21,8082,21223,34364,2154,2,0,"40.463667","0"
"Spain",2020-02-22,8358,21946,35534,2227,2,0,"40.463667","0"
"Spain",2020-02-23,8642,22693,36744,2303,2,0,"40.463667","0"
"Spain",2020-02-24,8936,23465,37994,2382,3,0,"40.463667","0"
"Spain",2020-02-25,9240,24263,39286,2463,7,0,"40.463667","0"
"Spain",2020-02-26,9555,25089,40623,2546,12,0,"40.463667","0"
"Spain",2020-02-27,9880,25943,42006,2633,25,0,"40.463667","0"
"Spain",2020-02-28,10216,26826,43436,2723,34,0,"40.463667","0"
"Spain",2020-02-29,10564,27739,44914,2815,66,0,"40.463667","0"
"Spain",2020-03-01,10923,28683,46443,2911,83,0,"40.463667","0"
"Spain",2020-03-02,11295,29659,48023,3010,114,0,"40.463667","0"
"Spain",2020-03-03,11679,30668,49657,3113,151,1,"40.463667","0"
"Spain",2020-03-04,12077,31712,51347,3219,200,3,"40.463667","0"
"Spain",2020-03-05,12488,32791,53094,3328,261,5,"40.463667","0"
"Spain",2020-03-06,12913,33907,54901,3441,374,5,"40.463667","0"
"Spain",2020-03-07,13352,35061,56770,3559,430,5,"40.463667","0"
"Spain",2020-03-08,13807,36254,58701,3680,589,28,"40.463667","0"
"Spain",2020-03-09,14276,37488,60700,3805,1204,35,"40.463667","0"
"Spain",2020-03-10,14762,38764,62766,3934,1639,47,"40.463667","0"
"Spain",2020-03-11,15265,40083,64901,4068,2140,84,"40.463667","0"
"Spain",2020-03-12,15784,41447,67110,4207,3004,121,"40.463667","0"
