"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
178,2020-06-26,56,67,78,72
179,2020-06-27,60,72,84,72
180,2020-06-28,63,76,89,76
181,2020-06-29,68,81,94,81
182,2020-06-30,72,86,100,84
183,2020-07-01,77,92,107,90
184,2020-07-02,81,97,113,98
185,2020-07-03,87,104,121,107
186,2020-07-04,92,110,128,107
187,2020-07-05,98,117,136,110
188,2020-07-06,103,124,145,114
189,2020-07-07,110,132,154,NA
190,2020-07-08,118,141,164,NA
191,2020-07-09,124,149,174,NA
192,2020-07-10,133,159,185,NA
193,2020-07-11,141,169,197,NA
194,2020-07-12,150,180,210,NA
195,2020-07-13,159,191,223,NA
196,2020-07-14,169,203,237,NA
197,2020-07-15,180,216,252,NA
198,2020-07-16,192,230,268,NA
