"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
163,2020-06-11,31,39,47,34
164,2020-06-12,34,42,50,34
165,2020-06-13,35,44,53,43
166,2020-06-14,38,47,56,45
167,2020-06-15,40,50,60,54
168,2020-06-16,42,52,62,54
169,2020-06-17,44,55,66,59
170,2020-06-18,47,59,71,61
171,2020-06-19,50,62,74,63
172,2020-06-20,53,66,79,73
173,2020-06-21,56,70,84,74
174,2020-06-22,59,74,89,NA
175,2020-06-23,62,78,94,NA
176,2020-06-24,66,83,100,NA
177,2020-06-25,70,88,106,NA
178,2020-06-26,74,93,112,NA
179,2020-06-27,78,98,118,NA
180,2020-06-28,83,104,125,NA
181,2020-06-29,88,110,132,NA
182,2020-06-30,93,116,139,NA
183,2020-07-01,98,123,148,NA
