"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Thailand",2019-12-30,1,1,1,0,0,0,"15.870032","100.992541"
"Thailand",2019-12-31,1,1,1,0,0,0,"15.870032","100.992541"
"Thailand",2020-01-01,1,2,3,0,0,0,"15.870032","100.992541"
"Thailand",2020-01-02,1,2,3,0,0,0,"15.870032","100.992541"
"Thailand",2020-01-03,1,2,3,0,0,0,"15.870032","100.992541"
"Thailand",2020-01-04,1,2,3,0,0,0,"15.870032","100.992541"
"Thailand",2020-01-05,1,2,3,0,0,0,"15.870032","100.992541"
"Thailand",2020-01-06,1,2,3,0,0,0,"15.870032","100.992541"
"Thailand",2020-01-07,1,2,3,0,0,0,"15.870032","100.992541"
"Thailand",2020-01-08,2,3,4,0,0,0,"15.870032","100.992541"
"Thailand",2020-01-09,2,3,4,0,0,0,"15.870032","100.992541"
"Thailand",2020-01-10,2,3,4,0,0,0,"15.870032","100.992541"
"Thailand",2020-01-11,2,3,4,0,0,0,"15.870032","100.992541"
"Thailand",2020-01-12,2,3,4,0,1,0,"15.870032","100.992541"
"Thailand",2020-01-13,2,4,6,0,1,0,"15.870032","100.992541"
"Thailand",2020-01-14,2,4,6,0,1,0,"15.870032","100.992541"
"Thailand",2020-01-15,2,4,6,0,1,0,"15.870032","100.992541"
"Thailand",2020-01-16,3,5,7,0,2,0,"15.870032","100.992541"
"Thailand",2020-01-17,3,5,7,0,2,0,"15.870032","100.992541"
"Thailand",2020-01-18,3,5,7,0,2,0,"15.870032","100.992541"
"Thailand",2020-01-19,3,6,9,0,2,0,"15.870032","100.992541"
"Thailand",2020-01-20,3,6,9,0,2,0,"15.870032","100.992541"
"Thailand",2020-01-21,4,7,10,0,4,0,"15.870032","100.992541"
"Thailand",2020-01-22,4,7,10,0,4,0,"15.870032","100.992541"
"Thailand",2020-01-23,5,8,11,0,4,0,"15.870032","100.992541"
"Thailand",2020-01-24,5,9,13,0,5,0,"15.870032","100.992541"
"Thailand",2020-01-25,5,9,13,0,5,0,"15.870032","100.992541"
"Thailand",2020-01-26,6,10,14,0,8,0,"15.870032","100.992541"
"Thailand",2020-01-27,6,11,16,0,14,0,"15.870032","100.992541"
"Thailand",2020-01-28,7,12,17,0,14,0,"15.870032","100.992541"
"Thailand",2020-01-29,8,13,18,0,14,0,"15.870032","100.992541"
"Thailand",2020-01-30,8,13,18,0,14,0,"15.870032","100.992541"
"Thailand",2020-01-31,9,15,21,0,19,0,"15.870032","100.992541"
"Thailand",2020-02-01,9,16,23,0,19,0,"15.870032","100.992541"
"Thailand",2020-02-02,10,17,24,0,19,0,"15.870032","100.992541"
"Thailand",2020-02-03,10,18,26,0,19,0,"15.870032","100.992541"
"Thailand",2020-02-04,12,20,28,0,25,0,"15.870032","100.992541"
"Thailand",2020-02-05,12,21,30,0,25,0,"15.870032","100.992541"
"Thailand",2020-02-06,13,23,33,0,25,0,"15.870032","100.992541"
"Thailand",2020-02-07,15,25,35,0,32,0,"15.870032","100.992541"
"Thailand",2020-02-08,16,27,38,0,32,0,"15.870032","100.992541"
"Thailand",2020-02-09,17,29,41,0,32,0,"15.870032","100.992541"
"Thailand",2020-02-10,18,31,44,0,32,0,"15.870032","100.992541"
"Thailand",2020-02-11,19,33,47,0,33,0,"15.870032","100.992541"
"Thailand",2020-02-12,21,36,51,1,33,0,"15.870032","100.992541"
"Thailand",2020-02-13,23,39,55,1,33,0,"15.870032","100.992541"
"Thailand",2020-02-14,24,42,60,1,34,0,"15.870032","100.992541"
"Thailand",2020-02-15,26,45,64,1,34,0,"15.870032","100.992541"
"Thailand",2020-02-16,29,49,69,1,34,0,"15.870032","100.992541"
"Thailand",2020-02-17,30,52,74,1,35,0,"15.870032","100.992541"
"Thailand",2020-02-18,33,57,81,1,35,0,"15.870032","100.992541"
"Thailand",2020-02-19,35,61,87,1,35,0,"15.870032","100.992541"
"Thailand",2020-02-20,38,66,94,1,35,0,"15.870032","100.992541"
"Thailand",2020-02-21,41,71,101,1,35,0,"15.870032","100.992541"
"Thailand",2020-02-22,45,77,109,1,35,0,"15.870032","100.992541"
"Thailand",2020-02-23,48,83,118,1,35,0,"15.870032","100.992541"
"Thailand",2020-02-24,52,89,126,1,37,0,"15.870032","100.992541"
"Thailand",2020-02-25,56,96,136,1,40,0,"15.870032","100.992541"
"Thailand",2020-02-26,60,104,148,1,40,0,"15.870032","100.992541"
"Thailand",2020-02-27,65,112,159,2,40,0,"15.870032","100.992541"
"Thailand",2020-02-28,70,120,170,2,42,1,"15.870032","100.992541"
"Thailand",2020-02-29,76,130,184,2,42,1,"15.870032","100.992541"
"Thailand",2020-03-01,81,140,199,2,43,NA,"15.870032","100.992541"
"Thailand",2020-03-02,88,151,214,2,0,NA,"15.870032","100.992541"
"Thailand",2020-03-03,95,163,231,2,0,1,"15.870032","100.992541"
"Thailand",2020-03-04,102,176,250,2,47,NA,"15.870032","100.992541"
"Thailand",2020-03-05,110,189,268,3,0,1,"15.870032","100.992541"
"Thailand",2020-03-06,119,204,289,3,50,NA,"15.870032","100.992541"
"Thailand",2020-03-07,128,220,312,3,0,NA,"15.870032","100.992541"
"Thailand",2020-03-08,138,238,338,3,0,NA,"15.870032","100.992541"
"Thailand",2020-03-09,149,256,363,4,0,1,"15.870032","100.992541"
"Thailand",2020-03-10,161,276,391,4,59,1,"15.870032","100.992541"
"Thailand",2020-03-11,173,298,423,4,70,NA,"15.870032","100.992541"
"Thailand",2020-03-12,187,321,455,4,0,1,"15.870032","100.992541"
"Thailand",2020-03-13,202,347,492,5,82,1,"15.870032","100.992541"
"Thailand",2020-03-14,218,374,530,5,82,1,"15.870032","100.992541"
"Thailand",2020-03-15,234,403,572,6,114,1,"15.870032","100.992541"
"Thailand",2020-03-16,253,435,617,6,177,1,"15.870032","100.992541"
"Thailand",2020-03-17,273,469,665,7,177,1,"15.870032","100.992541"
"Thailand",2020-03-18,294,505,716,7,177,1,"15.870032","100.992541"
"Thailand",2020-03-19,317,545,773,8,212,1,"15.870032","100.992541"
"Thailand",2020-03-20,342,588,834,8,366,1,"15.870032","100.992541"
"Thailand",2020-03-21,369,634,899,9,599,1,"15.870032","100.992541"
"Thailand",2020-03-22,398,684,970,10,721,4,"15.870032","100.992541"
"Thailand",2020-03-23,429,737,1045,10,827,4,"15.870032","100.992541"
"Thailand",2020-03-24,462,795,1128,11,934,4,"15.870032","100.992541"
"Thailand",2020-03-25,498,857,1216,12,1045,5,"15.870032","100.992541"
"Thailand",2020-03-26,538,925,1312,13,1136,5,"15.870032","100.992541"
"Thailand",2020-03-27,580,997,1414,14,1136,6,"15.870032","100.992541"
"Thailand",2020-03-28,625,1075,1525,15,1245,7,"15.870032","100.992541"
"Thailand",2020-03-29,675,1160,1645,16,1388,10,"15.870032","100.992541"
"Thailand",2020-03-30,728,1251,1774,17,1651,10,"15.870032","100.992541"
