"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Turkey",2019-12-30,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2019-12-31,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-01,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-02,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-03,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-04,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-05,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-06,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-07,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-08,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-09,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-10,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-11,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-12,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-13,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-14,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-15,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-16,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-17,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-18,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-19,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-20,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-21,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-22,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-23,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-24,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-25,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-26,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-27,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-28,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-29,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-30,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-01-31,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-01,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-02,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-03,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-04,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-05,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-06,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-07,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-08,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-09,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-10,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-11,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-12,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-13,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-14,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-15,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-16,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-17,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-18,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-19,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-20,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-21,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-22,0,0,0,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-23,1,1,1,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-24,1,1,1,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-25,1,1,1,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-26,1,1,1,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-27,1,2,3,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-28,1,2,3,0,0,NA,"38.963745","35.243322"
"Turkey",2020-02-29,2,3,4,0,0,NA,"38.963745","35.243322"
"Turkey",2020-03-01,3,4,5,0,0,NA,"38.963745","35.243322"
"Turkey",2020-03-02,3,5,7,0,0,NA,"38.963745","35.243322"
"Turkey",2020-03-03,5,7,9,0,0,NA,"38.963745","35.243322"
"Turkey",2020-03-04,6,9,12,0,0,NA,"38.963745","35.243322"
"Turkey",2020-03-05,8,12,16,0,0,NA,"38.963745","35.243322"
"Turkey",2020-03-06,11,16,21,0,0,NA,"38.963745","35.243322"
"Turkey",2020-03-07,14,21,28,0,0,NA,"38.963745","35.243322"
"Turkey",2020-03-08,19,28,37,0,0,NA,"38.963745","35.243322"
"Turkey",2020-03-09,25,37,49,1,0,NA,"38.963745","35.243322"
"Turkey",2020-03-10,33,48,63,1,0,NA,"38.963745","35.243322"
"Turkey",2020-03-11,43,63,83,1,1,0,"38.963745","35.243322"
"Turkey",2020-03-12,56,83,110,1,2,0,"38.963745","35.243322"
"Turkey",2020-03-13,75,110,145,2,0,NA,"38.963745","35.243322"
"Turkey",2020-03-14,98,144,190,2,0,NA,"38.963745","35.243322"
"Turkey",2020-03-15,128,189,250,3,18,0,"38.963745","35.243322"
"Turkey",2020-03-16,169,249,329,4,47,0,"38.963745","35.243322"
"Turkey",2020-03-17,222,327,432,5,98,0,"38.963745","35.243322"
"Turkey",2020-03-18,292,430,568,7,191,1,"38.963745","35.243322"
"Turkey",2020-03-19,384,565,746,9,359,4,"38.963745","35.243322"
"Turkey",2020-03-20,505,743,981,12,670,9,"38.963745","35.243322"
"Turkey",2020-03-21,664,977,1290,15,947,21,"38.963745","35.243322"
"Turkey",2020-03-22,873,1284,1695,20,1236,30,"38.963745","35.243322"
"Turkey",2020-03-23,1147,1688,2229,26,1529,37,"38.963745","35.243322"
"Turkey",2020-03-24,1509,2220,2931,34,1872,44,"38.963745","35.243322"
"Turkey",2020-03-25,1983,2918,3853,45,2433,59,"38.963745","35.243322"
"Turkey",2020-03-26,2607,3836,5065,60,3629,75,"38.963745","35.243322"
"Turkey",2020-03-27,3427,5043,6659,78,5698,92,"38.963745","35.243322"
