"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"United.Kingdom",2019-12-30,7022,11427,15832,1604,0,0,"55.378051","0"
"United.Kingdom",2019-12-31,7163,11656,16149,1636,0,0,"55.378051","0"
"United.Kingdom",2020-01-01,7307,11890,16473,1669,0,0,"55.378051","0"
"United.Kingdom",2020-01-02,7453,12128,16803,1702,0,0,"55.378051","0"
"United.Kingdom",2020-01-03,7602,12371,17140,1736,0,0,"55.378051","0"
"United.Kingdom",2020-01-04,7755,12619,17483,1771,0,0,"55.378051","0"
"United.Kingdom",2020-01-05,7910,12871,17832,1806,0,0,"55.378051","0"
"United.Kingdom",2020-01-06,8068,13129,18190,1842,0,0,"55.378051","0"
"United.Kingdom",2020-01-07,8230,13392,18554,1879,0,0,"55.378051","0"
"United.Kingdom",2020-01-08,8395,13661,18927,1917,0,0,"55.378051","0"
"United.Kingdom",2020-01-09,8563,13934,19305,1955,0,0,"55.378051","0"
"United.Kingdom",2020-01-10,8735,14214,19693,1995,0,0,"55.378051","0"
"United.Kingdom",2020-01-11,8909,14498,20087,2035,0,0,"55.378051","0"
"United.Kingdom",2020-01-12,9088,14789,20490,2075,0,0,"55.378051","0"
"United.Kingdom",2020-01-13,9270,15085,20900,2117,0,0,"55.378051","0"
"United.Kingdom",2020-01-14,9456,15387,21318,2159,0,0,"55.378051","0"
"United.Kingdom",2020-01-15,9646,15696,21746,2203,0,0,"55.378051","0"
"United.Kingdom",2020-01-16,9839,16010,22181,2247,0,0,"55.378051","0"
"United.Kingdom",2020-01-17,10036,16331,22626,2292,0,0,"55.378051","0"
"United.Kingdom",2020-01-18,10237,16658,23079,2338,0,0,"55.378051","0"
"United.Kingdom",2020-01-19,10442,16992,23542,2385,0,0,"55.378051","0"
"United.Kingdom",2020-01-20,10651,17332,24013,2432,0,0,"55.378051","0"
"United.Kingdom",2020-01-21,10865,17680,24495,2481,0,0,"55.378051","0"
"United.Kingdom",2020-01-22,11082,18034,24986,2531,0,0,"55.378051","0"
"United.Kingdom",2020-01-23,11304,18395,25486,2581,0,0,"55.378051","0"
"United.Kingdom",2020-01-24,11531,18764,25997,2633,0,0,"55.378051","0"
"United.Kingdom",2020-01-25,11762,19140,26518,2686,0,0,"55.378051","0"
"United.Kingdom",2020-01-26,11998,19523,27048,2740,0,0,"55.378051","0"
"United.Kingdom",2020-01-27,12238,19914,27590,2795,0,0,"55.378051","0"
"United.Kingdom",2020-01-28,12483,20313,28143,2851,0,0,"55.378051","0"
"United.Kingdom",2020-01-29,12733,20720,28707,2908,0,0,"55.378051","0"
"United.Kingdom",2020-01-30,12989,21136,29283,2966,2,0,"55.378051","0"
"United.Kingdom",2020-01-31,13249,21559,29869,3025,2,0,"55.378051","0"
"United.Kingdom",2020-02-01,13514,21991,30468,3086,2,0,"55.378051","0"
"United.Kingdom",2020-02-02,13785,22432,31079,3148,2,0,"55.378051","0"
"United.Kingdom",2020-02-03,14061,22881,31701,3211,2,0,"55.378051","0"
"United.Kingdom",2020-02-04,14343,23339,32335,3275,2,0,"55.378051","0"
"United.Kingdom",2020-02-05,14630,23807,32984,3341,2,0,"55.378051","0"
"United.Kingdom",2020-02-06,14923,24284,33645,3408,3,0,"55.378051","0"
"United.Kingdom",2020-02-07,15223,24771,34319,3476,3,0,"55.378051","0"
"United.Kingdom",2020-02-08,15527,25267,35007,3546,4,0,"55.378051","0"
"United.Kingdom",2020-02-09,15838,25773,35708,3617,4,0,"55.378051","0"
"United.Kingdom",2020-02-10,16156,26290,36424,3689,8,0,"55.378051","0"
"United.Kingdom",2020-02-11,16479,26816,37153,3763,8,0,"55.378051","0"
"United.Kingdom",2020-02-12,16810,27354,37898,3839,9,0,"55.378051","0"
"United.Kingdom",2020-02-13,17147,27902,38657,3916,9,0,"55.378051","0"
"United.Kingdom",2020-02-14,17490,28461,39432,3994,9,0,"55.378051","0"
"United.Kingdom",2020-02-15,17840,29031,40222,4074,9,0,"55.378051","0"
"United.Kingdom",2020-02-16,18198,29613,41028,4156,9,0,"55.378051","0"
"United.Kingdom",2020-02-17,18563,30206,41849,4239,9,0,"55.378051","0"
"United.Kingdom",2020-02-18,18934,30811,42688,4324,9,0,"55.378051","0"
"United.Kingdom",2020-02-19,19314,31428,43542,4410,9,0,"55.378051","0"
"United.Kingdom",2020-02-20,19701,32058,44415,4499,9,0,"55.378051","0"
"United.Kingdom",2020-02-21,20095,32700,45305,4589,9,0,"55.378051","0"
"United.Kingdom",2020-02-22,20498,33356,46214,4681,9,0,"55.378051","0"
"United.Kingdom",2020-02-23,20909,34024,47139,4775,13,0,"55.378051","0"
"United.Kingdom",2020-02-24,21328,34706,48084,4870,13,0,"55.378051","0"
"United.Kingdom",2020-02-25,21755,35401,49047,4968,13,0,"55.378051","0"
"United.Kingdom",2020-02-26,22191,36110,50029,5067,13,0,"55.378051","0"
"United.Kingdom",2020-02-27,22636,36834,51032,5169,16,0,"55.378051","0"
"United.Kingdom",2020-02-28,23089,37572,52055,5273,18,0,"55.378051","0"
"United.Kingdom",2020-02-29,23551,38324,53097,5378,23,0,"55.378051","0"
"United.Kingdom",2020-03-01,24023,39092,54161,5486,36,0,"55.378051","0"
"United.Kingdom",2020-03-02,24505,39876,55247,5596,40,0,"55.378051","0"
"United.Kingdom",2020-03-03,24996,40675,56354,5708,51,0,"55.378051","0"
"United.Kingdom",2020-03-04,25497,41490,57483,5822,85,0,"55.378051","0"
"United.Kingdom",2020-03-05,26008,42321,58634,5939,115,1,"55.378051","0"
"United.Kingdom",2020-03-06,26529,43169,59809,6058,163,2,"55.378051","0"
"United.Kingdom",2020-03-07,27060,44034,61008,6180,206,2,"55.378051","0"
"United.Kingdom",2020-03-08,27602,44916,62230,6303,273,3,"55.378051","0"
"United.Kingdom",2020-03-09,28155,45816,63477,6430,321,7,"55.378051","0"
"United.Kingdom",2020-03-10,28720,46734,64748,6558,373,7,"55.378051","0"
"United.Kingdom",2020-03-11,29295,47670,66045,6690,456,9,"55.378051","0"
"United.Kingdom",2020-03-12,29882,48625,67368,6824,590,10,"55.378051","0"
"United.Kingdom",2020-03-13,30480,49599,68718,6960,707,28,"55.378051","0"
"United.Kingdom",2020-03-14,31091,50593,70095,7100,1140,43,"55.378051","0"
