"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"United.States",2019-12-30,15410,23002,30594,1323,0,0,"37.09024","0"
"United.States",2019-12-31,15873,23692,31511,1363,0,0,"37.09024","0"
"United.States",2020-01-01,16348,24402,32456,1403,0,0,"37.09024","0"
"United.States",2020-01-02,16838,25133,33428,1446,0,0,"37.09024","0"
"United.States",2020-01-03,17343,25887,34431,1489,0,0,"37.09024","0"
"United.States",2020-01-04,17863,26663,35463,1534,0,0,"37.09024","0"
"United.States",2020-01-05,18398,27462,36526,1579,0,0,"37.09024","0"
"United.States",2020-01-06,18950,28285,37620,1627,0,0,"37.09024","0"
"United.States",2020-01-07,19518,29133,38748,1676,0,0,"37.09024","0"
"United.States",2020-01-08,20103,30006,39909,1726,0,0,"37.09024","0"
"United.States",2020-01-09,20706,30906,41106,1778,0,0,"37.09024","0"
"United.States",2020-01-10,21326,31832,42338,1831,0,0,"37.09024","0"
"United.States",2020-01-11,21965,32786,43607,1886,0,0,"37.09024","0"
"United.States",2020-01-12,22624,33769,44914,1942,0,0,"37.09024","0"
"United.States",2020-01-13,23302,34781,46260,2000,0,0,"37.09024","0"
"United.States",2020-01-14,24001,35824,47647,2060,0,0,"37.09024","0"
"United.States",2020-01-15,24719,36897,49075,2122,0,0,"37.09024","0"
"United.States",2020-01-16,25460,38003,50546,2186,0,0,"37.09024","0"
"United.States",2020-01-17,26224,39143,52062,2251,0,0,"37.09024","0"
"United.States",2020-01-18,27010,40316,53622,2319,0,0,"37.09024","0"
"United.States",2020-01-19,27819,41524,55229,2388,0,0,"37.09024","0"
"United.States",2020-01-20,28653,42769,56885,2460,1,0,"37.09024","0"
"United.States",2020-01-21,29512,44051,58590,2534,1,0,"37.09024","0"
"United.States",2020-01-22,30397,45371,60345,2610,1,0,"37.09024","0"
"United.States",2020-01-23,31308,46731,62154,2688,1,0,"37.09024","0"
"United.States",2020-01-24,32246,48132,64018,2768,2,0,"37.09024","0"
"United.States",2020-01-25,33213,49575,65937,2851,2,0,"37.09024","0"
"United.States",2020-01-26,34209,51061,67913,2937,5,0,"37.09024","0"
"United.States",2020-01-27,35234,52591,69948,3025,5,0,"37.09024","0"
"United.States",2020-01-28,36290,54168,72046,3115,5,0,"37.09024","0"
"United.States",2020-01-29,37378,55792,74206,3209,5,0,"37.09024","0"
"United.States",2020-01-30,38498,57464,76430,3305,6,0,"37.09024","0"
"United.States",2020-01-31,39652,59186,78720,3404,7,0,"37.09024","0"
"United.States",2020-02-01,40841,60960,81079,3506,8,0,"37.09024","0"
"United.States",2020-02-02,42065,62788,83511,3611,11,0,"37.09024","0"
"United.States",2020-02-03,43326,64670,86014,3720,11,0,"37.09024","0"
"United.States",2020-02-04,44625,66608,88591,3831,11,0,"37.09024","0"
"United.States",2020-02-05,45962,68605,91248,3946,12,0,"37.09024","0"
"United.States",2020-02-06,47340,70661,93982,4064,12,0,"37.09024","0"
"United.States",2020-02-07,48759,72779,96799,4186,12,0,"37.09024","0"
"United.States",2020-02-08,50221,74961,99701,4311,12,0,"37.09024","0"
"United.States",2020-02-09,51726,77208,102690,4441,12,0,"37.09024","0"
"United.States",2020-02-10,53276,79522,105768,4574,13,0,"37.09024","0"
"United.States",2020-02-11,54874,81906,108938,4711,13,0,"37.09024","0"
"United.States",2020-02-12,56518,84361,112204,4852,14,0,"37.09024","0"
"United.States",2020-02-13,58212,86889,115566,4997,15,0,"37.09024","0"
"United.States",2020-02-14,59957,89494,119031,5147,15,0,"37.09024","0"
"United.States",2020-02-15,61755,92177,122599,5302,15,0,"37.09024","0"
"United.States",2020-02-16,63606,94940,126274,5461,15,0,"37.09024","0"
"United.States",2020-02-17,65512,97785,130058,5624,15,0,"37.09024","0"
"United.States",2020-02-18,67475,100716,133957,5793,15,0,"37.09024","0"
"United.States",2020-02-19,69498,103735,137972,5966,15,0,"37.09024","0"
"United.States",2020-02-20,71582,106845,142108,6145,16,0,"37.09024","0"
"United.States",2020-02-21,73727,110047,146367,6329,35,0,"37.09024","0"
"United.States",2020-02-22,75937,113346,150755,6519,35,0,"37.09024","0"
"United.States",2020-02-23,78214,116744,155274,6715,35,0,"37.09024","0"
"United.States",2020-02-24,80558,120243,159928,6916,53,0,"37.09024","0"
"United.States",2020-02-25,82972,123847,164722,7123,53,0,"37.09024","0"
"United.States",2020-02-26,85460,127560,169660,7337,59,0,"37.09024","0"
"United.States",2020-02-27,88021,131383,174745,7557,60,0,"37.09024","0"
"United.States",2020-02-28,90659,135321,179983,7783,66,1,"37.09024","0"
"United.States",2020-02-29,93377,139378,185379,8016,69,2,"37.09024","0"
"United.States",2020-03-01,96176,143555,190934,8257,89,6,"37.09024","0"
"United.States",2020-03-02,99059,147858,196657,8504,103,9,"37.09024","0"
"United.States",2020-03-03,102028,152290,202552,8759,125,11,"37.09024","0"
"United.States",2020-03-04,105086,156855,208624,9022,159,12,"37.09024","0"
"United.States",2020-03-05,108236,161557,214878,9292,233,14,"37.09024","0"
"United.States",2020-03-06,111481,166400,221319,9571,338,17,"37.09024","0"
"United.States",2020-03-07,114822,171387,227952,9857,433,21,"37.09024","0"
"United.States",2020-03-08,118264,176525,234786,10153,554,26,"37.09024","0"
"United.States",2020-03-09,121809,181816,241823,10457,754,28,"37.09024","0"
"United.States",2020-03-10,125460,187266,249072,10771,1025,30,"37.09024","0"
"United.States",2020-03-11,129221,192879,256537,11094,1312,40,"37.09024","0"
"United.States",2020-03-12,133095,198661,264227,11426,1663,47,"37.09024","0"
"United.States",2020-03-13,137084,204616,272148,11769,2174,57,"37.09024","0"
"United.States",2020-03-14,141193,210749,280305,12121,2951,69,"37.09024","0"
"United.States",2020-03-15,145425,217066,288707,12485,3774,85,"37.09024","0"
"United.States",2020-03-16,149785,223573,297361,12859,4661,108,"37.09024","0"
"United.States",2020-03-17,154274,230274,306274,13244,6427,150,"37.09024","0"
"United.States",2020-03-18,158899,237177,315455,13641,9415,150,"37.09024","0"
"United.States",2020-03-19,163661,244286,324911,14050,14250,260,"37.09024","0"
"United.States",2020-03-20,168567,251608,334649,14471,19624,340,"37.09024","0"
"United.States",2020-03-21,173620,259150,344680,14905,26747,471,"37.09024","0"
"United.States",2020-03-22,178824,266918,355012,15352,35206,590,"37.09024","0"
"United.States",2020-03-23,184184,274919,365654,15812,46442,801,"37.09024","0"
"United.States",2020-03-24,189705,283160,376615,16286,55231,1050,"37.09024","0"
"United.States",2020-03-25,195391,291647,387903,16774,69194,1296,"37.09024","0"
"United.States",2020-03-26,201248,300389,399530,17277,85991,1707,"37.09024","0"
"United.States",2020-03-27,207280,309393,411506,17795,104686,2191,"37.09024","0"
"United.States",2020-03-28,213494,318667,423840,18328,124665,2509,"37.09024","0"
"United.States",2020-03-29,219893,328219,436545,18878,143025,3170,"37.09024","0"
"United.States",2020-03-30,226485,338058,449631,19444,164620,4079,"37.09024","0"
"United.States",2020-03-31,233273,348191,463109,20026,189618,5138,"37.09024","0"
"United.States",2020-04-01,240266,358628,476990,20627,216721,6053,"37.09024","0"
"United.States",2020-04-02,247468,369378,491288,21245,245540,7157,"37.09024","0"
"United.States",2020-04-03,254886,380450,506014,21882,277965,8501,"37.09024","0"
"United.States",2020-04-04,262526,391854,521182,22538,312237,9647,"37.09024","0"
"United.States",2020-04-05,270394,403599,536804,23213,337635,10989,"37.09024","0"
"United.States",2020-04-06,278500,415697,552894,23909,368196,12895,"37.09024","0"
"United.States",2020-04-07,286848,428158,569468,24626,398809,14817,"37.09024","0"
"United.States",2020-04-08,295446,440992,586538,25364,432132,16690,"37.09024","0"
"United.States",2020-04-09,304302,454210,604118,26124,466033,18777,"37.09024","0"
"United.States",2020-04-10,313423,467825,622227,26907,501560,20608,"37.09024","0"
"United.States",2020-04-11,322818,481848,640878,27714,529951,22108,"37.09024","0"
"United.States",2020-04-12,332494,496291,660088,28544,557571,23649,"37.09024","0"
"United.States",2020-04-13,342461,511168,679875,29400,582594,26057,"37.09024","0"
"United.States",2020-04-14,352726,526490,700254,30281,609516,30985,"37.09024","0"
"United.States",2020-04-15,363299,542271,721243,31189,639664,33284,"37.09024","0"
"United.States",2020-04-16,374189,558526,742863,32124,671331,37054,"37.09024","0"
"United.States",2020-04-17,385405,575267,765129,33087,702164,38910,"37.09024","0"
"United.States",2020-04-18,396958,592511,788064,34078,735086,40682,"37.09024","0"
"United.States",2020-04-19,408856,610271,811686,35100,759687,42539,"37.09024","0"
"United.States",2020-04-20,421112,628564,836016,36152,787752,45063,"37.09024","0"
"United.States",2020-04-21,433734,647405,861076,37236,825041,46784,"37.09024","0"
"United.States",2020-04-22,446735,666811,886887,38352,842629,49963,"37.09024","0"
"United.States",2020-04-23,460127,686799,913471,39501,869172,51017,"37.09024","0"
"United.States",2020-04-24,473918,707385,940852,40686,890524,53189,"37.09024","0"
"United.States",2020-04-25,488124,728589,969054,41905,939053,54876,"37.09024","0"
"United.States",2020-04-26,502755,750428,998101,43161,965910,56245,"37.09024","0"
"United.States",2020-04-27,517825,772922,1028019,44455,988451,58355,"37.09024","0"
"United.States",2020-04-28,533347,796090,1058833,45787,1012583,60966,"37.09024","0"
"United.States",2020-04-29,549334,819953,1090572,47160,1039909,63006,"37.09024","0"
"United.States",2020-04-30,565800,844531,1123262,48574,1069826,65068,"37.09024","0"
"United.States",2020-05-01,582760,869846,1156932,50030,1103781,66385,"37.09024","0"
"United.States",2020-05-02,600228,895919,1191610,51529,1133069,67682,"37.09024","0"
"United.States",2020-05-03,618220,922774,1227328,53074,1158041,68934,"37.09024","0"
"United.States",2020-05-04,636751,950434,1264117,54665,1180634,71078,"37.09024","0"
"United.States",2020-05-05,655837,978923,1302009,56303,1204475,73431,"37.09024","0"
"United.States",2020-05-06,675496,1008266,1341036,57991,1228603,75670,"37.09024","0"
"United.States",2020-05-07,695744,1038489,1381234,59729,1256972,77180,"37.09024","0"
"United.States",2020-05-08,716599,1069617,1422635,61519,1283929,78794,"37.09024","0"
"United.States",2020-05-09,738079,1101679,1465279,63363,1309541,79528,"37.09024","0"
"United.States",2020-05-10,760202,1134701,1509200,65263,1329799,80684,"37.09024","0"
"United.States",2020-05-11,782989,1168714,1554439,67219,1347916,82387,"37.09024","0"
"United.States",2020-05-12,806459,1203746,1601033,69234,1369964,84133,"37.09024","0"
"United.States",2020-05-13,830633,1239828,1649023,71309,1390746,85906,"37.09024","0"
"United.States",2020-05-14,855531,1276992,1698453,73447,1417889,87568,"37.09024","0"
"United.States",2020-05-15,881175,1315269,1749363,75648,1443397,88754,"37.09024","0"
"United.States",2020-05-16,907588,1354694,1801800,77916,1467884,89562,"37.09024","0"
"United.States",2020-05-17,934793,1395301,1855809,80251,1486757,90353,"37.09024","0"
"United.States",2020-05-18,962814,1437125,1911436,82657,1508598,91921,"37.09024","0"
"United.States",2020-05-19,991673,1480202,1968731,85134,1528568,93439,"37.09024","0"
"United.States",2020-05-20,1021399,1524571,2027743,87686,1551853,94702,"37.09024","0"
"United.States",2020-05-21,1052015,1570270,2088525,90315,1577287,96007,"37.09024","0"
"United.States",2020-05-22,1083549,1617338,2151127,93022,1601434,97087,"37.09024","0"
"United.States",2020-05-23,1116028,1665818,2215608,95810,1622670,97720,"37.09024","0"
"United.States",2020-05-24,1149481,1715750,2282019,98682,1643238,98220,"37.09024","0"
"United.States",2020-05-25,1183936,1767179,2350422,101640,1662302,98916,"37.09024","0"
"United.States",2020-05-26,1219424,1820150,2420876,104687,1681212,100442,"37.09024","0"
"United.States",2020-05-27,1255976,1874709,2493442,107825,1699933,101617,"37.09024","0"
"United.States",2020-05-28,1293624,1930903,2568182,111057,1721750,102836,"37.09024","0"
"United.States",2020-05-29,1332400,1988781,2645162,114385,1747087,103781,"37.09024","0"
"United.States",2020-05-30,1372339,2048395,2724451,117814,1770384,104383,"37.09024","0"
"United.States",2020-05-31,1413474,2109795,2806116,121346,1790191,106921,"37.09024","0"
"United.States",2020-06-01,1455843,2173036,2890229,124983,1858999,106921,"37.09024","0"
"United.States",2020-06-02,1499481,2238172,2976863,128729,NA,NA,"37.09024","0"
"United.States",2020-06-03,1544428,2305261,3066094,132588,NA,NA,"37.09024","0"
"United.States",2020-06-04,1590722,2374361,3158000,136562,NA,NA,"37.09024","0"
"United.States",2020-06-05,1638404,2445532,3252660,140656,NA,NA,"37.09024","0"
"United.States",2020-06-06,1687515,2518836,3350157,144872,NA,NA,"37.09024","0"
"United.States",2020-06-07,1738097,2594337,3450577,149214,NA,NA,"37.09024","0"
"United.States",2020-06-08,1790196,2672102,3554008,153687,NA,NA,"37.09024","0"
