"dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados"
2019-12-30,0,0,0,0,0
2019-12-31,0,0,0,0,0
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,1
2020-01-21,0,0,0,0,1
2020-01-22,0,0,0,0,1
2020-01-23,0,0,0,0,1
2020-01-24,0,0,0,0,2
2020-01-25,0,0,0,0,2
2020-01-26,0,0,0,0,5
2020-01-27,0,0,0,0,5
2020-01-28,0,0,0,0,5
2020-01-29,0,0,0,0,5
2020-01-30,0,0,0,0,6
2020-01-31,0,0,0,0,7
2020-02-01,0,0,0,0,8
2020-02-02,0,0,0,0,11
2020-02-03,0,0,0,0,11
2020-02-04,1,1,1,0,11
2020-02-05,1,1,1,0,12
2020-02-06,1,1,1,0,12
2020-02-07,1,1,1,0,12
2020-02-08,1,1,1,0,12
2020-02-09,1,2,3,0,12
2020-02-10,1,2,3,0,13
2020-02-11,2,3,4,0,13
2020-02-12,2,3,4,0,14
2020-02-13,2,4,6,0,15
2020-02-14,3,5,7,0,15
2020-02-15,4,7,10,0,15
2020-02-16,5,9,13,0,15
2020-02-17,6,11,16,0,15
2020-02-18,8,14,20,0,15
2020-02-19,10,18,26,0,15
2020-02-20,12,22,32,0,16
2020-02-21,15,28,41,0,35
2020-02-22,19,35,51,0,35
2020-02-23,24,45,66,1,35
2020-02-24,30,56,82,1,53
2020-02-25,38,71,104,1,53
2020-02-26,48,90,132,1,59
2020-02-27,61,114,167,2,60
2020-02-28,77,144,211,2,66
2020-02-29,98,182,266,3,69
2020-03-01,123,230,337,3,89
2020-03-02,156,291,426,4,103
2020-03-03,197,367,537,5,125
2020-03-04,249,464,679,7,159
2020-03-05,315,587,859,8,233
2020-03-06,398,742,1086,11,338
2020-03-07,502,937,1372,13,433
2020-03-08,635,1184,1733,17,554
2020-03-09,803,1497,2191,21,754
2020-03-10,1014,1892,2770,27,1025
2020-03-11,1282,2391,3500,34,1312
2020-03-12,1620,3022,4424,43,1663
2020-03-13,2047,3819,5591,55,2174
2020-03-14,2587,4826,7065,69,2951
2020-03-15,3270,6100,8930,87,3774
2020-03-16,4133,7709,11285,110,4661
2020-03-17,5223,9743,14263,139,6427
2020-03-18,6601,12313,18025,176,9415
2020-03-19,8343,15562,22781,222,14250
2020-03-20,10543,19667,28791,281,19624
2020-03-21,13325,24856,36387,355,26747
2020-03-22,16841,31414,45987,448,35206
2020-03-23,21284,39702,58120,567,46442
2020-03-24,26899,50176,73453,716,55231
2020-03-25,33995,63413,92831,905,54999
2020-03-26,42965,80144,117323,1144,NA
2020-03-27,54299,101287,148275,1446,NA
2020-03-28,68625,128010,187395,1827,NA
2020-03-29,86730,161782,236834,2309,NA
2020-03-30,109612,204464,299316,2918,NA
2020-03-31,138530,258407,378284,3688,NA
2020-04-01,175078,326581,478084,4661,NA
