"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Vietnam",2019-12-30,8,15,22,NA,0,0,"14.058324","108.277199"
"Vietnam",2019-12-31,9,16,23,NA,0,0,"14.058324","108.277199"
"Vietnam",2020-01-01,9,16,23,NA,0,0,"14.058324","108.277199"
"Vietnam",2020-01-02,9,16,23,NA,0,0,"14.058324","108.277199"
"Vietnam",2020-01-03,9,17,25,NA,0,0,"14.058324","108.277199"
"Vietnam",2020-01-04,9,17,25,NA,0,0,"14.058324","108.277199"
"Vietnam",2020-01-05,10,18,26,NA,0,0,"14.058324","108.277199"
"Vietnam",2020-01-06,10,18,26,NA,0,0,"14.058324","108.277199"
"Vietnam",2020-01-07,10,18,26,NA,0,0,"14.058324","108.277199"
"Vietnam",2020-01-08,11,19,27,NA,0,0,"14.058324","108.277199"
"Vietnam",2020-01-09,11,19,27,NA,0,0,"14.058324","108.277199"
"Vietnam",2020-01-10,11,20,29,NA,0,0,"14.058324","108.277199"
"Vietnam",2020-01-11,11,20,29,NA,0,0,"14.058324","108.277199"
"Vietnam",2020-01-12,12,21,30,NA,0,0,"14.058324","108.277199"
"Vietnam",2020-01-13,12,21,30,NA,0,0,"14.058324","108.277199"
"Vietnam",2020-01-14,12,22,32,NA,0,0,"14.058324","108.277199"
"Vietnam",2020-01-15,12,22,32,NA,0,0,"14.058324","108.277199"
"Vietnam",2020-01-16,13,23,33,NA,0,0,"14.058324","108.277199"
"Vietnam",2020-01-17,13,23,33,NA,0,0,"14.058324","108.277199"
"Vietnam",2020-01-18,13,24,35,NA,0,0,"14.058324","108.277199"
"Vietnam",2020-01-19,14,25,36,NA,0,0,"14.058324","108.277199"
"Vietnam",2020-01-20,14,25,36,NA,0,0,"14.058324","108.277199"
"Vietnam",2020-01-21,14,26,38,NA,0,0,"14.058324","108.277199"
"Vietnam",2020-01-22,14,26,38,NA,0,0,"14.058324","108.277199"
"Vietnam",2020-01-23,15,27,39,NA,2,0,"14.058324","108.277199"
"Vietnam",2020-01-24,16,28,40,NA,2,0,"14.058324","108.277199"
"Vietnam",2020-01-25,16,28,40,NA,2,0,"14.058324","108.277199"
"Vietnam",2020-01-26,16,29,42,NA,2,0,"14.058324","108.277199"
"Vietnam",2020-01-27,17,30,43,NA,2,0,"14.058324","108.277199"
"Vietnam",2020-01-28,17,31,45,NA,2,0,"14.058324","108.277199"
