"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
181,2020-06-29,216,264,312,7352
182,2020-06-30,224,274,324,7657
183,2020-07-01,232,283,334,7888
184,2020-07-02,240,293,346,8108
185,2020-07-03,248,303,358,8329
186,2020-07-04,257,314,371,8522
187,2020-07-05,266,325,384,8643
188,2020-07-06,275,336,397,8797
189,2020-07-07,284,347,410,9167
190,2020-07-08,295,360,425,9387
191,2020-07-09,305,372,439,9545
192,2020-07-10,315,385,455,NA
193,2020-07-11,326,398,470,NA
194,2020-07-12,337,412,487,NA
195,2020-07-13,349,426,503,NA
196,2020-07-14,361,441,521,NA
197,2020-07-15,374,457,540,NA
198,2020-07-16,387,472,557,NA
199,2020-07-17,401,489,577,NA
200,2020-07-18,414,506,598,NA
201,2020-07-19,428,523,618,NA
