"dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados"
2019-12-30,668,953,1238,43,27
2019-12-31,718,1023,1328,46,27
2020-01-01,770,1098,1426,50,27
2020-01-02,827,1179,1531,53,44
2020-01-03,887,1265,1643,57,44
2020-01-04,952,1358,1764,61,59
2020-01-05,1023,1458,1893,66,59
2020-01-06,1098,1565,2032,71,59
2020-01-07,1178,1680,2182,76,59
2020-01-08,1265,1803,2341,82,59
2020-01-09,1357,1935,2513,87,59
2020-01-10,1457,2077,2697,94,59
2020-01-11,1564,2230,2896,101,59
2020-01-12,1678,2393,3108,108,60
2020-01-13,1802,2569,3336,116,60
2020-01-14,1934,2757,3580,125,61
2020-01-15,2075,2959,3843,134,61
2020-01-16,2228,3177,4126,144,66
2020-01-17,2392,3410,4428,154,83
2020-01-18,2567,3660,4753,165,219
2020-01-19,2755,3928,5101,178,239
2020-01-20,2957,4216,5475,191,392
2020-01-21,3175,4526,5877,205,534
2020-01-22,3407,4858,6309,220,631
2020-01-23,3657,5214,6771,236,897
2020-01-24,3926,5597,7268,253,1350
2020-01-25,4213,6007,7801,272,2023
2020-01-26,4523,6448,8373,292,2820
2020-01-27,4854,6921,8988,313,4587
2020-01-28,5211,7429,9647,336,6067
2020-01-29,5593,7974,10355,361,7823
2020-01-30,6003,8559,11115,387,9826
2020-01-31,6444,9187,11930,415,11946
2020-02-01,6916,9860,12804,446,14554
2020-02-02,7424,10584,13744,479,17372
2020-02-03,7968,11360,14752,514,20615
2020-02-04,8553,12194,15835,551,24522
2020-02-05,9180,13088,16996,592,28273
2020-02-06,9853,14048,18243,635,31491
2020-02-07,10576,15079,19582,682,34933
2020-02-08,11352,16185,21018,732,37552
2020-02-09,12185,17373,22561,786,40540
2020-02-10,13079,18647,24215,843,43105
2020-02-11,14038,20015,25992,905,45177
2020-02-12,15068,21483,27898,971,60328
2020-02-13,16174,23059,29944,1043,64543
2020-02-14,17360,24751,32142,1119,67103
2020-02-15,18634,26567,34500,1201,69265
2020-02-16,20001,28516,37031,1289,71332
2020-02-17,21468,30608,39748,1384,73327
2020-02-18,23043,32853,42663,1485,75191
2020-02-19,24734,35264,45794,1594,75723
2020-02-20,26549,37851,49153,1711,76719
2020-02-21,28496,40627,52758,1837,77804
2020-02-22,30587,43608,56629,1972,78812
2020-02-23,32830,46807,60784,2116,79339
2020-02-24,35239,50241,65243,2272,80132
2020-02-25,37824,53927,70030,2438,80995
2020-02-26,40599,57883,75167,2617,82101
2020-02-27,43577,62129,80681,2809,83365
2020-02-28,46774,66687,86600,3015,85203
2020-02-29,50205,71579,92953,3236,87024
2020-03-01,53888,76830,99772,3474,89068
2020-03-02,57842,82467,107092,3729,90664
2020-03-03,62086,88517,114948,4002,93077
2020-03-04,66640,95010,123380,4296,95316
2020-03-05,71529,101980,132431,4611,98172
2020-03-06,76776,109462,142148,4949,102133
2020-03-07,82409,117492,152575,5312,105824
2020-03-08,88455,126112,163769,5702,109695
2020-03-09,94943,135363,175783,6121,114232
2020-03-10,101909,145294,188679,6570,118610
2020-03-11,109385,155953,202521,7052,125497
2020-03-12,117410,167394,217378,7569,133852
2020-03-13,126023,179674,233325,8124,143227
2020-03-14,135268,192855,250442,8720,151367
2020-03-15,145192,207003,268814,9360,167418
2020-03-16,155843,222189,288535,10046,180163
2020-03-17,167276,238490,309704,10783,194913
2020-03-18,179548,255986,332424,11575,213258
2020-03-19,192720,274765,356810,12424,242472
2020-03-20,206858,294922,382986,13335,271241
2020-03-21,222033,316558,411083,14313,305270
2020-03-22,238322,339782,441242,15363,338298
2020-03-23,255806,364709,473612,16491,378113
2020-03-24,274572,391464,508356,17700,417061
2020-03-25,294716,420183,545650,18999,467710
2020-03-26,316336,451008,585680,20393,522386
2020-03-27,339543,484095,628647,21889,NA
2020-03-28,364453,519609,674765,23494,NA
2020-03-29,391189,557728,724267,25218,NA
2020-03-30,419888,598644,777400,27068,NA
2020-03-31,450691,642561,834431,29054,NA
2020-04-01,483754,689700,895646,31185,NA
2020-04-02,519244,740298,961352,33473,NA
