"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","latitude","longitude"
"World",2019-12-30,219,304,389,14,27,"0","0"
"World",2019-12-31,239,331,423,16,27,"0","0"
"World",2020-01-01,260,361,462,17,27,"0","0"
"World",2020-01-02,284,393,502,18,44,"0","0"
"World",2020-01-03,309,428,547,20,44,"0","0"
"World",2020-01-04,336,466,596,22,59,"0","0"
"World",2020-01-05,367,508,649,24,59,"0","0"
"World",2020-01-06,399,553,707,26,59,"0","0"
"World",2020-01-07,434,602,770,28,59,"0","0"
"World",2020-01-08,473,656,839,31,59,"0","0"
"World",2020-01-09,516,715,914,34,59,"0","0"
"World",2020-01-10,562,779,996,37,59,"0","0"
"World",2020-01-11,612,848,1084,40,59,"0","0"
"World",2020-01-12,667,924,1181,43,60,"0","0"
"World",2020-01-13,726,1006,1286,47,60,"0","0"
"World",2020-01-14,791,1096,1401,52,61,"0","0"
"World",2020-01-15,861,1194,1527,56,61,"0","0"
"World",2020-01-16,938,1300,1662,61,66,"0","0"
"World",2020-01-17,1022,1416,1810,67,83,"0","0"
"World",2020-01-18,1113,1542,1971,73,219,"0","0"
"World",2020-01-19,1212,1680,2148,79,239,"0","0"
"World",2020-01-20,1320,1830,2340,86,392,"0","0"
"World",2020-01-21,1438,1993,2548,94,534,"0","0"
"World",2020-01-22,1566,2171,2776,102,631,"0","0"
"World",2020-01-23,1706,2365,3024,111,897,"0","0"
"World",2020-01-24,1859,2576,3293,121,1350,"0","0"
"World",2020-01-25,2024,2806,3588,132,2023,"0","0"
"World",2020-01-26,2205,3056,3907,144,2820,"0","0"
"World",2020-01-27,2402,3329,4256,157,4587,"0","0"
"World",2020-01-28,2616,3626,4636,171,6067,"0","0"
"World",2020-01-29,2849,3949,5049,186,7823,"0","0"
"World",2020-01-30,3103,4301,5499,202,9826,"0","0"
"World",2020-01-31,3380,4685,5990,220,11946,"0","0"
"World",2020-02-01,3682,5103,6524,240,14554,"0","0"
"World",2020-02-02,4010,5558,7106,261,17372,"0","0"
"World",2020-02-03,4368,6054,7740,285,20615,"0","0"
"World",2020-02-04,4757,6594,8431,310,24522,"0","0"
"World",2020-02-05,5182,7183,9184,338,28273,"0","0"
"World",2020-02-06,5645,7824,10003,368,31491,"0","0"
"World",2020-02-07,6148,8522,10896,401,34933,"0","0"
"World",2020-02-08,6697,9282,11867,437,37552,"0","0"
"World",2020-02-09,7294,10110,12926,476,40540,"0","0"
"World",2020-02-10,7945,11012,14079,518,43105,"0","0"
"World",2020-02-11,8654,11995,15336,564,45177,"0","0"
"World",2020-02-12,9426,13065,16704,615,60328,"0","0"
"World",2020-02-13,10266,14230,18194,669,64543,"0","0"
"World",2020-02-14,11183,15500,19817,729,67103,"0","0"
"World",2020-02-15,12181,16883,21585,794,69265,"0","0"
"World",2020-02-16,13267,18389,23511,865,71332,"0","0"
"World",2020-02-17,14451,20030,25609,942,73327,"0","0"
"World",2020-02-18,15740,21817,27894,1026,75191,"0","0"
"World",2020-02-19,17145,23764,30383,1118,75723,"0","0"
"World",2020-02-20,18674,25884,33094,1217,76719,"0","0"
"World",2020-02-21,20340,28193,36046,1326,77804,"0","0"
"World",2020-02-22,22155,30708,39261,1444,78812,"0","0"
"World",2020-02-23,24132,33448,42764,1573,79339,"0","0"
"World",2020-02-24,26285,36433,46581,1714,80132,"0","0"
"World",2020-02-25,28630,39683,50736,1866,80995,"0","0"
"World",2020-02-26,31185,43224,55263,2033,82101,"0","0"
"World",2020-02-27,33967,47080,60193,2214,83365,"0","0"
"World",2020-02-28,36997,51280,65563,2412,85203,"0","0"
"World",2020-02-29,40298,55856,71414,2627,87024,"0","0"
"World",2020-03-01,43893,60839,77785,2862,89068,"0","0"
"World",2020-03-02,47809,66267,84725,3117,90664,"0","0"
"World",2020-03-03,52076,72180,92284,3395,93077,"0","0"
"World",2020-03-04,56721,78619,100517,3698,95316,"0","0"
"World",2020-03-05,61782,85634,109486,4028,98172,"0","0"
"World",2020-03-06,67294,93274,119254,4387,102133,"0","0"
"World",2020-03-07,73298,101596,129894,4779,105824,"0","0"
"World",2020-03-08,79838,110660,141482,5205,109695,"0","0"
"World",2020-03-09,86961,120533,154105,5669,114232,"0","0"
"World",2020-03-10,94719,131287,167855,6175,118610,"0","0"
"World",2020-03-11,103171,143001,182831,6726,125497,"0","0"
"World",2020-03-12,112375,155759,199143,7326,133852,"0","0"
"World",2020-03-13,122401,169656,216911,7980,143227,"0","0"
"World",2020-03-14,133322,184793,236264,8692,151367,"0","0"
"World",2020-03-15,145217,201280,257343,9467,167418,"0","0"
"World",2020-03-16,158173,219238,280303,10312,180163,"0","0"
"World",2020-03-17,172286,238799,305312,11232,194913,"0","0"
"World",2020-03-18,187657,260104,332551,12234,213258,"0","0"
"World",2020-03-19,204400,283311,362222,13326,242472,"0","0"
"World",2020-03-20,222636,308588,394540,14514,271241,"0","0"
"World",2020-03-21,242500,336120,429740,15809,305270,"0","0"
"World",2020-03-22,264136,366109,468082,17220,338298,"0","0"
"World",2020-03-23,287702,398773,509844,18756,378113,"0","0"
"World",2020-03-24,313370,434351,555332,20430,417061,"0","0"
"World",2020-03-25,341329,473104,604879,22252,468284,"0","0"
"World",2020-03-26,371782,515314,658846,24238,528019,"0","0"
"World",2020-03-27,404953,561291,717629,26400,591971,"0","0"
"World",2020-03-28,441083,611369,781655,28756,657140,"0","0"
"World",2020-03-29,480436,665915,851394,31321,715551,"0","0"
"World",2020-03-30,523301,725328,927355,34116,NA,"0","0"
"World",2020-03-31,569990,790042,1010094,37160,NA,"0","0"
"World",2020-04-01,620844,860529,1100214,40475,NA,"0","0"
"World",2020-04-02,676235,937305,1198375,44086,NA,"0","0"
"World",2020-04-03,736569,1020932,1305295,48020,NA,"0","0"
"World",2020-04-04,802286,1112019,1421752,52304,NA,"0","0"
"World",2020-04-05,873865,1211233,1548601,56970,NA,"0","0"
