"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"World",2019-12-30,127476,157415,187354,7886,27,0,"0","0"
"World",2019-12-31,130506,161157,191808,8926,27,0,"0","0"
"World",2020-01-01,133608,164988,196368,6403,27,0,"0","0"
"World",2020-01-02,136784,168910,201036,13410,44,0,"0","0"
"World",2020-01-03,140036,172925,205814,4318,44,0,"0","0"
"World",2020-01-04,143365,177036,210707,4545,59,0,"0","0"
"World",2020-01-05,146773,181244,215715,2463,59,0,"0","0"
"World",2020-01-06,150261,185552,220843,3860,59,0,"0","0"
"World",2020-01-07,153833,189963,226093,9517,59,0,"0","0"
"World",2020-01-08,157490,194479,231468,9743,59,0,"0","0"
"World",2020-01-09,161234,199102,236970,11027,59,1,"0","0"
"World",2020-01-10,165066,203834,242602,7911,59,1,"0","0"
"World",2020-01-11,168991,208680,248369,16568,59,1,"0","0"
"World",2020-01-12,173007,213640,254273,5335,60,1,"0","0"
"World",2020-01-13,177120,218719,260318,5615,60,2,"0","0"
"World",2020-01-14,181330,223918,266506,3043,61,2,"0","0"
"World",2020-01-15,185641,229241,272841,4769,61,2,"0","0"
"World",2020-01-16,190054,234690,279326,11757,66,2,"0","0"
"World",2020-01-17,194571,240269,285967,12037,83,3,"0","0"
"World",2020-01-18,199196,245980,292764,13624,219,3,"0","0"
"World",2020-01-19,203931,251827,299723,9773,239,6,"0","0"
"World",2020-01-20,208779,257813,306847,20469,392,17,"0","0"
"World",2020-01-21,213742,263942,314142,6591,534,17,"0","0"
"World",2020-01-22,218823,270216,321609,6937,631,26,"0","0"
"World",2020-01-23,224024,276639,329254,3759,897,41,"0","0"
"World",2020-01-24,229349,283215,337081,5892,1350,56,"0","0"
"World",2020-01-25,234802,289948,345094,14525,2023,81,"0","0"
"World",2020-01-26,240383,296840,353297,14871,2820,106,"0","0"
"World",2020-01-27,246097,303896,361695,16832,4587,132,"0","0"
"World",2020-01-28,251947,311120,370293,12074,6067,170,"0","0"
"World",2020-01-29,257936,318516,379096,25288,7823,213,"0","0"
"World",2020-01-30,264067,326087,388107,8143,9826,259,"0","0"
"World",2020-01-31,270345,333839,397333,8570,11946,305,"0","0"
"World",2020-02-01,276771,341774,406777,4644,14554,362,"0","0"
"World",2020-02-02,283351,349899,416447,7279,17372,427,"0","0"
"World",2020-02-03,290086,358216,426346,17945,20615,493,"0","0"
"World",2020-02-04,296981,366731,436481,18372,24522,565,"0","0"
"World",2020-02-05,304041,375449,446857,20795,28273,638,"0","0"
"World",2020-02-06,311268,384373,457478,14917,31491,724,"0","0"
"World",2020-02-07,318667,393510,468353,31242,34933,813,"0","0"
"World",2020-02-08,326242,402864,479486,10061,37552,910,"0","0"
"World",2020-02-09,333998,412441,490884,10588,40540,1018,"0","0"
"World",2020-02-10,341937,422245,502553,5737,43105,1115,"0","0"
"World",2020-02-11,350065,432282,514499,8993,45177,1370,"0","0"
"World",2020-02-12,358387,442558,526729,22171,60328,1383,"0","0"
"World",2020-02-13,366906,453078,539250,22698,64543,1527,"0","0"
"World",2020-02-14,375627,463848,552069,25691,67103,1669,"0","0"
"World",2020-02-15,384556,474874,565192,18429,69265,1775,"0","0"
"World",2020-02-16,393697,486162,578627,38598,71332,1873,"0","0"
"World",2020-02-17,403056,497719,592382,12429,73327,2012,"0","0"
"World",2020-02-18,412637,509550,606463,13081,75191,2128,"0","0"
"World",2020-02-19,422446,521663,620880,7088,75723,2247,"0","0"
"World",2020-02-20,432488,534063,635638,11111,76719,2359,"0","0"
"World",2020-02-21,442768,546758,650748,27391,77804,2463,"0","0"
"World",2020-02-22,453293,559755,666217,28042,78812,2619,"0","0"
"World",2020-02-23,464069,573061,682053,31740,79339,2698,"0","0"
"World",2020-02-24,475101,586684,698267,22768,80132,2762,"0","0"
"World",2020-02-25,486394,600630,714866,47686,80997,2800,"0","0"
"World",2020-02-26,497956,614907,731858,15356,82106,2857,"0","0"
"World",2020-02-27,509793,629524,749255,16161,83375,2921,"0","0"
"World",2020-02-28,521911,644488,767065,8757,85223,2979,"0","0"
"World",2020-02-29,534318,659809,785300,13727,87042,3046,"0","0"
"World",2020-03-01,547019,675493,803967,33840,89136,3118,"0","0"
"World",2020-03-02,560022,691550,823078,34644,90969,3202,"0","0"
"World",2020-03-03,573334,707989,842644,39213,93250,3282,"0","0"
"World",2020-03-04,586963,724818,862673,28129,95566,3384,"0","0"
"World",2020-03-05,600916,742048,883180,58914,98598,3488,"0","0"
"World",2020-03-06,615200,759687,904174,18971,102732,3585,"0","0"
"World",2020-03-07,629824,777746,925668,19966,106663,3813,"0","0"
"World",2020-03-08,644795,796233,947671,10819,110841,4021,"0","0"
"World",2020-03-09,660123,815161,970199,16959,115594,4294,"0","0"
"World",2020-03-10,675815,834538,993261,41808,120584,4620,"0","0"
"World",2020-03-11,691880,854376,1016872,42801,128246,4970,"0","0"
"World",2020-03-12,708326,874685,1041044,48445,137432,5412,"0","0"
"World",2020-03-13,725163,895477,1065791,34752,147479,5776,"0","0"
"World",2020-03-14,742401,916763,1091125,72785,159661,6528,"0","0"
"World",2020-03-15,760049,938556,1117063,23438,172035,7136,"0","0"
"World",2020-03-16,778116,960866,1143616,24666,185963,7948,"0","0"
"World",2020-03-17,796613,983707,1170801,13366,202685,8903,"0","0"
"World",2020-03-18,815549,1007091,1198633,20952,222785,9967,"0","0"
"World",2020-03-19,834935,1031030,1227125,51651,253559,11351,"0","0"
"World",2020-03-20,854783,1055539,1256295,52879,285113,13060,"0","0"
"World",2020-03-21,875102,1080630,1286158,59852,319072,14735,"0","0"
"World",2020-03-22,895903,1106317,1316731,42935,352972,16579,"0","0"
"World",2020-03-23,917200,1132616,1348032,89922,396854,18883,"0","0"
"World",2020-03-24,939003,1159539,1380075,28957,438409,21497,"0","0"
"World",2020-03-25,961323,1187102,1412881,30474,491164,24305,"0","0"
"World",2020-03-26,984175,1215321,1446467,16514,551579,27782,"0","0"
"World",2020-03-27,1007570,1244210,1480850,25885,616384,31344,"0","0"
"World",2020-03-28,1031521,1273786,1516051,63812,678643,34534,"0","0"
"World",2020-03-29,1056042,1304066,1552090,65329,735434,38515,"0","0"
"World",2020-03-30,1081144,1335064,1588984,73944,799670,43137,"0","0"
"World",2020-03-31,1106844,1366800,1626756,53044,873074,48169,"0","0"
"World",2020-04-01,1133155,1399290,1665425,111095,950145,53151,"0","0"
"World",2020-04-02,1160091,1432553,1705015,35775,1026963,59881,"0","0"
"World",2020-04-03,1187668,1466606,1745544,37649,1108180,66159,"0","0"
"World",2020-04-04,1215900,1501469,1787038,20402,1192436,70903,"0","0"
"World",2020-04-05,1244803,1537160,1829517,31980,1260776,76257,"0","0"
"World",2020-04-06,1274393,1573700,1873007,78837,1333910,83820,"0","0"
"World",2020-04-07,1304686,1611108,1917530,80711,1409020,90368,"0","0"
"World",2020-04-08,1335700,1649406,1963112,91354,1493877,97801,"0","0"
"World",2020-04-09,1367451,1688614,2009777,65533,1580326,104844,"0","0"
"World",2020-04-10,1399957,1728754,2057551,137252,1670281,110833,"0","0"
"World",2020-04-11,1433235,1769848,2106461,44198,1750723,116188,"0","0"
"World",2020-04-12,1467304,1811919,2156534,46514,1820865,121538,"0","0"
"World",2020-04-13,1502184,1854990,2207796,25205,1886472,129163,"0","0"
"World",2020-04-14,1537892,1899085,2260278,39509,1964106,139675,"0","0"
"World",2020-04-15,1574449,1944228,2314007,97399,2043020,148221,"0","0"
"World",2020-04-16,1611875,1990444,2369013,99715,2126410,156687,"0","0"
"World",2020-04-17,1650191,2037759,2425327,112863,2208357,163100,"0","0"
"World",2020-04-18,1689418,2086198,2482978,80963,2287770,168119,"0","0"
"World",2020-04-19,1729577,2135789,2542001,169568,2359043,173509,"0","0"
"World",2020-04-20,1770691,2186559,2602427,54604,2434788,180825,"0","0"
"World",2020-04-21,1812782,2238536,2664290,57466,2520808,186856,"0","0"
"World",2020-04-22,1855873,2291748,2727623,31140,2586938,194247,"0","0"
"World",2020-04-23,1899989,2346225,2792461,48812,2664432,199637,"0","0"
"World",2020-04-24,1945154,2401997,2858840,120332,2737504,205800,"0","0"
"World",2020-04-25,1991392,2459095,2926798,123193,2837407,209727,"0","0"
"World",2020-04-26,2038729,2517550,2996371,139437,2919859,214631,"0","0"
"World",2020-04-27,2087192,2577395,3067598,100026,2985836,221140,"0","0"
"World",2020-04-28,2136807,2638662,3140517,209493,3057322,227739,"0","0"
"World",2020-04-29,2187600,2701385,3215170,67461,3135117,233264,"0","0"
"World",2020-04-30,2239602,2765600,3291598,70996,3219630,239093,"0","0"
"World",2020-05-01,2292839,2831341,3369843,38472,3311096,243869,"0","0"
"World",2020-05-02,2347342,2898644,3449946,60305,3392064,247572,"0","0"
"World",2020-05-03,2403141,2967548,3531955,148664,3470325,251589,"0","0"
"World",2020-05-04,2460266,3038090,3615914,152198,3547799,257528,"0","0"
"World",2020-05-05,2518749,3110308,3701867,172267,3627277,263666,"0","0"
"World",2020-05-06,2578622,3184243,3789864,123577,3717380,269414,"0","0"
"World",2020-05-07,2639918,3259935,3879952,258818,3811352,274644,"0","0"
"World",2020-05-08,2702671,3337427,3972183,83345,3901382,279092,"0","0"
"World",2020-05-09,2766917,3416761,4066605,87712,3991192,282500,"0","0"
"World",2020-05-10,2832689,3497981,4163273,47530,4067814,286081,"0","0"
"World",2020-05-11,2900025,3581131,4262237,74503,4138938,291851,"0","0"
"World",2020-05-12,2968961,3666258,4363555,183667,4224790,297010,"0","0"
"World",2020-05-13,3039536,3753409,4467282,188033,4310856,302366,"0","0"
"World",2020-05-14,3111789,3842631,4573473,212828,4407508,307518,"0","0"
"World",2020-05-15,3185759,3933974,4682189,152673,4505525,311768,"0","0"
"World",2020-05-16,3261488,4027488,4793488,319757,4599522,314729,"0","0"
"World",2020-05-17,3339017,4123226,4907435,102968,4680529,317998,"0","0"
"World",2020-05-18,3418388,4221239,5024090,108364,4767693,323228,"0","0"
"World",2020-05-19,3499647,4321582,5143517,58721,4862820,328019,"0","0"
"World",2020-05-20,3582837,4424310,5265783,92045,4962372,333454,"0","0"
"World",2020-05-21,3668004,4529480,5390956,226912,5070115,338155,"0","0"
"World",2020-05-22,3755196,4637150,5519104,232306,5176659,342143,"0","0"
"World",2020-05-23,3844461,4747380,5650299,262938,5277588,342950,"0","0"
"World",2020-05-24,3935847,4860229,5784611,188620,5371597,346325,"0","0"
"World",2020-05-25,4029406,4975762,5922118,395043,5460747,350279,"0","0"
"World",2020-05-26,4125189,5094040,6062891,127212,5556702,355449,"0","0"
"World",2020-05-27,4223249,5215131,6207013,133878,5659329,360148,"0","0"
"World",2020-05-28,4323639,5339099,6354559,72547,5778036,364910,"0","0"
"World",2020-05-29,4426417,5466015,6505613,113717,5901001,368974,"0","0"
"World",2020-05-30,4531636,5595947,6660258,280338,6028732,371889,"0","0"
"World",2020-05-31,4639358,5728968,6818578,287002,6136553,375469,"0","0"
