"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Zambia",2019-12-30,1,1,1,0,0,NA,"0","27.849332"
"Zambia",2019-12-31,1,1,1,0,0,NA,"0","27.849332"
"Zambia",2020-01-01,1,1,1,0,0,NA,"0","27.849332"
"Zambia",2020-01-02,1,1,1,0,0,NA,"0","27.849332"
"Zambia",2020-01-03,1,1,1,0,0,NA,"0","27.849332"
"Zambia",2020-01-04,1,1,1,0,0,NA,"0","27.849332"
"Zambia",2020-01-05,1,1,1,0,0,NA,"0","27.849332"
"Zambia",2020-01-06,1,1,1,0,0,NA,"0","27.849332"
"Zambia",2020-01-07,1,1,1,0,0,NA,"0","27.849332"
"Zambia",2020-01-08,1,1,1,0,0,NA,"0","27.849332"
"Zambia",2020-01-09,1,1,1,0,0,NA,"0","27.849332"
"Zambia",2020-01-10,1,2,3,0,0,NA,"0","27.849332"
"Zambia",2020-01-11,1,2,3,0,0,NA,"0","27.849332"
"Zambia",2020-01-12,1,2,3,0,0,NA,"0","27.849332"
"Zambia",2020-01-13,1,2,3,0,0,NA,"0","27.849332"
"Zambia",2020-01-14,1,2,3,0,0,NA,"0","27.849332"
"Zambia",2020-01-15,1,2,3,0,0,NA,"0","27.849332"
"Zambia",2020-01-16,1,2,3,0,0,NA,"0","27.849332"
"Zambia",2020-01-17,1,2,3,0,0,NA,"0","27.849332"
"Zambia",2020-01-18,1,2,3,0,0,NA,"0","27.849332"
"Zambia",2020-01-19,1,2,3,0,0,NA,"0","27.849332"
"Zambia",2020-01-20,1,2,3,0,0,NA,"0","27.849332"
"Zambia",2020-01-21,2,3,4,0,0,NA,"0","27.849332"
"Zambia",2020-01-22,2,3,4,0,0,NA,"0","27.849332"
"Zambia",2020-01-23,2,3,4,0,0,NA,"0","27.849332"
"Zambia",2020-01-24,2,3,4,0,0,NA,"0","27.849332"
"Zambia",2020-01-25,2,3,4,0,0,NA,"0","27.849332"
"Zambia",2020-01-26,2,3,4,0,0,NA,"0","27.849332"
"Zambia",2020-01-27,2,3,4,0,0,NA,"0","27.849332"
"Zambia",2020-01-28,2,4,6,0,0,NA,"0","27.849332"
"Zambia",2020-01-29,2,4,6,0,0,NA,"0","27.849332"
"Zambia",2020-01-30,2,4,6,0,0,NA,"0","27.849332"
"Zambia",2020-01-31,2,4,6,0,0,NA,"0","27.849332"
"Zambia",2020-02-01,2,4,6,0,0,NA,"0","27.849332"
"Zambia",2020-02-02,2,4,6,0,0,NA,"0","27.849332"
"Zambia",2020-02-03,3,5,7,0,0,NA,"0","27.849332"
"Zambia",2020-02-04,3,5,7,0,0,NA,"0","27.849332"
"Zambia",2020-02-05,3,5,7,0,0,NA,"0","27.849332"
"Zambia",2020-02-06,3,5,7,0,0,NA,"0","27.849332"
"Zambia",2020-02-07,3,6,9,0,0,NA,"0","27.849332"
