"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
190,2020-07-08,2,2,2,89
191,2020-07-09,2,2,2,94
192,2020-07-10,2,2,2,100
193,2020-07-11,2,2,2,113
194,2020-07-12,2,2,2,113
195,2020-07-13,2,2,2,113
196,2020-07-14,2,2,2,120
197,2020-07-15,2,2,2,122
198,2020-07-16,2,2,2,128
199,2020-07-17,2,2,2,138
200,2020-07-18,2,2,2,141
201,2020-07-19,2,2,2,NA
202,2020-07-20,2,2,2,NA
203,2020-07-21,2,2,2,NA
204,2020-07-22,2,2,2,NA
205,2020-07-23,2,2,2,NA
206,2020-07-24,2,2,2,NA
207,2020-07-25,2,2,2,NA
208,2020-07-26,2,2,2,NA
209,2020-07-27,2,2,2,NA
210,2020-07-28,2,2,2,NA
