"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude","region"
"Belgium","2020-05-25",27358,48651,69944,7767,57342,9334,50.503887,4.469936,"Europe"
"Belgium","2020-05-26",27832,49493,71154,7901,57455,9364,50.503887,4.469936,"Europe"
"Belgium","2020-05-27",28312,50348,72384,8038,57592,9388,50.503887,4.469936,"Europe"
"Belgium","2020-05-28",28802,51219,73636,8177,57849,9443,50.503887,4.469936,"Europe"
"Belgium","2020-05-29",29300,52105,74910,8318,58061,9453,50.503887,4.469936,"Europe"
"Belgium","2020-05-30",29807,53006,76205,8462,58186,9467,50.503887,4.469936,"Europe"
"Belgium","2020-05-31",30322,53922,77522,8608,58381,9486,50.503887,4.469936,"Europe"
"Belgium","2020-06-01",30847,54855,78863,8757,58517,9505,50.503887,4.469936,"Europe"
"Belgium","2020-06-02",31380,55804,80228,8909,58615,9522,50.503887,4.469936,"Europe"
"Belgium","2020-06-03",31923,56769,81615,9063,58685,9548,50.503887,4.469936,"Europe"
"Belgium","2020-06-04",32475,57750,83025,9219,58767,9566,50.503887,4.469936,"Europe"
"Belgium","2020-06-05",33036,58749,84462,9379,58907,9580,50.503887,4.469936,"Europe"
"Belgium","2020-06-06",33608,59765,85922,9541,59072,9595,50.503887,4.469936,"Europe"
"Belgium","2020-06-07",34189,60798,87407,9706,59226,9609,50.503887,4.469936,"Europe"
"Belgium","2020-06-08",34780,61850,88920,9874,59348,9619,50.503887,4.469936,"Europe"
"Belgium","2020-06-09",35381,62919,90457,10045,59437,9629,50.503887,4.469936,"Europe"
"Belgium","2020-06-10",35993,64007,92021,10218,59569,9636,50.503887,4.469936,"Europe"
"Belgium","2020-06-11",36616,65114,93612,10395,59711,9646,50.503887,4.469936,"Europe"
"Belgium","2020-06-12",37249,66240,95231,10575,59819,9650,50.503887,4.469936,"Europe"
"Belgium","2020-06-13",37893,67386,96879,10758,59918,9655,50.503887,4.469936,"Europe"
"Belgium","2020-06-14",38548,68551,98554,10944,60029,9661,50.503887,4.469936,"Europe"
"Belgium","2020-06-15",39215,69736,100257,11133,60100,9663,50.503887,4.469936,"Europe"
"Belgium","2020-06-16",39893,70942,101991,11325,60155,9675,50.503887,4.469936,"Europe"
"Belgium","2020-06-17",40583,72169,103755,11521,60244,9683,50.503887,4.469936,"Europe"
"Belgium","2020-06-18",41285,73417,105549,11721,60348,9695,50.503887,4.469936,"Europe"
"Belgium","2020-06-19",41999,74687,107375,11923,60476,9696,50.503887,4.469936,"Europe"
"Belgium","2020-06-20",42725,75978,109231,12129,60550,9696,50.503887,4.469936,"Europe"
"Belgium","2020-06-21",43464,77292,111120,12339,60550,9696,50.503887,4.469936,"Europe"
"Belgium","2020-06-22",44216,78629,113042,12553,60550,9713,50.503887,4.469936,"Europe"
"Belgium","2020-06-23",44980,79988,114996,12770,60810,9722,50.503887,4.469936,"Europe"
"Belgium","2020-06-24",45758,81371,116984,12990,60898,9722,50.503887,4.469936,"Europe"
"Belgium","2020-06-25",46549,82779,119009,13215,NA,NA,50.503887,4.469936,"Europe"
"Belgium","2020-06-26",47354,84210,121066,13444,NA,NA,50.503887,4.469936,"Europe"
"Belgium","2020-06-27",48173,85666,123159,13676,NA,NA,50.503887,4.469936,"Europe"
"Belgium","2020-06-28",49006,87148,125290,13913,NA,NA,50.503887,4.469936,"Europe"
"Belgium","2020-06-29",49854,88655,127456,14153,NA,NA,50.503887,4.469936,"Europe"
"Belgium","2020-06-30",50716,90188,129660,14398,NA,NA,50.503887,4.469936,"Europe"
"Belgium","2020-07-01",51592,91747,131902,14647,NA,NA,50.503887,4.469936,"Europe"
"Belgium","2020-07-02",52485,93334,134183,14900,NA,NA,50.503887,4.469936,"Europe"
"Belgium","2020-07-03",53392,94948,136504,15158,NA,NA,50.503887,4.469936,"Europe"
"Belgium","2020-07-04",54316,96590,138864,15420,NA,NA,50.503887,4.469936,"Europe"
"Belgium","2020-07-05",55255,98260,141265,15687,NA,NA,50.503887,4.469936,"Europe"
"Belgium","2020-07-06",56210,99959,143708,15958,NA,NA,50.503887,4.469936,"Europe"
"Belgium","2020-07-07",57182,101688,146194,16234,NA,NA,50.503887,4.469936,"Europe"
"Belgium","2020-07-08",58171,103446,148721,16515,NA,NA,50.503887,4.469936,"Europe"
"Belgium","2020-07-09",59177,105235,151293,16800,NA,NA,50.503887,4.469936,"Europe"
"Brazil","2020-05-25",293325,359099,424873,16428,374898,24512,0,0,"South America"
"Brazil","2020-05-26",306070,374701,443332,17142,391222,25598,0,0,"South America"
"Brazil","2020-05-27",319367,390980,462593,17887,411821,26754,0,0,"South America"
"Brazil","2020-05-28",333242,407966,482690,18664,438238,27878,0,0,"South America"
"Brazil","2020-05-29",347720,425691,503662,19474,465166,28834,0,0,"South America"
"Brazil","2020-05-30",362827,444185,525543,20321,498440,29314,0,0,"South America"
"Brazil","2020-05-31",378590,463483,548376,21203,514849,29937,0,0,"South America"
"Brazil","2020-06-01",395039,483620,572201,22125,526447,31199,0,0,"South America"
"Brazil","2020-06-02",412201,504631,597061,23086,555383,32548,0,0,"South America"
"Brazil","2020-06-03",430110,526555,623000,24089,584016,34021,0,0,"South America"
"Brazil","2020-06-04",448796,549432,650068,25135,614932,35026,0,0,"South America"
"Brazil","2020-06-05",468294,573302,678310,26227,645762,35930,0,0,"South America"
"Brazil","2020-06-06",488640,598210,707780,27367,672837,36455,0,0,"South America"
"Brazil","2020-06-07",509870,624200,738530,28556,691758,37134,0,0,"South America"
"Brazil","2020-06-08",532021,651319,770617,29797,707412,38406,0,0,"South America"
"Brazil","2020-06-09",555135,679616,804097,31091,739503,39680,0,0,"South America"
"Brazil","2020-06-10",579253,709142,839031,32442,772416,40919,0,0,"South America"
"Brazil","2020-06-11",604419,739951,875483,33851,802828,41828,0,0,"South America"
"Brazil","2020-06-12",630679,772099,913519,35322,828810,42720,0,0,"South America"
"Brazil","2020-06-13",658080,805644,953208,36857,850514,43332,0,0,"South America"
"Brazil","2020-06-14",686671,840646,994621,38458,867624,43959,0,0,"South America"
"Brazil","2020-06-15",716503,877168,1037833,40129,888271,45241,0,0,"South America"
"Brazil","2020-06-16",747633,915278,1082923,41872,923189,46510,0,0,"South America"
"Brazil","2020-06-17",780114,955043,1129972,43691,955377,47748,0,0,"South America"
"Brazil","2020-06-18",814007,996535,1179063,45589,978142,48954,0,0,"South America"
"Brazil","2020-06-19",849372,1039831,1230290,47570,1032913,49976,0,0,"South America"
"Brazil","2020-06-20",886274,1085007,1283740,49637,1067579,50617,0,0,"South America"
"Brazil","2020-06-21",924779,1132146,1339513,51793,1085038,51271,0,0,"South America"
"Brazil","2020-06-22",964956,1181333,1397710,54044,1106470,52645,0,0,"South America"
"Brazil","2020-06-23",1006880,1232657,1458434,56392,1145906,52951,0,0,"South America"
"Brazil","2020-06-24",1050625,1286211,1521797,58842,1157451,52951,0,0,"South America"
"Brazil","2020-06-25",1096270,1342092,1587914,61398,NA,NA,0,0,"South America"
"Brazil","2020-06-26",1143898,1400400,1656902,64065,NA,NA,0,0,"South America"
"Brazil","2020-06-27",1193596,1461242,1728888,66849,NA,NA,0,0,"South America"
"Brazil","2020-06-28",1245452,1524726,1804000,69753,NA,NA,0,0,"South America"
"Brazil","2020-06-29",1299562,1590969,1882376,72784,NA,NA,0,0,"South America"
"Brazil","2020-06-30",1356024,1660091,1964158,75946,NA,NA,0,0,"South America"
"Brazil","2020-07-01",1414937,1732215,2049493,79245,NA,NA,0,0,"South America"
"Brazil","2020-07-02",1476410,1807472,2138534,82688,NA,NA,0,0,"South America"
"Brazil","2020-07-03",1540553,1885999,2231445,86281,NA,NA,0,0,"South America"
"Brazil","2020-07-04",1607484,1967938,2328392,90029,NA,NA,0,0,"South America"
"Brazil","2020-07-05",1677323,2053437,2429551,93941,NA,NA,0,0,"South America"
"Brazil","2020-07-06",1750195,2142650,2535105,98022,NA,NA,0,0,"South America"
"Brazil","2020-07-07",1826235,2235740,2645245,102281,NA,NA,0,0,"South America"
"Brazil","2020-07-08",1905577,2332873,2760169,106724,NA,NA,0,0,"South America"
"Brazil","2020-07-09",1988366,2434227,2880088,111361,NA,NA,0,0,"South America"
"China","2020-05-25",57041,88672,120303,4925,84102,4638,35.86166,104.195397,"Asia"
"China","2020-05-26",57399,89229,121059,4956,84103,4638,35.86166,104.195397,"Asia"
"China","2020-05-27",57760,89790,121820,4987,84106,4638,35.86166,104.195397,"Asia"
"China","2020-05-28",58123,90354,122585,5019,84106,4638,35.86166,104.195397,"Asia"
"China","2020-05-29",58488,90922,123356,5050,84123,4638,35.86166,104.195397,"Asia"
"China","2020-05-30",58856,91494,124132,5082,84128,4638,35.86166,104.195397,"Asia"
"China","2020-05-31",59226,92069,124912,5114,84147,4638,35.86166,104.195397,"Asia"
"China","2020-06-01",59599,92648,125697,5146,84154,4638,35.86166,104.195397,"Asia"
"China","2020-06-02",59973,93230,126487,5178,84159,4638,35.86166,104.195397,"Asia"
"China","2020-06-03",60351,93817,127283,5211,84160,4638,35.86166,104.195397,"Asia"
"China","2020-06-04",60730,94406,128082,5244,84171,4638,35.86166,104.195397,"Asia"
"China","2020-06-05",61112,95000,128888,5277,84177,4638,35.86166,104.195397,"Asia"
"China","2020-06-06",61496,95597,129698,5310,84186,4638,35.86166,104.195397,"Asia"
"China","2020-06-07",61882,96198,130514,5343,84191,4638,35.86166,104.195397,"Asia"
"China","2020-06-08",62272,96803,131334,5377,84194,4638,35.86166,104.195397,"Asia"
"China","2020-06-09",62663,97411,132159,5411,84198,4638,35.86166,104.195397,"Asia"
"China","2020-06-10",63057,98024,132991,5445,84209,4638,35.86166,104.195397,"Asia"
"China","2020-06-11",63453,98640,133827,5479,84216,4638,35.86166,104.195397,"Asia"
"China","2020-06-12",63852,99260,134668,5513,84228,4638,35.86166,104.195397,"Asia"
"China","2020-06-13",64253,99884,135515,5548,84288,4638,35.86166,104.195397,"Asia"
"China","2020-06-14",64657,100512,136367,5583,84335,4638,35.86166,104.195397,"Asia"
"China","2020-06-15",65064,101144,137224,5618,84378,4638,35.86166,104.195397,"Asia"
"China","2020-06-16",65473,101780,138087,5653,84422,4638,35.86166,104.195397,"Asia"
"China","2020-06-17",65884,102419,138954,5689,84458,4638,35.86166,104.195397,"Asia"
"China","2020-06-18",66298,103063,139828,5724,84494,4638,35.86166,104.195397,"Asia"
"China","2020-06-19",66715,103711,140707,5760,84524,4639,35.86166,104.195397,"Asia"
"China","2020-06-20",67135,104363,141591,5797,84553,4639,35.86166,104.195397,"Asia"
"China","2020-06-21",67557,105019,142481,5833,84572,4639,35.86166,104.195397,"Asia"
"China","2020-06-22",67981,105679,143377,5870,84624,4640,35.86166,104.195397,"Asia"
"China","2020-06-23",68409,106344,144279,5907,84653,4634,35.86166,104.195397,"Asia"
"China","2020-06-24",68839,107012,145185,5944,83430,4634,35.86166,104.195397,"Asia"
"China","2020-06-25",69272,107685,146098,5981,NA,NA,35.86166,104.195397,"Asia"
"China","2020-06-26",69707,108362,147017,6019,NA,NA,35.86166,104.195397,"Asia"
"China","2020-06-27",70145,109043,147941,6057,NA,NA,35.86166,104.195397,"Asia"
"China","2020-06-28",70587,109729,148871,6095,NA,NA,35.86166,104.195397,"Asia"
"China","2020-06-29",71030,110418,149806,6133,NA,NA,35.86166,104.195397,"Asia"
"China","2020-06-30",71477,111113,150749,6172,NA,NA,35.86166,104.195397,"Asia"
"China","2020-07-01",71926,111811,151696,6210,NA,NA,35.86166,104.195397,"Asia"
"China","2020-07-02",72378,112514,152650,6249,NA,NA,35.86166,104.195397,"Asia"
"China","2020-07-03",72833,113221,153609,6289,NA,NA,35.86166,104.195397,"Asia"
"China","2020-07-04",73291,113933,154575,6328,NA,NA,35.86166,104.195397,"Asia"
"China","2020-07-05",73751,114649,155547,6368,NA,NA,35.86166,104.195397,"Asia"
"China","2020-07-06",74215,115370,156525,6408,NA,NA,35.86166,104.195397,"Asia"
"China","2020-07-07",74682,116095,157508,6448,NA,NA,35.86166,104.195397,"Asia"
"China","2020-07-08",75151,116825,158499,6489,NA,NA,35.86166,104.195397,"Asia"
"China","2020-07-09",75624,117560,159496,6530,NA,NA,35.86166,104.195397,"Asia"
"Germany","2020-05-25",88863,158553,228243,7386,179002,8349,51.165691,10.451526,"Europe"
"Germany","2020-05-26",90265,161054,231843,7503,179364,8411,51.165691,10.451526,"Europe"
