"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude","region"
"Brazil","2020-03-14",662,856,1050,49,121,0,0,0,"South America"
"Brazil","2020-03-15",742,959,1176,54,200,0,0,0,"South America"
"Brazil","2020-03-16",832,1075,1318,61,234,1,0,0,"South America"
"Brazil","2020-03-17",932,1204,1476,68,291,4,0,0,"South America"
"Brazil","2020-03-18",1044,1349,1654,76,428,6,0,0,"South America"
"Brazil","2020-03-19",1169,1511,1853,86,621,11,0,0,"South America"
"Brazil","2020-03-20",1309,1692,2075,96,904,18,0,0,"South America"
"Brazil","2020-03-21",1467,1896,2325,107,1128,25,0,0,"South America"
"Brazil","2020-03-22",1644,2124,2604,120,1546,34,0,0,"South America"
"Brazil","2020-03-23",1841,2379,2917,135,1891,46,0,0,"South America"
"Brazil","2020-03-24",2062,2665,3268,151,2201,57,0,0,"South America"
"Brazil","2020-03-25",2311,2986,3661,169,2433,77,0,0,"South America"
"Brazil","2020-03-26",2588,3345,4102,190,2915,92,0,0,"South America"
"Brazil","2020-03-27",2899,3747,4595,212,3417,114,0,0,"South America"
"Brazil","2020-03-28",3248,4198,5148,238,3904,136,0,0,"South America"
"Brazil","2020-03-29",3639,4703,5767,267,4256,159,0,0,"South America"
"Brazil","2020-03-30",4076,5268,6460,299,4579,201,0,0,"South America"
"Brazil","2020-03-31",4567,5902,7237,335,5717,241,0,0,"South America"
"Brazil","2020-04-01",5116,6612,8108,375,6836,299,0,0,"South America"
"Brazil","2020-04-02",5731,7407,9083,420,7910,359,0,0,"South America"
"Brazil","2020-04-03",6421,8298,10175,470,9056,432,0,0,"South America"
"Brazil","2020-04-04",7193,9296,11399,527,10278,486,0,0,"South America"
"Brazil","2020-04-05",8058,10414,12770,590,11130,553,0,0,"South America"
"Brazil","2020-04-06",9027,11666,14305,661,12056,667,0,0,"South America"
"Brazil","2020-04-07",10113,13069,16025,741,13717,800,0,0,"South America"
"Brazil","2020-04-08",11329,14641,17953,830,15927,941,0,0,"South America"
"Brazil","2020-04-09",12691,16401,20111,930,17857,1056,0,0,"South America"
"Brazil","2020-04-10",14218,18374,22530,1041,19638,1124,0,0,"South America"
"Brazil","2020-04-11",15928,20584,25240,1167,20727,1223,0,0,"South America"
"Brazil","2020-04-12",17843,23059,28275,1307,22169,1328,0,0,"South America"
"Brazil","2020-04-13",19989,25832,31675,1464,23430,1328,0,0,"South America"
"Brazil","2020-04-14",22393,28939,35485,1640,NA,NA,0,0,"South America"
"Brazil","2020-04-15",25086,32419,39752,1837,NA,NA,0,0,"South America"
"Brazil","2020-04-16",28103,36318,44533,2058,NA,NA,0,0,"South America"
"Brazil","2020-04-17",31482,40685,49888,2306,NA,NA,0,0,"South America"
"Brazil","2020-04-18",35268,45578,55888,2583,NA,NA,0,0,"South America"
"Brazil","2020-04-19",39509,51059,62609,2894,NA,NA,0,0,"South America"
"Brazil","2020-04-20",44261,57200,70139,3242,NA,NA,0,0,"South America"
"China","2020-03-14",39167,66716,94265,2710,80995,3216,35.86166,104.195397,"Asia"
"China","2020-03-15",39829,67844,95859,2756,81020,3225,35.86166,104.195397,"Asia"
"China","2020-03-16",40503,68991,97479,2802,81063,3241,35.86166,104.195397,"Asia"
"China","2020-03-17",41187,70157,99127,2850,81086,3249,35.86166,104.195397,"Asia"
"China","2020-03-18",41884,71343,100802,2898,81130,3253,35.86166,104.195397,"Asia"
"China","2020-03-19",42592,72549,102506,2947,81229,3259,35.86166,104.195397,"Asia"
"China","2020-03-20",43312,73776,104240,2997,81281,3265,35.86166,104.195397,"Asia"
"China","2020-03-21",44044,75023,106002,3047,81346,3274,35.86166,104.195397,"Asia"
"China","2020-03-22",44789,76292,107795,3099,81484,3281,35.86166,104.195397,"Asia"
"China","2020-03-23",45546,77582,109618,3151,81553,3285,35.86166,104.195397,"Asia"
"China","2020-03-24",46316,78893,111470,3205,81631,3291,35.86166,104.195397,"Asia"
"China","2020-03-25",47099,80227,113355,3259,81733,3296,35.86166,104.195397,"Asia"
"China","2020-03-26",47896,81584,115272,3314,81827,3299,35.86166,104.195397,"Asia"
"China","2020-03-27",48705,82963,117221,3370,81946,3304,35.86166,104.195397,"Asia"
"China","2020-03-28",49529,84366,119203,3427,82059,3306,35.86166,104.195397,"Asia"
"China","2020-03-29",50366,85792,121218,3485,82157,3309,35.86166,104.195397,"Asia"
"China","2020-03-30",51218,87243,123268,3544,82241,3310,35.86166,104.195397,"Asia"
"China","2020-03-31",52084,88718,125352,3604,82295,3316,35.86166,104.195397,"Asia"
"China","2020-04-01",52965,90218,127471,3665,82395,3326,35.86166,104.195397,"Asia"
"China","2020-04-02",53860,91743,129626,3727,82465,3330,35.86166,104.195397,"Asia"
"China","2020-04-03",54770,93294,131818,3790,82527,3333,35.86166,104.195397,"Asia"
"China","2020-04-04",55696,94871,134046,3854,82575,3335,35.86166,104.195397,"Asia"
"China","2020-04-05",56638,96475,136312,3919,82642,3335,35.86166,104.195397,"Asia"
"China","2020-04-06",57595,98106,138617,3985,82698,3337,35.86166,104.195397,"Asia"
"China","2020-04-07",58569,99765,140961,4053,82784,3339,35.86166,104.195397,"Asia"
"China","2020-04-08",59560,101452,143344,4121,82870,3340,35.86166,104.195397,"Asia"
"China","2020-04-09",60567,103167,145767,4191,82925,3343,35.86166,104.195397,"Asia"
"China","2020-04-10",61591,104911,148231,4262,83004,3343,35.86166,104.195397,"Asia"
"China","2020-04-11",62632,106685,150738,4334,83097,3345,35.86166,104.195397,"Asia"
"China","2020-04-12",63691,108489,153287,4407,83209,3341,35.86166,104.195397,"Asia"
"China","2020-04-13",64768,110323,155878,4481,82249,3341,35.86166,104.195397,"Asia"
"China","2020-04-14",65863,112188,158513,4557,NA,NA,35.86166,104.195397,"Asia"
"China","2020-04-15",66976,114085,161194,4634,NA,NA,35.86166,104.195397,"Asia"
"China","2020-04-16",68109,116014,163919,4713,NA,NA,35.86166,104.195397,"Asia"
"China","2020-04-17",69261,117976,166691,4792,NA,NA,35.86166,104.195397,"Asia"
"China","2020-04-18",70431,119970,169509,4873,NA,NA,35.86166,104.195397,"Asia"
"China","2020-04-19",71622,121998,172374,4956,NA,NA,35.86166,104.195397,"Asia"
"China","2020-04-20",72833,124061,175289,5039,NA,NA,35.86166,104.195397,"Asia"
"Germany","2020-03-14",9808,15455,21102,380,3795,12,51.165691,10.451526,"Europe"
