"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude","region"
"United.States","2020-06-01",1683691,1922889,2162087,91121,1811277,106181,37.09024,0,"North America"
"United.States","2020-06-02",1704365,1946500,2188635,92240,1831821,107175,37.09024,0,"North America"
"United.States","2020-06-03",1724485,1969478,2214471,93329,1851520,108211,37.09024,0,"North America"
"United.States","2020-06-04",1744047,1991819,2239591,94387,1872660,109143,37.09024,0,"North America"
"United.States","2020-06-05",1763049,2013521,2263993,95416,1897838,109802,37.09024,0,"North America"
"United.States","2020-06-06",1781492,2034584,2287676,96414,1920061,110514,37.09024,0,"North America"
"United.States","2020-06-07",1799377,2055010,2310643,97382,1942363,111007,37.09024,0,"North America"
"United.States","2020-06-08",1816707,2074802,2332897,98320,1961185,112006,37.09024,0,"North America"
"United.States","2020-06-09",1833485,2093963,2354441,99228,1979850,112924,37.09024,0,"North America"
"United.States","2020-06-10",1849717,2112501,2375285,100106,2000464,113820,37.09024,0,"North America"
"United.States","2020-06-11",1865407,2130421,2395435,100955,2023347,114669,37.09024,0,"North America"
"United.States","2020-06-12",1880565,2147732,2414899,101776,2048986,115436,37.09024,0,"North America"
"United.States","2020-06-13",1895197,2164443,2433689,102567,2074526,115732,37.09024,0,"North America"
"United.States","2020-06-14",1909313,2180564,2451815,103331,2094069,116127,37.09024,0,"North America"
"United.States","2020-06-15",1922921,2196105,2469289,104068,2114026,116963,37.09024,0,"North America"
"United.States","2020-06-16",1936032,2211079,2486126,104777,2137731,117717,37.09024,0,"North America"
"United.States","2020-06-17",1948656,2225496,2502336,105461,2163290,118434,37.09024,0,"North America"
"United.States","2020-06-18",1960805,2239371,2517937,106118,2191052,119112,37.09024,0,"North America"
"United.States","2020-06-19",1972489,2252715,2532941,106750,2220961,119719,37.09024,0,"North America"
"United.States","2020-06-20",1983720,2265542,2547364,107358,2255119,119975,37.09024,0,"North America"
"United.States","2020-06-21",1994511,2277866,2561221,107942,2280912,120402,37.09024,0,"North America"
"United.States","2020-06-22",2004874,2289701,2574528,108503,2312302,121228,37.09024,0,"North America"
"United.States","2020-06-23",2014820,2301060,2587300,109041,2347022,121979,37.09024,0,"North America"
"United.States","2020-06-24",2024362,2311958,2599554,109558,2381361,124416,37.09024,0,"North America"
"United.States","2020-06-25",2033513,2322409,2611305,110053,2422310,125039,37.09024,0,"North America"
"United.States","2020-06-26",2042285,2332427,2622569,110528,2467837,125539,37.09024,0,"North America"
"United.States","2020-06-27",2050690,2342026,2633362,110983,2510323,125804,37.09024,0,"North America"
"United.States","2020-06-28",2058741,2351221,2643701,111418,2548996,126140,37.09024,0,"North America"
"United.States","2020-06-29",2066449,2360024,2653599,111836,2590552,127410,37.09024,0,"North America"
"United.States","2020-06-30",2073827,2368450,2663073,112235,2634432,130390,37.09024,0,"North America"
"United.States","2020-07-01",2080885,2376511,2672137,112617,2751571,130390,37.09024,0,"North America"
"United.States","2020-07-02",2087637,2384222,2680807,112982,NA,NA,37.09024,0,"North America"
"United.States","2020-07-03",2094093,2391595,2689097,113332,NA,NA,37.09024,0,"North America"
"United.States","2020-07-04",2100265,2398644,2697023,113666,NA,NA,37.09024,0,"North America"
"United.States","2020-07-05",2106162,2405379,2704596,113985,NA,NA,37.09024,0,"North America"
"United.States","2020-07-06",2111797,2411814,2711831,114290,NA,NA,37.09024,0,"North America"
"United.States","2020-07-07",2117178,2417960,2718742,114581,NA,NA,37.09024,0,"North America"
"United.States","2020-07-08",2122317,2423829,2725341,114859,NA,NA,37.09024,0,"North America"
"United.States","2020-07-09",2127223,2429432,2731641,115125,NA,NA,37.09024,0,"North America"
"United.States","2020-07-10",2131905,2434779,2737653,115378,NA,NA,37.09024,0,"North America"
"United.States","2020-07-11",2136373,2439882,2743391,115620,NA,NA,37.09024,0,"North America"
"United.States","2020-07-12",2140636,2444751,2748866,115851,NA,NA,37.09024,0,"North America"
"United.States","2020-07-13",2144703,2449395,2754087,116071,NA,NA,37.09024,0,"North America"
"United.States","2020-07-14",2148581,2453824,2759067,116281,NA,NA,37.09024,0,"North America"
