"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
105,2020-04-14,91,103,115,99
106,2020-04-15,99,112,125,101
107,2020-04-16,108,122,136,110
108,2020-04-17,117,133,149,135
109,2020-04-18,128,145,162,142
110,2020-04-19,139,158,177,163
111,2020-04-20,152,172,192,176
112,2020-04-21,164,186,208,195
113,2020-04-22,178,202,226,214
114,2020-04-23,193,219,245,227
115,2020-04-24,209,237,265,234
116,2020-04-25,226,256,286,258
117,2020-04-26,243,276,309,279
118,2020-04-27,262,297,332,279
119,2020-04-28,281,319,357,311
120,2020-04-29,303,343,383,354
121,2020-04-30,325,368,411,NA
122,2020-05-01,347,393,439,NA
123,2020-05-02,371,420,469,NA
124,2020-05-03,395,448,501,NA
125,2020-05-04,420,476,532,NA
126,2020-05-05,445,505,565,NA
127,2020-05-06,472,535,598,NA
128,2020-05-07,499,566,633,NA
129,2020-05-08,526,596,666,NA
130,2020-05-09,553,627,701,NA
131,2020-05-10,581,659,737,NA
132,2020-05-11,609,690,771,NA
133,2020-05-12,636,721,806,NA
134,2020-05-13,663,752,841,NA
135,2020-05-14,690,782,874,NA
