"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
165,2020-06-13,34,39,44,41
166,2020-06-14,36,42,48,42
167,2020-06-15,40,46,52,45
168,2020-06-16,43,50,57,48
169,2020-06-17,47,54,61,53
170,2020-06-18,51,59,67,58
171,2020-06-19,55,64,73,61
172,2020-06-20,60,69,78,63
173,2020-06-21,65,75,85,68
174,2020-06-22,71,82,93,92
175,2020-06-23,77,89,101,93
176,2020-06-24,83,96,109,NA
177,2020-06-25,90,104,118,NA
178,2020-06-26,98,113,128,NA
179,2020-06-27,106,123,140,NA
180,2020-06-28,115,133,151,NA
181,2020-06-29,125,144,163,NA
182,2020-06-30,136,157,178,NA
183,2020-07-01,147,170,193,NA
184,2020-07-02,159,184,209,NA
185,2020-07-03,172,199,226,NA
