"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
94,2020-04-03,311,370,429,311
95,2020-04-04,376,448,520,417
96,2020-04-05,451,537,623,532
97,2020-04-06,534,636,738,636
98,2020-04-07,625,744,863,804
99,2020-04-08,720,858,996,899
100,2020-04-09,819,975,1131,981
101,2020-04-10,917,1092,1267,1050
102,2020-04-11,1013,1206,1399,NA
103,2020-04-12,1103,1313,1523,NA
104,2020-04-13,1185,1411,1637,NA
105,2020-04-14,1260,1500,1740,NA
106,2020-04-15,1324,1577,1830,NA
107,2020-04-16,1380,1643,1906,NA
108,2020-04-17,1427,1700,1973,NA
