"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Bahrain",2019-12-30,0,0,0,0,0,0,"26.0667","50.5577"
"Bahrain",2019-12-31,0,0,0,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-01,1,1,1,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-02,1,1,1,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-03,1,1,1,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-04,1,1,1,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-05,1,1,1,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-06,1,1,1,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-07,1,1,1,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-08,1,1,1,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-09,1,1,1,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-10,1,1,1,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-11,1,1,1,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-12,1,1,1,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-13,1,1,1,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-14,1,1,1,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-15,2,2,2,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-16,2,2,2,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-17,2,2,2,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-18,2,2,2,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-19,2,2,2,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-20,2,2,2,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-21,3,3,3,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-22,3,3,3,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-23,3,3,3,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-24,3,3,3,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-25,4,4,4,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-26,4,4,4,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-27,4,4,4,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-28,4,4,4,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-29,4,5,6,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-30,4,5,6,0,0,0,"26.0667","50.5577"
"Bahrain",2020-01-31,5,6,7,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-01,5,6,7,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-02,6,7,8,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-03,6,7,8,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-04,7,8,9,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-05,7,8,9,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-06,8,9,10,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-07,9,10,11,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-08,9,10,11,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-09,10,11,12,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-10,11,12,13,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-11,12,13,14,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-12,13,14,15,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-13,13,15,17,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-14,15,17,19,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-15,16,18,20,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-16,17,19,21,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-17,19,21,23,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-18,21,23,25,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-19,22,25,28,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-20,24,27,30,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-21,26,29,32,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-22,28,31,34,0,0,0,"26.0667","50.5577"
"Bahrain",2020-02-23,31,34,37,0,1,0,"26.0667","50.5577"
"Bahrain",2020-02-24,32,36,40,0,2,0,"26.0667","50.5577"
"Bahrain",2020-02-25,35,39,43,0,23,0,"26.0667","50.5577"
"Bahrain",2020-02-26,38,42,46,0,33,0,"26.0667","50.5577"
"Bahrain",2020-02-27,41,46,51,0,33,0,"26.0667","50.5577"
"Bahrain",2020-02-28,45,50,55,0,38,0,"26.0667","50.5577"
"Bahrain",2020-02-29,48,54,60,0,41,0,"26.0667","50.5577"
"Bahrain",2020-03-01,52,58,64,0,47,NA,"26.0667","50.5577"
"Bahrain",2020-03-02,56,62,68,0,0,0,"26.0667","50.5577"
"Bahrain",2020-03-03,60,67,74,0,49,0,"26.0667","50.5577"
"Bahrain",2020-03-04,66,73,80,0,52,0,"26.0667","50.5577"
"Bahrain",2020-03-05,71,79,87,0,52,0,"26.0667","50.5577"
"Bahrain",2020-03-06,76,85,94,0,56,0,"26.0667","50.5577"
"Bahrain",2020-03-07,83,92,101,0,63,0,"26.0667","50.5577"
