"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Belgium",2019-12-30,0,0,0,0,0,0,"50.503887","4.469936"
"Belgium",2019-12-31,0,0,0,0,0,0,"50.503887","4.469936"
"Belgium",2020-01-01,0,0,0,0,0,0,"50.503887","4.469936"
"Belgium",2020-01-02,0,0,0,0,0,0,"50.503887","4.469936"
"Belgium",2020-01-03,0,0,0,0,0,0,"50.503887","4.469936"
"Belgium",2020-01-04,0,0,0,0,0,0,"50.503887","4.469936"
"Belgium",2020-01-05,0,0,0,0,0,0,"50.503887","4.469936"
"Belgium",2020-01-06,0,0,0,0,0,0,"50.503887","4.469936"
"Belgium",2020-01-07,0,0,0,0,0,0,"50.503887","4.469936"
"Belgium",2020-01-08,0,0,0,0,0,0,"50.503887","4.469936"
"Belgium",2020-01-09,0,0,0,0,0,0,"50.503887","4.469936"
"Belgium",2020-01-10,1,1,1,0,0,0,"50.503887","4.469936"
"Belgium",2020-01-11,1,1,1,0,0,0,"50.503887","4.469936"
"Belgium",2020-01-12,1,1,1,0,0,0,"50.503887","4.469936"
"Belgium",2020-01-13,1,1,1,0,0,0,"50.503887","4.469936"
"Belgium",2020-01-14,1,1,1,0,0,0,"50.503887","4.469936"
"Belgium",2020-01-15,1,1,1,0,0,0,"50.503887","4.469936"
"Belgium",2020-01-16,1,1,1,0,0,0,"50.503887","4.469936"
"Belgium",2020-01-17,1,1,1,0,0,0,"50.503887","4.469936"
"Belgium",2020-01-18,2,2,2,0,0,0,"50.503887","4.469936"
"Belgium",2020-01-19,2,2,2,0,0,0,"50.503887","4.469936"
"Belgium",2020-01-20,2,2,2,0,0,0,"50.503887","4.469936"
"Belgium",2020-01-21,2,2,2,0,0,0,"50.503887","4.469936"
"Belgium",2020-01-22,3,3,3,0,0,0,"50.503887","4.469936"
"Belgium",2020-01-23,3,3,3,0,0,0,"50.503887","4.469936"
"Belgium",2020-01-24,3,3,3,0,0,0,"50.503887","4.469936"
"Belgium",2020-01-25,4,4,4,1,0,0,"50.503887","4.469936"
"Belgium",2020-01-26,4,4,4,1,0,0,"50.503887","4.469936"
"Belgium",2020-01-27,5,5,5,1,0,0,"50.503887","4.469936"
"Belgium",2020-01-28,5,5,5,1,0,0,"50.503887","4.469936"
"Belgium",2020-01-29,6,6,6,1,0,0,"50.503887","4.469936"
"Belgium",2020-01-30,7,7,7,1,0,0,"50.503887","4.469936"
"Belgium",2020-01-31,8,8,8,1,0,0,"50.503887","4.469936"
"Belgium",2020-02-01,8,9,10,1,0,0,"50.503887","4.469936"
"Belgium",2020-02-02,9,10,11,2,0,0,"50.503887","4.469936"
"Belgium",2020-02-03,11,12,13,2,1,0,"50.503887","4.469936"
"Belgium",2020-02-04,12,13,14,2,1,0,"50.503887","4.469936"
"Belgium",2020-02-05,14,15,16,2,1,0,"50.503887","4.469936"
"Belgium",2020-02-06,16,17,18,3,1,0,"50.503887","4.469936"
"Belgium",2020-02-07,18,19,20,3,1,0,"50.503887","4.469936"
"Belgium",2020-02-08,21,22,23,3,1,0,"50.503887","4.469936"
"Belgium",2020-02-09,23,25,27,4,1,0,"50.503887","4.469936"
"Belgium",2020-02-10,26,28,30,4,1,0,"50.503887","4.469936"
"Belgium",2020-02-11,30,32,34,5,1,0,"50.503887","4.469936"
"Belgium",2020-02-12,34,36,38,6,1,0,"50.503887","4.469936"
"Belgium",2020-02-13,38,41,44,6,1,0,"50.503887","4.469936"
"Belgium",2020-02-14,43,46,49,7,1,0,"50.503887","4.469936"
"Belgium",2020-02-15,49,52,55,8,1,0,"50.503887","4.469936"
"Belgium",2020-02-16,55,59,63,9,1,0,"50.503887","4.469936"
"Belgium",2020-02-17,63,67,71,11,1,0,"50.503887","4.469936"
"Belgium",2020-02-18,71,76,81,12,1,0,"50.503887","4.469936"
"Belgium",2020-02-19,81,86,91,14,1,0,"50.503887","4.469936"
"Belgium",2020-02-20,92,98,104,15,1,0,"50.503887","4.469936"
"Belgium",2020-02-21,104,111,118,17,1,0,"50.503887","4.469936"
"Belgium",2020-02-22,118,126,134,20,1,0,"50.503887","4.469936"
"Belgium",2020-02-23,134,143,152,23,1,0,"50.503887","4.469936"
"Belgium",2020-02-24,152,162,172,26,1,0,"50.503887","4.469936"
"Belgium",2020-02-25,173,184,195,29,1,0,"50.503887","4.469936"
"Belgium",2020-02-26,195,208,221,33,1,0,"50.503887","4.469936"
"Belgium",2020-02-27,221,236,251,37,1,0,"50.503887","4.469936"
"Belgium",2020-02-28,250,267,284,42,1,0,"50.503887","4.469936"
"Belgium",2020-02-29,284,303,322,48,1,0,"50.503887","4.469936"
"Belgium",2020-03-01,323,344,365,54,2,0,"50.503887","4.469936"
"Belgium",2020-03-02,365,389,413,61,8,0,"50.503887","4.469936"
"Belgium",2020-03-03,414,441,468,70,13,0,"50.503887","4.469936"
"Belgium",2020-03-04,469,500,531,79,23,0,"50.503887","4.469936"
"Belgium",2020-03-05,531,566,601,89,50,0,"50.503887","4.469936"
"Belgium",2020-03-06,601,641,681,101,109,0,"50.503887","4.469936"
"Belgium",2020-03-07,681,726,771,114,169,0,"50.503887","4.469936"
"Belgium",2020-03-08,771,822,873,130,200,0,"50.503887","4.469936"
"Belgium",2020-03-09,872,930,988,147,239,0,"50.503887","4.469936"
"Belgium",2020-03-10,987,1053,1119,166,267,3,"50.503887","4.469936"
"Belgium",2020-03-11,1117,1191,1265,188,314,3,"50.503887","4.469936"
"Belgium",2020-03-12,1262,1346,1430,212,399,3,"50.503887","4.469936"
"Belgium",2020-03-13,1427,1522,1617,240,559,4,"50.503887","4.469936"
"Belgium",2020-03-14,1612,1719,1826,271,689,4,"50.503887","4.469936"
"Belgium",2020-03-15,1820,1941,2062,306,886,5,"50.503887","4.469936"
"Belgium",2020-03-16,2055,2191,2327,345,1085,5,"50.503887","4.469936"
"Belgium",2020-03-17,2317,2471,2625,390,1243,14,"50.503887","4.469936"
"Belgium",2020-03-18,2612,2785,2958,439,1486,21,"50.503887","4.469936"
"Belgium",2020-03-19,2941,3136,3331,494,1795,37,"50.503887","4.469936"
"Belgium",2020-03-20,3309,3529,3749,556,2257,67,"50.503887","4.469936"
"Belgium",2020-03-21,3719,3966,4213,625,2815,75,"50.503887","4.469936"
"Belgium",2020-03-22,4176,4453,4730,702,3401,88,"50.503887","4.469936"
"Belgium",2020-03-23,4682,4993,5304,787,3743,122,"50.503887","4.469936"
"Belgium",2020-03-24,5243,5591,5939,881,4269,178,"50.503887","4.469936"
"Belgium",2020-03-25,5862,6251,6640,985,4937,220,"50.503887","4.469936"
"Belgium",2020-03-26,6543,6977,7411,1100,6235,289,"50.503887","4.469936"
"Belgium",2020-03-27,7289,7773,8257,1225,7284,353,"50.503887","4.469936"
"Belgium",2020-03-28,8104,8642,9180,1362,9134,431,"50.503887","4.469936"
"Belgium",2020-03-29,8991,9587,10183,1511,10836,513,"50.503887","4.469936"
"Belgium",2020-03-30,9951,10611,11271,1673,11899,705,"50.503887","4.469936"
"Belgium",2020-03-31,10984,11713,12442,1846,12775,828,"50.503887","4.469936"
"Belgium",2020-04-01,12092,12894,13696,2033,13964,1011,"50.503887","4.469936"
"Belgium",2020-04-02,13272,14152,15032,2231,15348,1143,"50.503887","4.469936"
"Belgium",2020-04-03,14522,15485,16448,2441,16770,1283,"50.503887","4.469936"
"Belgium",2020-04-04,15836,16886,17936,2662,18431,1447,"50.503887","4.469936"
"Belgium",2020-04-05,17208,18350,19492,2893,19691,1632,"50.503887","4.469936"
"Belgium",2020-04-06,18632,19868,21104,3132,20814,2035,"50.503887","4.469936"
"Belgium",2020-04-07,20099,21432,22765,3379,22194,2240,"50.503887","4.469936"
"Belgium",2020-04-08,21598,23031,24464,3631,23403,2523,"50.503887","4.469936"
"Belgium",2020-04-09,23118,24651,26184,3886,24983,3019,"50.503887","4.469936"
"Belgium",2020-04-10,24647,26282,27917,4143,26667,3346,"50.503887","4.469936"
"Belgium",2020-04-11,26174,27910,29646,4400,28018,3600,"50.503887","4.469936"
"Belgium",2020-04-12,27686,29522,31358,4654,29647,3903,"50.503887","4.469936"
"Belgium",2020-04-13,29171,31106,33041,4903,30589,4157,"50.503887","4.469936"
"Belgium",2020-04-14,30619,32650,34681,5147,31119,4440,"50.503887","4.469936"
"Belgium",2020-04-15,32021,34145,36269,5383,33573,4857,"50.503887","4.469936"
"Belgium",2020-04-16,33368,35581,37794,5609,34809,5163,"50.503887","4.469936"
"Belgium",2020-04-17,34652,36951,39250,5825,36138,5453,"50.503887","4.469936"
"Belgium",2020-04-18,35870,38249,40628,6030,37183,5683,"50.503887","4.469936"
"Belgium",2020-04-19,37017,39473,41929,6222,38496,5828,"50.503887","4.469936"
"Belgium",2020-04-20,38091,40618,43145,6403,39983,5998,"50.503887","4.469936"
"Belgium",2020-04-21,39091,41684,44277,6571,40956,6262,"50.503887","4.469936"
"Belgium",2020-04-22,40017,42671,45325,6727,41889,6490,"50.503887","4.469936"
"Belgium",2020-04-23,40870,43581,46292,6870,42797,6679,"50.503887","4.469936"
"Belgium",2020-04-24,41654,44417,47180,7002,44293,6917,"50.503887","4.469936"
"Belgium",2020-04-25,42369,45180,47991,7122,45325,7094,"50.503887","4.469936"
"Belgium",2020-04-26,43021,45875,48729,7232,46134,7207,"50.503887","4.469936"
"Belgium",2020-04-27,43613,46506,49399,7331,46687,7331,"50.503887","4.469936"
"Belgium",2020-04-28,44148,47077,50006,7421,47334,7501,"50.503887","4.469936"
"Belgium",2020-04-29,44631,47592,50553,7502,47859,7594,"50.503887","4.469936"
"Belgium",2020-04-30,45067,48056,51045,7575,48519,7703,"50.503887","4.469936"
"Belgium",2020-05-01,45457,48472,51487,7641,49032,7765,"50.503887","4.469936"
"Belgium",2020-05-02,45806,48845,51884,7700,49517,7844,"50.503887","4.469936"
"Belgium",2020-05-03,46119,49178,52237,7752,49906,7924,"50.503887","4.469936"
"Belgium",2020-05-04,46398,49476,52554,7799,50267,7924,"50.503887","4.469936"
"Belgium",2020-05-05,46648,49742,52836,7841,NA,NA,"50.503887","4.469936"
"Belgium",2020-05-06,46870,49979,53088,7879,NA,NA,"50.503887","4.469936"
"Belgium",2020-05-07,47067,50189,53311,7912,NA,NA,"50.503887","4.469936"
"Belgium",2020-05-08,47242,50376,53510,7941,NA,NA,"50.503887","4.469936"
"Belgium",2020-05-09,47398,50542,53686,7967,NA,NA,"50.503887","4.469936"
"Belgium",2020-05-10,47537,50690,53843,7991,NA,NA,"50.503887","4.469936"
"Belgium",2020-05-11,47659,50820,53981,8011,NA,NA,"50.503887","4.469936"
