"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
170,2020-06-18,82,98,114,90
171,2020-06-19,82,99,116,92
172,2020-06-20,83,100,117,95
173,2020-06-21,83,100,117,99
174,2020-06-22,84,101,118,99
175,2020-06-23,85,102,119,106
176,2020-06-24,85,102,119,108
177,2020-06-25,85,102,119,115
178,2020-06-26,86,103,120,120
179,2020-06-27,86,103,120,120
180,2020-06-28,86,103,120,125
181,2020-06-29,87,104,121,NA
182,2020-06-30,87,104,121,NA
183,2020-07-01,87,104,121,NA
184,2020-07-02,87,104,121,NA
185,2020-07-03,87,104,121,NA
186,2020-07-04,87,104,121,NA
187,2020-07-05,87,105,123,NA
188,2020-07-06,87,105,123,NA
189,2020-07-07,87,105,123,NA
190,2020-07-08,87,105,123,NA
