"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Bolivia",2019-12-30,0,0,0,0,0,NA,"0","0"
"Bolivia",2019-12-31,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-01,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-02,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-03,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-04,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-05,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-06,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-07,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-08,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-09,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-10,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-11,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-12,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-13,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-14,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-15,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-16,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-17,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-18,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-19,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-20,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-21,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-22,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-23,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-24,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-25,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-26,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-27,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-28,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-29,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-30,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-01-31,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-02-01,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-02-02,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-02-03,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-02-04,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-02-05,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-02-06,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-02-07,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-02-08,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-02-09,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-02-10,0,0,0,0,0,NA,"0","0"
"Bolivia",2020-02-11,1,1,1,0,0,NA,"0","0"
"Bolivia",2020-02-12,1,1,1,0,0,NA,"0","0"
"Bolivia",2020-02-13,1,1,1,0,0,NA,"0","0"
"Bolivia",2020-02-14,1,1,1,0,0,NA,"0","0"
"Bolivia",2020-02-15,1,1,1,0,0,NA,"0","0"
"Bolivia",2020-02-16,1,1,1,0,0,NA,"0","0"
"Bolivia",2020-02-17,1,1,1,0,0,NA,"0","0"
"Bolivia",2020-02-18,1,1,1,0,0,NA,"0","0"
"Bolivia",2020-02-19,1,1,1,0,0,NA,"0","0"
"Bolivia",2020-02-20,1,1,1,0,0,NA,"0","0"
"Bolivia",2020-02-21,2,2,2,0,0,NA,"0","0"
"Bolivia",2020-02-22,2,2,2,0,0,NA,"0","0"
"Bolivia",2020-02-23,2,2,2,0,0,NA,"0","0"
"Bolivia",2020-02-24,2,2,2,0,0,NA,"0","0"
"Bolivia",2020-02-25,2,2,2,0,0,NA,"0","0"
"Bolivia",2020-02-26,3,3,3,0,0,NA,"0","0"
"Bolivia",2020-02-27,3,3,3,0,0,NA,"0","0"
"Bolivia",2020-02-28,3,3,3,0,0,NA,"0","0"
"Bolivia",2020-02-29,4,4,4,0,0,NA,"0","0"
"Bolivia",2020-03-01,4,4,4,0,0,NA,"0","0"
"Bolivia",2020-03-02,4,5,6,0,0,NA,"0","0"
"Bolivia",2020-03-03,4,5,6,0,0,NA,"0","0"
"Bolivia",2020-03-04,5,6,7,0,0,NA,"0","0"
"Bolivia",2020-03-05,6,7,8,0,0,NA,"0","0"
"Bolivia",2020-03-06,6,7,8,0,0,NA,"0","0"
"Bolivia",2020-03-07,7,8,9,0,0,NA,"0","0"
"Bolivia",2020-03-08,8,9,10,0,0,NA,"0","0"
"Bolivia",2020-03-09,9,10,11,1,0,NA,"0","0"
"Bolivia",2020-03-10,10,11,12,1,0,0,"0","0"
"Bolivia",2020-03-11,12,13,14,1,2,0,"0","0"
"Bolivia",2020-03-12,13,14,15,1,3,0,"0","0"
"Bolivia",2020-03-13,14,16,18,1,10,0,"0","0"
"Bolivia",2020-03-14,15,17,19,1,10,NA,"0","0"
"Bolivia",2020-03-15,17,19,21,1,0,0,"0","0"
"Bolivia",2020-03-16,20,22,24,1,11,0,"0","0"
"Bolivia",2020-03-17,21,24,27,1,12,0,"0","0"
"Bolivia",2020-03-18,24,27,30,1,12,0,"0","0"
"Bolivia",2020-03-19,27,30,33,2,15,0,"0","0"
"Bolivia",2020-03-20,30,33,36,2,19,0,"0","0"
"Bolivia",2020-03-21,33,37,41,2,20,0,"0","0"
"Bolivia",2020-03-22,37,41,45,2,27,0,"0","0"
"Bolivia",2020-03-23,41,46,51,2,28,0,"0","0"
"Bolivia",2020-03-24,46,51,56,3,32,0,"0","0"
"Bolivia",2020-03-25,50,56,62,3,39,0,"0","0"
"Bolivia",2020-03-26,56,63,70,3,61,0,"0","0"
"Bolivia",2020-03-27,62,69,76,4,74,0,"0","0"
"Bolivia",2020-03-28,69,77,85,4,81,3,"0","0"
"Bolivia",2020-03-29,76,85,94,5,96,6,"0","0"
"Bolivia",2020-03-30,85,95,105,5,107,7,"0","0"
"Bolivia",2020-03-31,94,105,116,6,115,8,"0","0"
"Bolivia",2020-04-01,104,116,128,6,123,9,"0","0"
