"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Brazil",2019-12-30,3,3,3,0,0,0,"0","0"
"Brazil",2019-12-31,3,3,3,0,0,0,"0","0"
"Brazil",2020-01-01,4,4,4,0,0,0,"0","0"
"Brazil",2020-01-02,4,4,4,0,0,0,"0","0"
"Brazil",2020-01-03,4,4,4,0,0,0,"0","0"
"Brazil",2020-01-04,5,5,5,0,0,0,"0","0"
"Brazil",2020-01-05,5,5,5,0,0,0,"0","0"
"Brazil",2020-01-06,6,6,6,0,0,0,"0","0"
"Brazil",2020-01-07,6,6,6,0,0,0,"0","0"
"Brazil",2020-01-08,7,7,7,0,0,0,"0","0"
"Brazil",2020-01-09,7,7,7,0,0,0,"0","0"
"Brazil",2020-01-10,8,8,8,1,0,0,"0","0"
"Brazil",2020-01-11,9,9,9,1,0,0,"0","0"
"Brazil",2020-01-12,9,10,11,1,0,0,"0","0"
"Brazil",2020-01-13,9,10,11,1,0,0,"0","0"
"Brazil",2020-01-14,10,11,12,1,0,0,"0","0"
"Brazil",2020-01-15,11,12,13,1,0,0,"0","0"
"Brazil",2020-01-16,12,13,14,1,0,0,"0","0"
"Brazil",2020-01-17,14,15,16,1,0,0,"0","0"
"Brazil",2020-01-18,15,16,17,1,0,0,"0","0"
"Brazil",2020-01-19,16,17,18,1,0,0,"0","0"
"Brazil",2020-01-20,18,19,20,1,0,0,"0","0"
"Brazil",2020-01-21,20,21,22,1,0,0,"0","0"
"Brazil",2020-01-22,21,22,23,1,0,0,"0","0"
"Brazil",2020-01-23,23,24,25,2,0,0,"0","0"
"Brazil",2020-01-24,26,27,28,2,0,0,"0","0"
"Brazil",2020-01-25,27,29,31,2,0,0,"0","0"
"Brazil",2020-01-26,30,32,34,2,0,0,"0","0"
"Brazil",2020-01-27,32,34,36,2,0,0,"0","0"
"Brazil",2020-01-28,35,37,39,2,0,0,"0","0"
"Brazil",2020-01-29,39,41,43,3,0,0,"0","0"
"Brazil",2020-01-30,42,44,46,3,0,0,"0","0"
"Brazil",2020-01-31,45,48,51,3,0,0,"0","0"
"Brazil",2020-02-01,49,52,55,4,0,0,"0","0"
"Brazil",2020-02-02,54,57,60,4,0,0,"0","0"
"Brazil",2020-02-03,59,62,65,4,0,0,"0","0"
"Brazil",2020-02-04,64,68,72,5,0,0,"0","0"
"Brazil",2020-02-05,70,74,78,5,0,0,"0","0"
"Brazil",2020-02-06,76,80,84,5,0,0,"0","0"
"Brazil",2020-02-07,82,87,92,6,0,0,"0","0"
"Brazil",2020-02-08,90,95,100,6,0,0,"0","0"
"Brazil",2020-02-09,97,103,109,7,0,0,"0","0"
"Brazil",2020-02-10,106,112,118,8,0,0,"0","0"
"Brazil",2020-02-11,115,122,129,8,0,0,"0","0"
"Brazil",2020-02-12,126,133,140,9,0,0,"0","0"
"Brazil",2020-02-13,137,145,153,10,0,0,"0","0"
"Brazil",2020-02-14,149,158,167,11,0,0,"0","0"
"Brazil",2020-02-15,163,172,181,12,0,0,"0","0"
"Brazil",2020-02-16,177,187,197,13,0,0,"0","0"
"Brazil",2020-02-17,192,203,214,14,0,0,"0","0"
"Brazil",2020-02-18,209,221,233,15,0,0,"0","0"
"Brazil",2020-02-19,228,241,254,16,0,0,"0","0"
"Brazil",2020-02-20,248,262,276,18,0,0,"0","0"
"Brazil",2020-02-21,271,286,301,19,0,0,"0","0"
"Brazil",2020-02-22,294,311,328,21,0,0,"0","0"
"Brazil",2020-02-23,320,338,356,23,0,0,"0","0"
"Brazil",2020-02-24,348,368,388,25,0,0,"0","0"
"Brazil",2020-02-25,379,401,423,27,1,0,"0","0"
"Brazil",2020-02-26,412,436,460,29,1,0,"0","0"
"Brazil",2020-02-27,449,475,501,32,1,0,"0","0"
"Brazil",2020-02-28,489,517,545,35,1,0,"0","0"
"Brazil",2020-02-29,532,562,592,38,2,0,"0","0"
"Brazil",2020-03-01,579,612,645,41,2,0,"0","0"
"Brazil",2020-03-02,630,666,702,45,2,0,"0","0"
"Brazil",2020-03-03,686,725,764,49,2,0,"0","0"
"Brazil",2020-03-04,746,789,832,53,3,0,"0","0"
"Brazil",2020-03-05,812,859,906,58,8,0,"0","0"
"Brazil",2020-03-06,884,935,986,63,13,0,"0","0"
