"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
166,2020-06-14,23,27,31,807
167,2020-06-15,24,29,34,839
168,2020-06-16,26,31,36,917
169,2020-06-17,28,33,38,966
170,2020-06-18,29,35,41,1017
171,2020-06-19,31,37,43,1141
172,2020-06-20,34,40,46,1200
173,2020-06-21,35,42,49,1228
174,2020-06-22,38,45,52,1268
175,2020-06-23,40,48,56,1298
176,2020-06-24,42,50,58,1366
177,2020-06-25,45,53,61,NA
178,2020-06-26,47,56,65,NA
179,2020-06-27,50,59,68,NA
180,2020-06-28,53,63,73,NA
181,2020-06-29,55,66,77,NA
182,2020-06-30,58,69,80,NA
183,2020-07-01,61,73,85,NA
184,2020-07-02,64,76,88,NA
185,2020-07-03,66,79,92,NA
186,2020-07-04,70,83,96,NA
