"dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados"
2019-12-30,0,0,0,0,0
2019-12-31,0,0,0,0,0
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,1
2020-01-26,0,0,0,0,1
2020-01-27,0,0,0,0,2
2020-01-28,0,0,0,0,3
2020-01-29,0,0,0,0,3
2020-01-30,0,0,0,0,3
2020-01-31,0,0,0,0,4
2020-02-01,0,0,0,0,4
2020-02-02,0,0,0,0,4
2020-02-03,0,0,0,0,4
2020-02-04,0,0,0,0,5
2020-02-05,0,0,0,0,5
2020-02-06,0,0,0,0,7
2020-02-07,0,0,0,0,7
2020-02-08,0,0,0,0,7
2020-02-09,0,0,0,0,7
2020-02-10,0,0,0,0,7
2020-02-11,0,0,0,0,7
2020-02-12,0,0,0,0,7
2020-02-13,0,0,0,0,7
2020-02-14,0,0,0,0,8
2020-02-15,0,0,0,0,8
2020-02-16,0,0,0,0,8
2020-02-17,0,0,0,0,8
2020-02-18,0,0,0,0,8
2020-02-19,1,1,1,0,8
2020-02-20,1,1,1,0,9
2020-02-21,1,1,1,0,9
2020-02-22,1,1,1,0,9
2020-02-23,1,2,3,0,9
2020-02-24,1,2,3,0,11
2020-02-25,1,2,3,0,11
2020-02-26,2,3,4,0,12
2020-02-27,3,4,5,0,14
2020-02-28,3,5,7,0,16
2020-02-29,4,7,10,0,20
2020-03-01,6,9,12,0,24
2020-03-02,7,11,15,0,27
2020-03-03,9,14,19,0,30
2020-03-04,12,19,26,0,33
2020-03-05,15,24,33,0,45
2020-03-06,20,31,42,0,51
2020-03-07,25,39,53,0,57
2020-03-08,32,50,68,0,62
2020-03-09,42,65,88,1,77
2020-03-10,53,83,113,1,93
2020-03-11,68,107,146,1,103
2020-03-12,88,137,186,1,138
2020-03-13,113,176,239,2,176
2020-03-14,144,225,306,2,244
2020-03-15,184,288,392,3,304
2020-03-16,235,368,501,4,424
2020-03-17,301,470,639,5,569
2020-03-18,383,599,815,6,690
2020-03-19,487,762,1037,7,846
2020-03-20,619,967,1315,9,971
2020-03-21,781,1221,1661,12,1231
2020-03-22,982,1536,2090,15,1430
2020-03-23,1229,1922,2615,19,1646
2020-03-24,1528,2389,3250,23,1959
2020-03-25,1884,2945,4006,28,3385
2020-03-26,2300,3596,4892,35,4018
2020-03-27,2778,4344,5910,42,4043
2020-03-28,3314,5182,7050,50,NA
2020-03-29,3900,6098,8296,59,NA
2020-03-30,4522,7070,9618,68,NA
2020-03-31,5162,8071,10980,78,NA
2020-04-01,5801,9070,12339,87,NA
2020-04-02,6419,10036,13653,97,NA
2020-04-03,6999,10943,14887,106,NA
