"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Canada",2019-12-30,5,5,5,0,0,0,"56.130366","0"
"Canada",2019-12-31,5,5,5,0,0,0,"56.130366","0"
"Canada",2020-01-01,5,5,5,0,0,0,"56.130366","0"
"Canada",2020-01-02,6,6,6,0,0,0,"56.130366","0"
"Canada",2020-01-03,6,6,6,0,0,0,"56.130366","0"
"Canada",2020-01-04,7,7,7,1,0,0,"56.130366","0"
"Canada",2020-01-05,7,8,9,1,0,0,"56.130366","0"
"Canada",2020-01-06,7,8,9,1,0,0,"56.130366","0"
"Canada",2020-01-07,8,9,10,1,0,0,"56.130366","0"
"Canada",2020-01-08,9,10,11,1,0,0,"56.130366","0"
"Canada",2020-01-09,10,11,12,1,0,0,"56.130366","0"
"Canada",2020-01-10,11,12,13,1,0,0,"56.130366","0"
"Canada",2020-01-11,12,13,14,1,0,0,"56.130366","0"
"Canada",2020-01-12,13,14,15,1,0,0,"56.130366","0"
"Canada",2020-01-13,14,15,16,1,0,0,"56.130366","0"
"Canada",2020-01-14,15,16,17,1,0,0,"56.130366","0"
"Canada",2020-01-15,17,18,19,1,0,0,"56.130366","0"
"Canada",2020-01-16,18,19,20,1,0,0,"56.130366","0"
"Canada",2020-01-17,20,21,22,2,0,0,"56.130366","0"
"Canada",2020-01-18,21,23,25,2,0,0,"56.130366","0"
"Canada",2020-01-19,23,25,27,2,0,0,"56.130366","0"
"Canada",2020-01-20,25,27,29,2,0,0,"56.130366","0"
"Canada",2020-01-21,27,29,31,2,0,0,"56.130366","0"
"Canada",2020-01-22,30,32,34,2,0,0,"56.130366","0"
"Canada",2020-01-23,33,35,37,3,0,0,"56.130366","0"
"Canada",2020-01-24,35,38,41,3,0,0,"56.130366","0"
"Canada",2020-01-25,38,41,44,3,1,0,"56.130366","0"
"Canada",2020-01-26,42,45,48,3,1,0,"56.130366","0"
"Canada",2020-01-27,45,48,51,4,2,0,"56.130366","0"
"Canada",2020-01-28,49,53,57,4,3,0,"56.130366","0"
